well,sample_id,drug,conc_nm,replicate,au
A1,8036350,dha,250.0,1,0.96
A2,8036350,dha,250.0,2,0.99
A3,8036350,lum,1000.0,1,1.09
A4,8036350,lum,1000.0,2,1.1
A5,8036351,dha,250.0,1,0.61
A6,8036351,dha,250.0,2,0.64
A7,8036351,lum,1000.0,1,0.69
A8,8036351,lum,1000.0,2,0.6
A9,8036352,dha,250.0,1,1.04
A10,8036352,dha,250.0,2,1.0
A11,8036352,lum,1000.0,1,0.95
A12,8036352,lum,1000.0,2,0.93
B1,8036350,dha,83.33333333333333,1,0.92
B2,8036350,dha,83.33333333333333,2,0.95
B3,8036350,lum,333.3333333333333,1,1.0
B4,8036350,lum,333.3333333333333,2,1.05
B5,8036351,dha,83.33333333333333,1,0.57
B6,8036351,dha,83.33333333333333,2,0.59
B7,8036351,lum,333.3333333333333,1,0.63
B8,8036351,lum,333.3333333333333,2,0.59
B9,8036352,dha,83.33333333333333,1,1.0
B10,8036352,dha,83.33333333333333,2,1.0
B11,8036352,lum,333.3333333333333,1,1.01
B12,8036352,lum,333.3333333333333,2,0.98
C1,8036350,dha,27.77777777777778,1,0.96
C2,8036350,dha,27.77777777777778,2,1.02
C3,8036350,lum,111.11111111111111,1,1.02
C4,8036350,lum,111.11111111111111,2,1.07
C5,8036351,dha,27.77777777777778,1,0.56
C6,8036351,dha,27.77777777777778,2,0.62
C7,8036351,lum,111.11111111111111,1,0.64
C8,8036351,lum,111.11111111111111,2,0.59
C9,8036352,dha,27.77777777777778,1,1.01
C10,8036352,dha,27.77777777777778,2,0.99
C11,8036352,lum,111.11111111111111,1,0.98
C12,8036352,lum,111.11111111111111,2,1.0
D1,8036350,dha,9.25925925925926,1,0.98
D2,8036350,dha,9.25925925925926,2,0.99
D3,8036350,lum,37.03703703703704,1,1.04
D4,8036350,lum,37.03703703703704,2,1.01
D5,8036351,dha,9.25925925925926,1,0.58
D6,8036351,dha,9.25925925925926,2,0.59
D7,8036351,lum,37.03703703703704,1,0.61
D8,8036351,lum,37.03703703703704,2,0.57
D9,8036352,dha,9.25925925925926,1,1.02
D10,8036352,dha,9.25925925925926,2,1.01
D11,8036352,lum,37.03703703703704,1,0.95
D12,8036352,lum,37.03703703703704,2,0.99
E1,8036350,dha,3.0864197530864197,1,0.97
E2,8036350,dha,3.0864197530864197,2,0.97
E3,8036350,lum,12.345679012345679,1,1.02
E4,8036350,lum,12.345679012345679,2,1.08
E5,8036351,dha,3.0864197530864197,1,0.62
E6,8036351,dha,3.0864197530864197,2,0.61
E7,8036351,lum,12.345679012345679,1,0.59
E8,8036351,lum,12.345679012345679,2,0.59
E9,8036352,dha,3.0864197530864197,1,1.01
E10,8036352,dha,3.0864197530864197,2,0.99
E11,8036352,lum,12.345679012345679,1,1.0
E12,8036352,lum,12.345679012345679,2,0.95
F1,8036350,dha,1.02880658436214,1,0.95
F2,8036350,dha,1.02880658436214,2,1.0
F3,8036350,lum,4.11522633744856,1,1.05
F4,8036350,lum,4.11522633744856,2,1.08
F5,8036351,dha,1.02880658436214,1,0.73
F6,8036351,dha,1.02880658436214,2,0.7
F7,8036351,lum,4.11522633744856,1,0.78
F8,8036351,lum,4.11522633744856,2,0.75
F9,8036352,dha,1.02880658436214,1,1.08
F10,8036352,dha,1.02880658436214,2,1.08
F11,8036352,lum,4.11522633744856,1,1.04
F12,8036352,lum,4.11522633744856,2,1.06
G1,8036350,dha,0.3429355281207133,1,0.93
G2,8036350,dha,0.3429355281207133,2,1.01
G3,8036350,lum,1.3717421124828533,1,1.05
G4,8036350,lum,1.3717421124828533,2,1.06
G5,8036351,dha,0.3429355281207133,1,0.89
G6,8036351,dha,0.3429355281207133,2,0.88
G7,8036351,lum,1.3717421124828533,1,0.93
G8,8036351,lum,1.3717421124828533,2,0.9
G9,8036352,dha,0.3429355281207133,1,1.11
G10,8036352,dha,0.3429355281207133,2,1.11
G11,8036352,lum,1.3717421124828533,1,1.12
G12,8036352,lum,1.3717421124828533,2,1.11
H1,8036350,dha,0.0,1,0.97
H2,8036350,dha,0.0,2,0.99
H3,8036350,lum,0.0,1,1.01
H4,8036350,lum,0.0,2,1.02
H5,8036351,dha,0.0,1,1.03
H6,8036351,dha,0.0,2,1.04
H7,8036351,lum,0.0,1,1.0
H8,8036351,lum,0.0,2,0.96
H9,8036352,dha,0.0,1,1.1
H10,8036352,dha,0.0,2,1.04
H11,8036352,lum,0.0,1,1.03
H12,8036352,lum,0.0,2,1.02
