sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,66.0
Dd2,Positive,barcode02,30.4
HB3,Positive,barcode03,78.2
IPC3663,Positive,barcode04,46.8
Human,Negative,barcode05,3.38
NTC,Negative,barcode06,0.0376
4043139,Field,barcode07,93.6
4043140,Field,barcode08,16.5
4043141,Field,barcode09,1.47
4043143,Field,barcode10,21.0
4043144,Field,barcode11,33.4
4043145,Field,barcode12,44.8
4043148,Field,barcode13,9.88
8036468,Field,barcode14,13.2
8036469,Field,barcode15,27.4
8036470,Field,barcode16,16.8
8036471,Field,barcode17,70.6
8036473,Field,barcode18,56.2
8036474,Field,barcode19,67.4
8036475,Field,barcode20,68.8
8036477,Field,barcode21,64.6
8036478,Field,barcode22,9.1
8036481,Field,barcode23,83.4
8036482,Field,barcode24,47.2
8036484,Field,barcode25,66.6
8036485,Field,barcode26,26.4
8036486,Field,barcode27,16.9
8036488,Field,barcode28,86.0
8036490,Field,barcode29,90.4
8036492,Field,barcode30,65.4
8036493,Field,barcode31,20.4
8036494,Field,barcode32,56.2
8036495,Field,barcode33,60.4
8036496,Field,barcode34,11.0
8036497,Field,barcode35,35.4
8036498,Field,barcode36,48.6
8036499,Field,barcode37,31.0
8036500,Field,barcode38,38.8
8036502,Field,barcode39,69.6
8036503,Field,barcode40,6.82
8036504,Field,barcode41,31.8
8036505,Field,barcode42,53.8
8036506,Field,barcode43,68.4
8036507,Field,barcode44,86.0
8036512,Field,barcode45,76.8
8036513,Field,barcode46,31.0
8036514,Field,barcode47,17.8
8036515,Field,barcode48,42.0
8036517,Field,barcode49,20.2
8036518,Field,barcode50,28.8
8036520,Field,barcode51,41.4
8036522,Field,barcode52,82.4
8036523,Field,barcode53,83.4
8036525,Field,barcode54,66.6
8036527,Field,barcode55,6.52
8036528,Field,barcode56,86.4
8036530,Field,barcode57,1.85
8036532,Field,barcode58,2.54
8036539,Field,barcode59,1.65
8036540,Field,barcode60,0.936
8036541,Field,barcode61,1.44
8036544,Field,barcode62,7.4
8036545,Field,barcode63,1.36
8036546,Field,barcode64,68.2
8036548,Field,barcode65,35.0
8036552,Field,barcode66,3.22
8036553,Field,barcode67,75.8
8036554,Field,barcode68,4.86
8036556,Field,barcode69,21.8
8036557,Field,barcode70,50.8
8036560,Field,barcode71,84.6
8010579,Field,barcode72,69.2
8011268,Field,barcode73,28.8
8011272,Field,barcode74,12.1
8011273,Field,barcode75,53.6
8011280,Field,barcode76,35.0
8011281,Field,barcode77,15.8
8011282,Field,barcode78,46.6
8011286,Field,barcode79,51.0
8011305,Field,barcode80,6.2
8011312,Field,barcode81,18.7
8010061,Field,barcode82,27.2
8010062,Field,barcode83,20.8
8010251,Field,barcode84,22.4
8010255,Field,barcode85,90.8
8010259,Field,barcode86,19.4
8010265,Field,barcode87,4.28
8010266,Field,barcode88,83.2
8010285,Field,barcode89,11.8
8010286,Field,barcode90,42.0
8010292,Field,barcode91,11.0
8010499,Field,barcode92,37.6
