well,sample_id,drug,conc_nm,replicate,au
A1,8036390,dha,250.0,1.0,1.09
A2,8036390,dha,250.0,2.0,1.08
A3,8036390,lum,1000.0,1.0,1.2
A4,8036390,lum,1000.0,2.0,1.22
A5,,,,,10.68
A6,,,,,11.49
A7,,,,,11.02
A8,,,,,10.34
A9,,,,,10.91
A10,,,,,10.96
A11,,,,,10.85
A12,,,,,9.4
B1,8036390,dha,62.5,1.0,0.96
B2,8036390,dha,62.5,2.0,0.99
B3,8036390,lum,250.0,1.0,1.09
B4,8036390,lum,250.0,2.0,1.09
B5,,,,,11.42
B6,,,,,11.49
B7,,,,,11.7
B8,,,,,11.24
B9,,,,,11.49
B10,,,,,11.04
B11,,,,,12.11
B12,,,,,10.62
C1,8036390,dha,15.625,1.0,1.02
C2,8036390,dha,15.625,2.0,1.05
C3,8036390,lum,62.5,1.0,1.08
C4,8036390,lum,62.5,2.0,1.13
C5,,,,,11.3
C6,,,,,11.28
C7,,,,,11.62
C8,,,,,11.76
C9,,,,,11.59
C10,,,,,12.13
C11,,,,,11.18
C12,,,,,11.55
D1,8036390,dha,3.90625,1.0,1.04
D2,8036390,dha,3.90625,2.0,1.03
D3,8036390,lum,15.625,1.0,1.06
D4,8036390,lum,15.625,2.0,1.09
D5,,,,,11.4
D6,,,,,9.43
D7,,,,,11.94
D8,,,,,12.12
D9,,,,,12.16
D10,,,,,12.31
D11,,,,,12.05
D12,,,,,10.89
E1,8036390,dha,0.9765625,1.0,1.01
E2,8036390,dha,0.9765625,2.0,1.04
E3,8036390,lum,3.90625,1.0,1.05
E4,8036390,lum,3.90625,2.0,1.14
E5,,,,,11.86
E6,,,,,11.35
E7,,,,,11.23
E8,,,,,11.15
E9,,,,,12.04
E10,,,,,11.69
E11,,,,,12.14
E12,,,,,11.16
F1,8036390,dha,0.244140625,1.0,1.06
F2,8036390,dha,0.244140625,2.0,1.05
F3,8036390,lum,0.9765625,1.0,1.12
F4,8036390,lum,0.9765625,2.0,1.16
F5,,,,,11.0
F6,,,,,10.38
F7,,,,,11.47
F8,,,,,11.61
F9,,,,,11.81
F10,,,,,12.41
F11,,,,,11.74
F12,,,,,11.02
G1,8036390,dha,0.06103515625,1.0,1.01
G2,8036390,dha,0.06103515625,2.0,1.06
G3,8036390,lum,0.244140625,1.0,1.13
G4,8036390,lum,0.244140625,2.0,1.1
G5,,,,,11.07
G6,,,,,10.59
G7,,,,,10.35
G8,,,,,10.45
G9,,,,,10.89
G10,,,,,11.09
G11,,,,,12.16
G12,,,,,10.5
H1,8036390,dha,0.0,1.0,0.97
H2,8036390,dha,0.0,2.0,1.0
H3,8036390,lum,0.0,1.0,1.09
H4,8036390,lum,0.0,2.0,1.12
H5,,,,,10.22
H6,,,,,10.56
H7,,,,,10.78
H8,,,,,10.16
H9,,,,,10.12
H10,,,,,10.3
H11,,,,,10.08
H12,,,,,10.51
