sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,62.6
Dd2,Positive,barcode02,50.0
HB3,Positive,barcode03,101.0
IPC3663,Positive,barcode04,54.8
Human,Negative,barcode05,3.48
NTC,Negative,barcode06,0.0194
8010873,Field,barcode07,60.8
8010874,Field,barcode08,43.8
8010875,Field,barcode09,74.2
8010876,Field,barcode10,2.4
8010877,Field,barcode11,68.4
8010878,Field,barcode12,0.318
8010880,Field,barcode13,73.4
8010881,Field,barcode14,80.0
8010882,Field,barcode15,25.0
8010883,Field,barcode16,2.72
8010884,Field,barcode17,59.2
8010885,Field,barcode18,75.8
8010887,Field,barcode19,83.4
8010888,Field,barcode20,4.84
8010890,Field,barcode21,39.4
8010891,Field,barcode22,103.0
8010894,Field,barcode23,59.4
8010896,Field,barcode24,35.0
8010897,Field,barcode25,70.2
8010899,Field,barcode26,52.0
8010900,Field,barcode27,55.6
8010901,Field,barcode28,75.2
8010903,Field,barcode29,1.39
8010904,Field,barcode30,95.0
8010905,Field,barcode31,51.2
8010906,Field,barcode32,43.6
8010907,Field,barcode33,69.6
8010908,Field,barcode34,24.0
8010910,Field,barcode35,29.2
8010911,Field,barcode36,1.86
8010912,Field,barcode37,70.4
8010913,Field,barcode38,7.98
8010914,Field,barcode39,73.4
8010915,Field,barcode40,69.0
8010917,Field,barcode41,76.0
8010919,Field,barcode42,79.6
8010920,Field,barcode43,88.2
8010922,Field,barcode44,17.3
8010923,Field,barcode45,64.4
8010924,Field,barcode46,99.6
8010927,Field,barcode47,71.6
8010929,Field,barcode48,11.4
8010930,Field,barcode49,103.0
8010932,Field,barcode50,59.6
8010936,Field,barcode51,50.6
8013352,Field,barcode52,78.4
8013353,Field,barcode53,74.2
8013356,Field,barcode54,1.25
8013358,Field,barcode55,94.0
8013361,Field,barcode56,84.2
8013362,Field,barcode57,56.4
8013366,Field,barcode58,74.2
8013367,Field,barcode59,73.4
8013369,Field,barcode60,97.4
8013372,Field,barcode61,81.8
8013374,Field,barcode62,1.54
8013375,Field,barcode63,89.4
8013377,Field,barcode64,93.8
8013381,Field,barcode65,91.6
8013387,Field,barcode66,74.4
8013401,Field,barcode67,69.0
8013404,Field,barcode68,80.8
8023053,Field,barcode69,104.0
8023067,Field,barcode70,22.2
8023076,Field,barcode71,76.6
8023082,Field,barcode72,35.4
8023087,Field,barcode73,15.5
8023089,Field,barcode74,58.0
8023099,Field,barcode75,95.0
8023105,Field,barcode76,84.6
8023108,Field,barcode77,40.6
8023113,Field,barcode78,64.2
8023132,Field,barcode79,0.0732
8023139,Field,barcode80,15.4
8023540,Field,barcode81,69.8
8023543,Field,barcode82,102.0
8023544,Field,barcode83,0.37
8023546,Field,barcode84,96.8
8023548,Field,barcode85,93.0
8023549,Field,barcode86,38.8
8023553,Field,barcode87,99.6
8023555,Field,barcode88,48.0
8023559,Field,barcode89,102.0
8023561,Field,barcode90,9.04
8023567,Field,barcode91,49.2
8023568,Field,barcode92,74.0
8023569,Field,barcode93,93.4
8023570,Field,barcode94,60.2
8023571,Field,barcode95,83.4
8023572,Field,barcode96,69.8
