plate,well,sample_id,extraction_id,set_type,district,province,carrier_A724E
C01,A1,3D7_10K,,,,,False
C01,B1,Dd2_10K,,,,,False
C01,C1,NTC,,,,,False
C01,D1,8010683,Z001,representative,chipata,eastern,False
C01,E1,8034059,Z002,clonal,sesheke,western,True
C01,F1,8012421,Z003,representative,vubwi,eastern,False
C01,G1,8032055,Z004,representative,manyinga,northwestern,True
C01,H1,5053837,Z005,representative,solwezi,northwestern,False
C01,A2,8022279,Z007,representative,lumezi,eastern,False
C01,B2,1012556,Z008,clonal,zambezi,northwestern,False
C01,C2,1046680,Z011,clonal,luampa,western,True
C01,D2,8034050,Z012,clonal,sesheke,western,False
C01,E2,8023299,Z013,representative,mushindano,northwestern,False
C01,F2,8034017,Z015,representative,sesheke,western,False
C01,G2,8013498,Z016,representative,chipata,eastern,False
C01,H2,1012426,Z018,representative,mufumbwe,northwestern,True
C01,A3,8034025,Z020,clonal,sesheke,western,True
C01,B3,8034028,Z021,clonal,sesheke,western,True
C01,C3,8023430,Z024,clonal,kabompo,northwestern,True
C01,D3,8021935,Z025,representative,kaoma,western,False
C01,E3,8023320,Z026,clonal,manyinga,northwestern,True
C01,F3,8034030,Z028,representative,sesheke,western,True
C01,G3,8019456,Z030,clonal,kasempa,northwestern,True
C01,H3,8031773,Z032,clonal,mushindano,northwestern,False
C01,A4,8021039,Z033,clonal,kasempa,northwestern,True
C01,B4,8034002,Z034,clonal,sesheke,western,False
C01,C4,8032343,Z035,representative,shangombo,western,True
C01,D4,8021930,Z037,representative,kaoma,western,True
C01,E4,8034031,Z038,clonal,sesheke,western,False
C01,F4,8034036,Z042,representative,sesheke,western,True
C01,G4,5053742,Z043,representative,sikongo,western,True
C01,H4,8031271,Z047,representative,isoka,muchinga,False
C01,A5,1046689,Z048,representative,luampa,western,True
C01,B5,8033415,Z050,representative,mambwe,eastern,False
C01,C5,1046678,Z057,representative,luampa,western,True
C01,D5,1046675,Z058,representative,luampa,western,True
C01,E5,1046718,Z059,representative,luampa,western,True
C01,F5,1046728,Z060,representative,luampa,western,False
C01,G5,1046677,Z061,clonal,luampa,western,False
C01,H5,8034026,Z062,representative,sesheke,western,False
C01,A6,8034024,Z063,representative,sesheke,western,False
C01,B6,8032579,Z065,clonal,nalolo,western,False
C01,C6,8032589,Z069,representative,shangombo,western,False
C01,D6,8031765,Z070,clonal,mushindano,northwestern,False
C01,E6,8032583,Z071,clonal,nalolo,western,False
C01,F6,8031512,Z077,representative,mafinga,muchinga,True
C01,G6,8013676,Z079,representative,chipata,eastern,False
C01,H6,8033342,Z081,representative,mambwe,eastern,False
C01,A7,8033344,Z082,representative,mambwe,eastern,False
C01,B7,8033369,Z084,representative,mambwe,eastern,False
C01,C7,8033385,Z085,representative,mambwe,eastern,False
C01,D7,8010843,Z086,representative,shiwang'andu,muchinga,False
C01,E7,8013681,Z087,representative,chipata,eastern,False
C01,F7,8034014,Z088,representative,sesheke,western,False
C01,G7,8034015,Z089,representative,sesheke,western,False
C01,H7,8031811,Z093,representative,chavuma,northwestern,True
C01,A8,8031772,Z094,representative,mushindano,northwestern,False
C01,B8,8032032,Z098,representative,mwinilunga,northwestern,False
C01,C8,8032013,Z100,clonal,mushindano,northwestern,False
C01,D8,8034045,Z102,representative,sesheke,western,True
C01,E8,8034044,Z103,representative,sesheke,western,True
C01,F8,8034039,Z104,representative,sesheke,western,False
C01,G8,8034042,Z106,representative,sesheke,western,True
C01,H8,8034040,Z107,representative,sesheke,western,False
C01,A9,8034048,Z108,representative,sesheke,western,True
C01,B9,8034052,Z109,representative,sesheke,western,False
C01,C9,8034049,Z110,representative,sesheke,western,False
C01,D9,8032335,Z111,representative,nalolo,western,False
C01,E9,8032294,Z112,clonal,kaoma,western,False
C01,F9,8032319,Z113,representative,mitete,western,True
C01,G9,8032348,Z114,clonal,sikongo,western,False
C01,H9,8032265,Z115,clonal,senanga,western,False
C01,A10,8032330,Z116,representative,kalabo,western,False
C01,B10,8032277,Z117,clonal,mongu,western,True
C01,C10,8034006,Z119,clonal,sesheke,western,False
C01,D10,8034009,Z120,clonal,sesheke,western,True
C01,E10,8034000,Z121,clonal,sesheke,western,False
C01,F10,8034004,Z122,clonal,sesheke,western,False
C01,G10,8034007,Z123,clonal,sesheke,western,False
C01,H10,8034008,Z124,representative,sesheke,western,False
C01,A11,8034003,Z125,clonal,sesheke,western,False
C01,B11,8032526,Z127,representative,mongu,western,False
C01,C11,8032558,Z130,representative,luampa,western,True
C01,D11,8032527,Z131,representative,mongu,western,False
C01,E11,8032541,Z132,representative,limulunga,western,False
C01,F11,8021934,Z137,representative,kaoma,western,True
C01,G11,8021932,Z138,representative,kaoma,western,False
C01,H11,8023334,Z140,representative,manyinga,northwestern,False
C01,A12,8023349,Z141,clonal,manyinga,northwestern,False
C01,B12,8023337,Z142,representative,manyinga,northwestern,True
C01,C12,8023345,Z143,clonal,manyinga,northwestern,False
C01,D12,1012521,Z144,clonal,zambezi,northwestern,False
C01,E12,8023348,Z145,representative,manyinga,northwestern,True
C01,F12,3D7_10K,,,,,False
C01,G12,Dd2_10K,,,,,False
C01,H12,NTC,,,,,False
