expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul;sample_type
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035612;DR121;;PCMM068_E3;SLMM057_E3;barcode21;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035607;DR122;;PCMM068_F3;SLMM057_F3;barcode22;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035606;DR123;;PCMM068_G3;SLMM057_G3;barcode23;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035608;DR124;;PCMM068_H3;SLMM057_H3;barcode24;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035613;DR125;;PCMM068_A4;SLMM057_A4;barcode25;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035605;DR126;;PCMM068_B4;SLMM057_B4;barcode26;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035698;DR127;;PCMM068_C4;SLMM057_C4;barcode27;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035611;DR128;;PCMM068_D4;SLMM057_D4;barcode28;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035629;DR129;;PCMM068_E4;SLMM057_E4;barcode29;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035640;DR130;;PCMM068_F4;SLMM057_F4;barcode30;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035621;DR131;;PCMM068_G4;SLMM057_G4;barcode31;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035663;DR132;;PCMM068_H4;SLMM057_H4;barcode32;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8036007;DR133;;PCMM068_A5;SLMM057_A5;barcode33;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035687;DR134;;PCMM068_B5;SLMM057_B5;barcode34;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035642;DR135;;PCMM068_C5;SLMM057_C5;barcode35;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035666;DR136;;PCMM068_D5;SLMM057_D5;barcode36;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035665;DR137;;PCMM068_E5;SLMM057_E5;barcode37;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035674;DR138;;PCMM068_F5;SLMM057_F5;barcode38;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035664;DR139;;PCMM068_G5;SLMM057_G5;barcode39;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035689;DR140;;PCMM068_H5;SLMM057_H5;barcode40;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035667;DR141;;PCMM068_A6;SLMM057_A6;barcode41;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035668;DR142;;PCMM068_B6;SLMM057_B6;barcode42;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;8035615;DR143;;PCMM068_C6;SLMM057_C6;barcode43;10;field
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;3D7_MP1;3D7_MP1;;PCMM068_D6;SLMM057_D6;barcode44;10;pos
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;3D7;3D7;;PCMM068_E6;SLMM057_E6;barcode45;10;pos
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;Dd2;Dd2;;PCMM068_F6;SLMM057_F6;barcode46;10;pos
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;HB3;HB3;;PCMM068_G6;SLMM057_G6;barcode47;10;pos
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;Human;Human;;PCMM068_H6;SLMM057_H6;barcode48;10;neg
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;NTC_a;NTC_a;;PCMM068_A7;SLMM057_A7;barcode49;10;neg
SLMM057;21.10.24;Mulenga Mwenda;seqlib;rapid;1;RDT positive Chitanda samples collected during the 2024 HRP2/3 study;HRP2/3_BatchChitanda;50;200;10;193;Mk1b;800;12;;R10.4.1;New;1571;;;NTC;NTC;;PCMM068_B7;SLMM057_B7;barcode50;10;neg
