sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,4.16
3D7,Positive,barcode02,35.6
Dd2,Positive,barcode03,31.4
HB3,Positive,barcode04,36.2
Human,Negative,barcode05,0.544
NTC,Negative,barcode06,0.189
8036261,Field,barcode07,56.4
8036263,Field,barcode08,51.8
8036264,Field,barcode09,25.6
8036265,Field,barcode10,54.0
8036266,Field,barcode11,23.6
8036267,Field,barcode12,49.6
8036268,Field,barcode13,27.0
8036269,Field,barcode14,32.4
8036271,Field,barcode15,52.8
8036272,Field,barcode16,86.6
8036273,Field,barcode17,44.8
8036274,Field,barcode18,9.96
8036275,Field,barcode19,52.4
8036279,Field,barcode20,79.6
8036280,Field,barcode21,47.2
8036282,Field,barcode22,43.6
8036283,Field,barcode23,73.8
8036284,Field,barcode24,75.4
8036285,Field,barcode25,23.4
8036286,Field,barcode26,33.0
8036287,Field,barcode27,42.2
8036218-D3,Field,barcode28,7.94
8036219-D3,Field,barcode29,21.2
8036220-D3,Field,barcode30,1.37
8036222-D3,Field,barcode31,6.94
8036223-D3,Field,barcode32,8.76
8036226-D3,Field,barcode33,0.8
8036227-D3,Field,barcode34,3.86
8036228-D3,Field,barcode35,24.6
8036230-D3,Field,barcode36,2.8
8036231-D3,Field,barcode37,1.7
8036232-D3,Field,barcode38,2.46
8036233-D3,Field,barcode39,2.3
8036234-D3,Field,barcode40,22.6
8036238-D3,Field,barcode41,12.5
8036239-D3,Field,barcode42,1.96
8036240-D3,Field,barcode43,1.16
8036243-D3,Field,barcode44,15.8
8036246-D3,Field,barcode45,0.316
8036288,Field,barcode46,28.4
8036289,Field,barcode47,60.8
8036290,Field,barcode48,69.6
8036291,Field,barcode49,11.1
8036292,Field,barcode50,13.0
8036294,Field,barcode51,41.8
8036295,Field,barcode52,52.6
8036296,Field,barcode53,10.8
8036297,Field,barcode54,35.0
8036298,Field,barcode55,56.2
8036301,Field,barcode56,43.2
8036302,Field,barcode57,22.4
8036303,Field,barcode58,26.0
8036304,Field,barcode59,26.8
