well,sample_id,drug,conc_nm,replicate,au
A1,8036339,dha,250.0,1,0.62
A2,8036339,dha,250.0,2,0.64
A3,8036339,lum,1000.0,1,0.7
A4,8036339,lum,1000.0,2,0.67
A5,8036340,dha,250.0,1,0.52
A6,8036340,dha,250.0,2,0.5
A7,8036340,lum,1000.0,1,0.57
A8,8036340,lum,1000.0,2,0.56
A9,8036341,dha,250.0,1,0.75
A10,8036341,dha,250.0,2,0.74
A11,8036341,lum,1000.0,1,0.73
A12,8036341,lum,1000.0,2,0.66
B1,8036339,dha,83.33333333333333,1,0.56
B2,8036339,dha,83.33333333333333,2,0.56
B3,8036339,lum,333.3333333333333,1,0.65
B4,8036339,lum,333.3333333333333,2,0.65
B5,8036340,dha,83.33333333333333,1,0.48
B6,8036340,dha,83.33333333333333,2,0.49
B7,8036340,lum,333.3333333333333,1,0.51
B8,8036340,lum,333.3333333333333,2,0.49
B9,8036341,dha,83.33333333333333,1,0.67
B10,8036341,dha,83.33333333333333,2,0.61
B11,8036341,lum,333.3333333333333,1,0.69
B12,8036341,lum,333.3333333333333,2,0.58
C1,8036339,dha,27.77777777777778,1,0.57
C2,8036339,dha,27.77777777777778,2,0.58
C3,8036339,lum,111.11111111111111,1,0.65
C4,8036339,lum,111.11111111111111,2,0.63
C5,8036340,dha,27.77777777777778,1,0.46
C6,8036340,dha,27.77777777777778,2,0.52
C7,8036340,lum,111.11111111111111,1,0.53
C8,8036340,lum,111.11111111111111,2,0.47
C9,8036341,dha,27.77777777777778,1,0.63
C10,8036341,dha,27.77777777777778,2,0.7
C11,8036341,lum,111.11111111111111,1,0.64
C12,8036341,lum,111.11111111111111,2,0.61
D1,8036339,dha,9.25925925925926,1,0.58
D2,8036339,dha,9.25925925925926,2,0.61
D3,8036339,lum,37.03703703703704,1,0.64
D4,8036339,lum,37.03703703703704,2,0.65
D5,8036340,dha,9.25925925925926,1,0.49
D6,8036340,dha,9.25925925925926,2,0.5
D7,8036340,lum,37.03703703703704,1,0.66
D8,8036340,lum,37.03703703703704,2,0.64
D9,8036341,dha,9.25925925925926,1,0.74
D10,8036341,dha,9.25925925925926,2,0.7
D11,8036341,lum,37.03703703703704,1,0.66
D12,8036341,lum,37.03703703703704,2,0.62
E1,8036339,dha,3.0864197530864197,1,0.59
E2,8036339,dha,3.0864197530864197,2,0.62
E3,8036339,lum,12.345679012345679,1,0.78
E4,8036339,lum,12.345679012345679,2,0.83
E5,8036340,dha,3.0864197530864197,1,0.51
E6,8036340,dha,3.0864197530864197,2,0.77
E7,8036340,lum,12.345679012345679,1,1.12
E8,8036340,lum,12.345679012345679,2,1.04
E9,8036341,dha,3.0864197530864197,1,0.75
E10,8036341,dha,3.0864197530864197,2,0.74
E11,8036341,lum,12.345679012345679,1,0.83
E12,8036341,lum,12.345679012345679,2,0.7
F1,8036339,dha,1.02880658436214,1,0.63
F2,8036339,dha,1.02880658436214,2,0.63
F3,8036339,lum,4.11522633744856,1,1.21
F4,8036339,lum,4.11522633744856,2,1.19
F5,8036340,dha,1.02880658436214,1,0.54
F6,8036340,dha,1.02880658436214,2,1.06
F7,8036340,lum,4.11522633744856,1,1.34
F8,8036340,lum,4.11522633744856,2,1.31
F9,8036341,dha,1.02880658436214,1,0.79
F10,8036341,dha,1.02880658436214,2,0.75
F11,8036341,lum,4.11522633744856,1,1.17
F12,8036341,lum,4.11522633744856,2,1.04
G1,8036339,dha,0.3429355281207133,1,0.97
G2,8036339,dha,0.3429355281207133,2,0.84
G3,8036339,lum,1.3717421124828533,1,1.41
G4,8036339,lum,1.3717421124828533,2,1.39
G5,8036340,dha,0.3429355281207133,1,0.86
G6,8036340,dha,0.3429355281207133,2,1.46
G7,8036340,lum,1.3717421124828533,1,1.48
G8,8036340,lum,1.3717421124828533,2,1.39
G9,8036341,dha,0.3429355281207133,1,1.1
G10,8036341,dha,0.3429355281207133,2,1.05
G11,8036341,lum,1.3717421124828533,1,1.25
G12,8036341,lum,1.3717421124828533,2,1.1
H1,8036339,dha,0.0,1,1.25
H2,8036339,dha,0.0,2,1.27
H3,8036339,lum,0.0,1,1.41
H4,8036339,lum,0.0,2,1.39
H5,8036340,dha,0.0,1,1.55
H6,8036340,dha,0.0,2,1.54
H7,8036340,lum,0.0,1,1.53
H8,8036340,lum,0.0,2,1.51
H9,8036341,dha,0.0,1,1.35
H10,8036341,dha,0.0,2,1.28
H11,8036341,lum,0.0,1,1.24
H12,8036341,lum,0.0,2,1.11
