expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_C2,barcode11,10,5053743,DR377,PCBM046_C2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_D2,barcode12,10,5053727,DR380,PCBM046_D2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_E2,barcode13,10,5053767,DR381,PCBM046_E2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_F2,barcode14,10,5053713,DR382,PCBM046_F2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_G2,barcode15,10,5053715,DR383,PCBM046_G2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_H2,barcode16,10,5053695,DR384,PCBM046_H2,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_A3,barcode17,10,5053740,DR385,PCBM046_A3,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_B3,barcode18,10,5053699,DR386,PCBM046_B3,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_C3,barcode19,10,5053705,DR387,PCBM046_C3,No sWGA,Field
PCBM046,2025-04-02,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR375-DR505,HRP2 2024_Batch4,88,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM071,2025-04-03,Mulenga Mwenda,rapid,2,To sequence 88 samples from PCBM046,HRP22024_Batch4,82,200,10,192,Mk1b,800,12,,R10.4.1,New,1321,,0,SLMM071_D3,barcode20,10,5053710,DR388,PCBM046_D3,No sWGA,Field
