barcode,n_processed_fastq,sample_id
barcode01,79,8035661
barcode02,79,8035641
barcode03,79,8035627
barcode04,79,8035660
barcode05,79,8035695
barcode06,79,8035690
barcode07,79,8035652
barcode08,79,8035684
barcode09,79,8035662
barcode10,79,8035622
barcode11,79,8035659
barcode12,79,8035643
barcode13,79,8035677
barcode14,79,8035630
barcode15,79,8035678
barcode16,79,8035639
barcode17,79,8035628
barcode18,79,8035644
barcode19,79,8035617
barcode20,79,8035616
barcode21,79,8035612
barcode22,79,8035607
barcode23,79,8035606
barcode24,79,8035608
barcode25,79,8035613
barcode26,79,8035605
barcode27,79,8035698
barcode28,79,8035611
barcode29,79,8035629
barcode30,79,8035640
barcode31,79,8035621
barcode32,79,8035663
barcode33,79,8036007
barcode34,79,8035687
barcode35,79,8035642
barcode36,79,8035666
barcode37,79,8035665
barcode38,79,8035674
barcode39,79,8035664
barcode40,79,8035689
barcode41,79,8035667
barcode42,79,8035668
barcode43,79,8035615
barcode44,79,3D7_MP1
barcode45,79,3D7
barcode46,79,Dd2
barcode47,79,HB3
barcode48,79,Human
barcode49,79,NTC_a
barcode50,79,NTC
unclassified,79,unclassified
