barcode,n_processed_fastq,sample_id
barcode01,125,3D7
barcode02,125,Dd2
barcode03,125,HB3
barcode04,125,Human
barcode05,125,NTC1
barcode06,124,NTC2
barcode07,124,NTC3
barcode08,121,NTC4
barcode09,125,01046791
barcode10,125,01046797
barcode11,125,01046798
barcode12,125,01046799
barcode13,125,01046802
barcode14,125,01046803
barcode15,125,01046804
barcode16,125,01046805
barcode17,125,5053639
barcode18,125,5053640
barcode19,125,5053641
barcode20,125,5053642
barcode21,125,5053643
barcode22,125,5053645
barcode23,125,5053646
barcode24,125,5053647
barcode25,125,5053648
barcode26,125,01053971
barcode27,125,01053943
barcode28,125,5053676
barcode29,125,01045435
barcode30,125,01045436
barcode31,125,01045437
barcode32,125,01045438
barcode33,125,01045439
barcode34,125,01045440
barcode35,125,01045433
barcode36,125,01045446
barcode37,125,01045447
barcode38,125,01045448
barcode39,125,01045449
barcode40,125,01045451
barcode41,125,01045452
barcode42,125,01045453
barcode43,125,01045454
barcode44,125,2033421
barcode45,125,2033428
barcode46,125,2033430
barcode47,125,2033431
barcode48,125,2033432
barcode49,125,8021754
barcode50,125,8021756
barcode51,125,8021758
barcode52,125,8021759
barcode53,125,8021757
barcode54,125,8021753
barcode55,125,8021764
barcode56,125,8021765
barcode57,125,8021784
barcode58,125,8021766
barcode59,125,8021785
barcode60,125,8021786
barcode61,125,8021767
barcode62,125,8021768
barcode63,125,8021769
barcode64,125,8021771
barcode65,125,8021779
barcode66,125,8021778
barcode67,125,8021780
barcode68,125,8021770
barcode69,125,8021776
barcode70,125,8021777
barcode71,125,8021781
barcode72,125,8021783
barcode73,125,8021772
barcode74,125,8021775
barcode75,125,8021773
barcode76,125,5053683
barcode77,125,5053704
barcode78,125,5053716
barcode79,125,5053780
barcode80,125,5053692
barcode81,125,5053706
barcode82,125,5053721
barcode83,125,5053726
barcode84,125,5053732
barcode85,125,5053709
barcode86,125,5053751
barcode87,125,5053722
barcode88,125,5053702
barcode89,125,5053714
barcode90,125,5053782
barcode91,125,5053736
barcode92,125,5053712
barcode93,125,5053700
barcode94,125,5053781
barcode95,125,5053739
barcode96,125,5053724
unclassified,125,unclassified
