barcode,n_processed_fastq,sample_id
barcode01,31,3D7
barcode02,31,Dd2
barcode03,31,HB3
barcode04,31,IPC3445
barcode05,31,IPC3663
barcode06,31,Human
barcode07,31,NTC1
barcode08,31,NTC
barcode09,31,4043513
barcode10,31,1039086
barcode11,31,1039050
barcode12,31,1039066
barcode13,31,1039081
barcode14,31,1039065
barcode15,31,1039089
barcode16,31,1039043
barcode17,31,1039041
barcode18,31,1039116
barcode19,31,1039140
barcode20,31,1039084
barcode21,31,1039100
barcode22,31,1039110
barcode23,31,1039057
barcode24,31,1039120
barcode25,31,1039114
barcode26,31,8019640
barcode27,31,8021624
barcode28,31,8020645
barcode29,31,8020727
barcode30,31,8020943
barcode31,31,8021628
barcode32,31,8019209
barcode33,31,8019265
barcode34,31,8019423
barcode35,31,3031684
barcode36,31,8019298
barcode37,31,8019366
barcode38,31,8018917
barcode39,31,8018869
barcode40,31,8021475
barcode41,31,8018864
barcode42,31,8021482
barcode43,31,8018863
barcode44,31,8021544
barcode45,31,8018865
barcode46,31,8021477
barcode47,31,8018862
barcode48,31,8018911
barcode49,31,8018868
barcode50,31,8021411
barcode51,31,8018873
barcode52,31,8018914
barcode53,31,8018872
barcode54,31,8018867
barcode55,31,1053913
barcode56,31,8018912
barcode57,31,8018866
barcode58,31,8019973
barcode59,31,1053912
barcode60,31,8019861
barcode61,31,1053914
barcode62,31,8018905
barcode63,31,2033419
barcode64,31,8021251
barcode65,31,8018871
unclassified,31,unclassified
