expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_massloaded_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,73.0,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_C2,barcode11,10,01039050,DR871,PCBM057_C2,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,47.6,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_D2,barcode12,10,01039066,DR873,PCBM057_D2,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,5.52,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_E2,barcode13,10,01039081,DR877,PCBM057_E2,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,4.22,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_F2,barcode14,10,01039065,DR881,PCBM057_F2,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,6.54,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_G2,barcode15,10,01039089,DR883,PCBM057_G2,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,2.82,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_H2,barcode16,10,01039043,DR884,PCBM057_H2,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,8.6,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_A3,barcode17,10,01039041,DR885,PCBM057_A3,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,71.6,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_B3,barcode18,10,01039116,DR888,PCBM057_B3,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,57.8,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_C3,barcode19,10,01039140,DR889,PCBM057_C3,,Field
PCBM057,2025-07-02,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 64 samples collected during the HRP2 survey in 2024 Sample Ids DR869-DR897 and TES2023 treatment failures CW159-CW197.,HRP2/3_Batch13,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,10.9,SLMM079,2025-07-03,Mulenga Mwenda,rapid,3,To sequence samples from PCBM057. TES 2023 treatment failures and HRP2 samples,HRP22024_Batch13,65,200,10,222,Mk1b,800,800,11,,R10.4.1,New,1610,,0,SLMM079_D3,barcode20,10,01039084,DR890,PCBM057_D3,,Field
