expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_type;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;pos;3D7;3D7;;PCBM039_A1;SLMM064_A1;barcode01;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;pos;Dd2;Dd2;;PCBM039_B1;SLMM064_B1;barcode02;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;pos;HB3;HB3;;PCBM039_C1;SLMM064_C1;barcode03;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;neg;human;human;;PCBM039_D1;SLMM064_D1;barcode04;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;neg;NTC-a;NTC-a;;PCBM039_E1;SLMM064_E1;barcode05;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;field;8030793;DV834;;PCBM039_F1;SLMM064_F1;barcode06;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;field;8030794;DV835;;PCBM039_G1;SLMM064_G1;barcode07;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;field;8030809;DV836;;PCBM039_H1;SLMM064_H1;barcode08;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;field;8030810;DV837;;PCBM039_A2;SLMM064_A2;barcode09;10
SLMM064;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR positive MIS2024 samples using the MVP Rapid protocol;MIS2024_Batch7;96;200;10;148;Mk1b;800;12;;R10.4.1;Used;526;;24;field;8030812;DV838;;PCBM039_B2;SLMM064_B2;barcode10;10
