barcode,n_processed_fastq,sample_id
barcode01,321,3D7
barcode02,306,Dd2
barcode03,332,HB3
barcode04,324,IPC3445
barcode05,321,IPC3663
barcode06,210,Human
barcode07,61,NTC1
barcode08,68,NTC
barcode09,347,8012743
barcode10,298,8012744
barcode11,337,8012745
barcode12,318,8012746
barcode13,327,8012748
barcode14,294,8012749
barcode15,337,8012912
barcode16,318,8012915
barcode17,310,8012916
barcode18,325,8012917
barcode19,351,8012919
barcode20,314,8012921
barcode21,182,8012922
barcode22,339,8012923
barcode23,339,8012929
barcode24,248,8012930
barcode25,221,8012931
barcode26,303,8012932
barcode27,72,8012935
barcode28,334,8013577
barcode29,156,8013578
barcode30,348,8013579
barcode31,353,8013580
barcode32,232,8013585
barcode33,299,8013589
barcode34,318,8013590
barcode35,305,8013597
barcode36,252,8013598
barcode37,296,8013601
barcode38,132,8013602
barcode39,352,8013604
barcode40,334,8013606
barcode41,316,8013608
barcode42,310,8013609
barcode43,283,8013611
barcode44,333,8013612
barcode45,353,8013613
barcode46,344,8013614
barcode47,319,8013616
barcode48,302,8013620
barcode49,120,8013623
barcode50,347,8013624
barcode51,337,8013625
barcode52,334,8013629
barcode53,314,8013630
barcode54,329,8013632
barcode55,333,8013633
barcode56,292,8013635
barcode57,270,8013638
barcode58,97,8013643
barcode59,341,8013644
barcode60,298,8013645
barcode61,328,8013647
barcode62,308,8013648
barcode63,352,8013649
barcode64,346,8013650
barcode65,343,8013651
barcode66,312,8013656
barcode67,343,8013658
barcode68,248,8013662
barcode69,329,8013665
barcode70,283,8013666
barcode71,335,8013667
barcode72,335,8013670
barcode73,320,8013671
barcode74,259,8013674
barcode75,328,8013078
barcode76,348,8013081
barcode77,342,8013082
barcode78,309,8013085
barcode79,153,8013086
barcode80,323,8013088
barcode81,326,8013089
barcode82,333,8013090
barcode83,320,8013104
barcode84,319,8013106
barcode85,304,8013114
barcode86,326,8013117
barcode87,359,8013121
barcode88,340,8013124
barcode89,325,8013127
barcode90,291,8013134
barcode91,268,8013136
barcode92,327,8013151
barcode93,304,8013152
barcode94,296,EE736
barcode95,223,EE737
barcode96,122,EE738
unclassified,430,unclassified
