well,sample_id,drug,conc_nm,replicate,au
A1,8036288,dha,250.0,1,1.05
A2,8036288,dha,250.0,2,1.19
A3,8036288,lum,1000.0,1,1.21
A4,8036288,lum,1000.0,2,1.18
A5,8036289,dha,250.0,1,1.56
A6,8036289,dha,250.0,2,1.58
A7,8036289,lum,1000.0,1,1.65
A8,8036289,lum,1000.0,2,1.58
A9,8036290,dha,250.0,1,1.5
A10,8036290,dha,250.0,2,1.53
A11,8036290,lum,1000.0,1,1.42
A12,8036290,lum,1000.0,2,1.29
B1,8036288,dha,83.33333333333333,1,1.01
B2,8036288,dha,83.33333333333333,2,1.15
B3,8036288,lum,333.3333333333333,1,1.14
B4,8036288,lum,333.3333333333333,2,1.14
B5,8036289,dha,83.33333333333333,1,1.54
B6,8036289,dha,83.33333333333333,2,1.54
B7,8036289,lum,333.3333333333333,1,1.55
B8,8036289,lum,333.3333333333333,2,1.53
B9,8036290,dha,83.33333333333333,1,1.46
B10,8036290,dha,83.33333333333333,2,1.49
B11,8036290,lum,333.3333333333333,1,1.47
B12,8036290,lum,333.3333333333333,2,1.33
C1,8036288,dha,27.77777777777778,1,1.03
C2,8036288,dha,27.77777777777778,2,1.23
C3,8036288,lum,111.11111111111111,1,1.17
C4,8036288,lum,111.11111111111111,2,1.17
C5,8036289,dha,27.77777777777778,1,1.46
C6,8036289,dha,27.77777777777778,2,1.56
C7,8036289,lum,111.11111111111111,1,1.57
C8,8036289,lum,111.11111111111111,2,1.51
C9,8036290,dha,27.77777777777778,1,1.46
C10,8036290,dha,27.77777777777778,2,1.52
C11,8036290,lum,111.11111111111111,1,1.45
C12,8036290,lum,111.11111111111111,2,1.39
D1,8036288,dha,9.25925925925926,1,1.07
D2,8036288,dha,9.25925925925926,2,1.22
D3,8036288,lum,37.03703703703704,1,1.14
D4,8036288,lum,37.03703703703704,2,1.12
D5,8036289,dha,9.25925925925926,1,1.43
D6,8036289,dha,9.25925925925926,2,1.5
D7,8036289,lum,37.03703703703704,1,1.55
D8,8036289,lum,37.03703703703704,2,1.51
D9,8036290,dha,9.25925925925926,1,1.47
D10,8036290,dha,9.25925925925926,2,1.51
D11,8036290,lum,37.03703703703704,1,1.48
D12,8036290,lum,37.03703703703704,2,1.35
E1,8036288,dha,3.0864197530864197,1,1.1
E2,8036288,dha,3.0864197530864197,2,1.28
E3,8036288,lum,12.345679012345679,1,1.15
E4,8036288,lum,12.345679012345679,2,1.18
E5,8036289,dha,3.0864197530864197,1,1.81
E6,8036289,dha,3.0864197530864197,2,1.72
E7,8036289,lum,12.345679012345679,1,2.06
E8,8036289,lum,12.345679012345679,2,2.0
E9,8036290,dha,3.0864197530864197,1,1.41
E10,8036290,dha,3.0864197530864197,2,1.48
E11,8036290,lum,12.345679012345679,1,1.45
E12,8036290,lum,12.345679012345679,2,1.3
F1,8036288,dha,1.02880658436214,1,1.1
F2,8036288,dha,1.02880658436214,2,1.29
F3,8036288,lum,4.11522633744856,1,1.22
F4,8036288,lum,4.11522633744856,2,1.21
F5,8036289,dha,1.02880658436214,1,2.3
F6,8036289,dha,1.02880658436214,2,2.24
F7,8036289,lum,4.11522633744856,1,2.31
F8,8036289,lum,4.11522633744856,2,2.31
F9,8036290,dha,1.02880658436214,1,1.47
F10,8036290,dha,1.02880658436214,2,1.51
F11,8036290,lum,4.11522633744856,1,1.46
F12,8036290,lum,4.11522633744856,2,1.33
G1,8036288,dha,0.3429355281207133,1,1.09
G2,8036288,dha,0.3429355281207133,2,1.34
G3,8036288,lum,1.3717421124828533,1,1.22
G4,8036288,lum,1.3717421124828533,2,1.22
G5,8036289,dha,0.3429355281207133,1,2.63
G6,8036289,dha,0.3429355281207133,2,2.56
G7,8036289,lum,1.3717421124828533,1,2.51
G8,8036289,lum,1.3717421124828533,2,2.48
G9,8036290,dha,0.3429355281207133,1,1.38
G10,8036290,dha,0.3429355281207133,2,1.43
G11,8036290,lum,1.3717421124828533,1,1.39
G12,8036290,lum,1.3717421124828533,2,1.22
H1,8036288,dha,0.0,1,1.04
H2,8036288,dha,0.0,2,1.22
H3,8036288,lum,0.0,1,1.19
H4,8036288,lum,0.0,2,1.19
H5,8036289,dha,0.0,1,2.59
H6,8036289,dha,0.0,2,2.57
H7,8036289,lum,0.0,1,2.54
H8,8036289,lum,0.0,2,2.49
H9,8036290,dha,0.0,1,1.3
H10,8036290,dha,0.0,2,1.3
H11,8036290,lum,0.0,1,1.27
H12,8036290,lum,0.0,2,1.22
