barcode,n_processed_fastq,sample_id
barcode01,42,3D7
barcode02,42,Dd2
barcode03,42,HB3
barcode04,42,IPC3663
barcode05,42,Human
barcode06,42,NTC
barcode07,42,4043139
barcode08,42,4043140
barcode09,42,4043141
barcode10,42,4043143
barcode11,42,4043144
barcode12,42,4043145
barcode13,42,4043148
barcode14,42,8036468
barcode15,42,8036469
barcode16,42,8036470
barcode17,42,8036471
barcode18,42,8036473
barcode19,42,8036474
barcode20,42,8036475
barcode21,42,8036477
barcode22,42,8036478
barcode23,42,8036481
barcode24,42,8036482
barcode25,42,8036484
barcode26,42,8036485
barcode27,42,8036486
barcode28,42,8036488
barcode29,42,8036490
barcode30,42,8036492
barcode31,42,8036493
barcode32,42,8036494
barcode33,42,8036495
barcode34,42,8036496
barcode35,42,8036497
barcode36,42,8036498
barcode37,42,8036499
barcode38,42,8036500
barcode39,42,8036502
barcode40,42,8036503
barcode41,42,8036504
barcode42,42,8036505
barcode43,42,8036506
barcode44,42,8036507
barcode45,42,8036512
barcode46,42,8036513
barcode47,42,8036514
barcode48,42,8036515
barcode49,42,8036517
barcode50,42,8036518
barcode51,42,8036520
barcode52,42,8036522
barcode53,42,8036523
barcode54,42,8036525
barcode55,42,8036527
barcode56,42,8036528
barcode57,42,8036530
barcode58,42,8036532
barcode59,42,8036539
barcode60,42,8036540
barcode61,42,8036541
barcode62,42,8036544
barcode63,42,8036545
barcode64,42,8036546
barcode65,42,8036548
barcode66,42,8036552
barcode67,42,8036553
barcode68,42,8036554
barcode69,42,8036556
barcode70,42,8036557
barcode71,42,8036560
barcode72,42,8010579
barcode73,42,8011268
barcode74,42,8011272
barcode75,42,8011273
barcode76,42,8011280
barcode77,42,8011281
barcode78,42,8011282
barcode79,42,8011286
barcode80,42,8011305
barcode81,42,8011312
barcode82,42,8010061
barcode83,42,8010062
barcode84,42,8010251
barcode85,42,8010255
barcode86,42,8010259
barcode87,42,8010265
barcode88,42,8010266
barcode89,42,8010285
barcode90,42,8010286
barcode91,42,8010292
barcode92,42,8010499
unclassified,42,unclassified
