sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,44.2
Dd2,Positive,barcode02,47.6
HB3,Positive,barcode03,45.0
Human,Negative,barcode04,2.58
NTC,Negative,barcode05,0.0708
8036305,Field,barcode06,12.6
8036307,Field,barcode07,12.5
8036309,Field,barcode08,10.8
8036310,Field,barcode09,21.0
8036312,Field,barcode10,23.6
8036313,Field,barcode11,7.38
8036314,Field,barcode12,17.4
8036315,Field,barcode13,13.6
8036316,Field,barcode14,10.2
8036317,Field,barcode15,21.4
8036318,Field,barcode16,21.2
8036319,Field,barcode17,13.1
8036321,Field,barcode18,11.7
8036322,Field,barcode19,6.7
8036323,Field,barcode20,10.0
8036324,Field,barcode21,7.6
8036325,Field,barcode22,57.4
8036327,Field,barcode23,1.24
8036328,Field,barcode24,0.0218
8036333,Field,barcode25,36.6
8036334,Field,barcode26,20.2
8036337,Field,barcode27,13.8
8036339,Field,barcode28,17.8
8036340,Field,barcode29,27.6
8036341,Field,barcode30,45.2
8036342,Field,barcode31,36.8
8036343,Field,barcode32,54.2
8036345,Field,barcode33,30.8
8036346,Field,barcode34,18.8
8036347,Field,barcode35,36.4
8036349,Field,barcode36,36.0
8036350,Field,barcode37,17.0
8036351,Field,barcode38,39.6
8036352,Field,barcode39,26.2
8036353,Field,barcode40,39.6
8036354,Field,barcode41,24.6
8036355,Field,barcode42,52.8
8036356,Field,barcode43,17.1
8036357,Field,barcode44,23.6
8036358,Field,barcode45,42.0
8036359,Field,barcode46,33.0
8036360,Field,barcode47,22.4
8036361,Field,barcode48,68.0
8036362,Field,barcode49,30.6
8036364,Field,barcode50,8.76
8036365,Field,barcode51,9.12
8036367,Field,barcode52,7.88
8036368,Field,barcode53,19.3
8036372,Field,barcode54,29.6
8036376,Field,barcode55,46.8
8036379,Field,barcode56,10.2
8036380,Field,barcode57,33.2
8036381,Field,barcode58,74.4
8036382,Field,barcode59,24.2
8036383,Field,barcode60,37.0
8036385,Field,barcode61,13.8
8036387,Field,barcode62,20.2
8036388,Field,barcode63,24.4
8036390,Field,barcode64,1.29
8036393,Field,barcode65,22.8
8036395,Field,barcode66,31.6
8036396,Field,barcode67,16.8
8036398,Field,barcode68,18.3
8036399,Field,barcode69,34.4
8036401,Field,barcode70,58.8
8036403,Field,barcode71,18.0
8036404,Field,barcode72,66.6
8036416,Field,barcode73,95.4
8036417,Field,barcode74,32.8
8036418,Field,barcode75,24.8
8036420,Field,barcode76,11.4
8036429,Field,barcode77,24.2
8036430,Field,barcode78,42.4
8036432,Field,barcode79,43.0
8036433,Field,barcode80,58.0
8036435,Field,barcode81,58.8
8036437,Field,barcode82,23.4
8036438,Field,barcode83,22.8
8036440,Field,barcode84,13.4
8036441,Field,barcode85,9.48
8036444,Field,barcode86,5.22
8036445,Field,barcode87,6.38
8036446,Field,barcode88,31.6
