barcode,n_processed_fastq,sample_id
barcode01,6,3D7
barcode02,7,Dd2
barcode03,5,HB3
barcode04,1,human
barcode05,1,NTC-a
barcode06,6,8030793
barcode07,12,8030794
barcode08,9,8030809
barcode09,10,8030810
barcode10,8,8030812
barcode11,6,8030813
barcode12,6,8030816
barcode13,7,8030817
barcode14,9,8030818
barcode15,6,8030819
barcode16,8,8030820
barcode17,7,8030822
barcode18,8,8030823
barcode19,8,8030825
barcode20,5,8030826
barcode21,7,8030827
barcode22,6,8030828
barcode23,7,8030829
barcode24,2,8030830
barcode25,7,8031002
barcode26,8,8031011
barcode27,5,8031015
barcode28,4,8031016
barcode29,6,8031019
barcode30,2,8031020
barcode31,4,8031023
barcode32,5,8031024
barcode33,3,8031031
barcode34,3,8031035
barcode35,3,8031044
barcode36,5,8031051
barcode37,1,8031064
barcode38,6,8031067
barcode39,7,8031068
barcode40,1,8031071
barcode41,7,8031074
barcode42,8,8031075
barcode43,7,8031078
barcode44,4,8031079
barcode45,8,8031081
barcode46,9,8031083
barcode47,5,8031084
barcode48,3,8031085
unclassified,44,unclassified
