barcode,n_processed_fastq,sample_id
barcode01,432,3D7
barcode02,432,Dd2
barcode03,432,HB3
barcode04,429,humanDNA
barcode05,185,NTC
barcode06,432,8010512
barcode07,432,8010522
barcode08,433,8032012
barcode09,433,8010536
barcode10,432,8010514
barcode11,432,8010535
barcode12,132,8032344
barcode13,433,8032294
barcode14,416,8032053
barcode15,432,8032552
barcode16,432,8032023
barcode17,432,8031824
barcode18,375,8010520
barcode19,295,8031788
barcode20,346,8032009
barcode21,320,8032029
barcode22,385,8031801
barcode23,360,8010545
barcode24,362,8032021
barcode25,290,8032298
barcode26,432,8032550
barcode27,432,8032297
barcode28,432,8032581
barcode29,193,8031819
barcode30,432,8010565
barcode31,432,8010511
barcode32,433,8031779
barcode33,432,8032003
barcode34,431,8032589
barcode35,432,8031820
barcode36,432,8010555
barcode37,432,8032064
barcode38,432,8032319
barcode39,432,8032551
barcode40,432,8032025
barcode41,432,8010564
barcode42,432,8032545
barcode43,432,8032279
barcode44,432,8032573
barcode45,433,8010524
barcode46,158,NTC_a
barcode47,271,NTC_b
barcode48,432,3D7_nmcc
unclassified,433,unclassified
