well,sample_id,drug,conc_nm,replicate,au
A1,8033811,dha,250.0,1.0,0.99
A2,8033811,dha,250.0,2.0,1.09
A3,8033811,lum,1000.0,1.0,1.16
A4,8033811,lum,1000.0,2.0,1.18
A5,8033812,dha,250.0,1.0,0.97
A6,8033812,dha,250.0,2.0,1.0
A7,8033812,lum,1000.0,1.0,1.04
A8,8033812,lum,1000.0,2.0,1.02
A9,,,,,6.73
A10,,,,,6.87
A11,,,,,7.12
A12,,,,,6.01
B1,8033811,dha,62.5,1.0,0.99
B2,8033811,dha,62.5,2.0,1.04
B3,8033811,lum,250.0,1.0,1.14
B4,8033811,lum,250.0,2.0,1.18
B5,8033812,dha,62.5,1.0,0.96
B6,8033812,dha,62.5,2.0,0.98
B7,8033812,lum,250.0,1.0,1.03
B8,8033812,lum,250.0,2.0,0.92
B9,,,,,7.74
B10,,,,,6.63
B11,,,,,8.29
B12,,,,,6.43
C1,8033811,dha,15.625,1.0,0.99
C2,8033811,dha,15.625,2.0,1.12
C3,8033811,lum,62.5,1.0,1.13
C4,8033811,lum,62.5,2.0,1.18
C5,8033812,dha,15.625,1.0,0.97
C6,8033812,dha,15.625,2.0,1.01
C7,8033812,lum,62.5,1.0,1.03
C8,8033812,lum,62.5,2.0,0.97
C9,,,,,7.71
C10,,,,,8.58
C11,,,,,6.78
C12,,,,,7.52
D1,8033811,dha,3.90625,1.0,1.04
D2,8033811,dha,3.90625,2.0,0.52
D3,8033811,lum,15.625,1.0,1.13
D4,8033811,lum,15.625,2.0,1.13
D5,8033812,dha,3.90625,1.0,0.94
D6,8033812,dha,3.90625,2.0,0.94
D7,8033812,lum,15.625,1.0,1.03
D8,8033812,lum,15.625,2.0,1.06
D9,,,,,7.89
D10,,,,,7.93
D11,,,,,7.85
D12,,,,,6.62
E1,8033811,dha,0.9765625,1.0,1.09
E2,8033811,dha,0.9765625,2.0,1.1
E3,8033811,lum,3.90625,1.0,1.27
E4,8033811,lum,3.90625,2.0,1.31
E5,8033812,dha,0.9765625,1.0,1.05
E6,8033812,dha,0.9765625,2.0,1.02
E7,8033812,lum,3.90625,1.0,1.33
E8,8033812,lum,3.90625,2.0,1.46
E9,,,,,9.77
E10,,,,,8.19
E11,,,,,9.28
E12,,,,,7.28
F1,8033811,dha,0.244140625,1.0,1.23
F2,8033811,dha,0.244140625,2.0,1.35
F3,8033811,lum,0.9765625,1.0,1.45
F4,8033811,lum,0.9765625,2.0,1.5
F5,8033812,dha,0.244140625,1.0,1.42
F6,8033812,dha,0.244140625,2.0,1.35
F7,8033812,lum,0.9765625,1.0,1.66
F8,8033812,lum,0.9765625,2.0,1.7
F9,,,,,8.64
F10,,,,,9.65
F11,,,,,9.25
F12,,,,,8.42
G1,8033811,dha,0.06103515625,1.0,1.35
G2,8033811,dha,0.06103515625,2.0,1.44
G3,8033811,lum,0.244140625,1.0,1.53
G4,8033811,lum,0.244140625,2.0,1.58
G5,8033812,dha,0.06103515625,1.0,1.78
G6,8033812,dha,0.06103515625,2.0,1.68
G7,8033812,lum,0.244140625,1.0,1.65
G8,8033812,lum,0.244140625,2.0,1.66
G9,,,,,7.5
G10,,,,,7.88
G11,,,,,8.5
G12,,,,,6.63
H1,8033811,dha,0.0,1.0,1.38
H2,8033811,dha,0.0,2.0,1.48
H3,8033811,lum,0.0,1.0,1.51
H4,8033811,lum,0.0,2.0,1.6
H5,8033812,dha,0.0,1.0,1.78
H6,8033812,dha,0.0,2.0,1.68
H7,8033812,lum,0.0,1.0,1.75
H8,8033812,lum,0.0,2.0,1.69
H9,,,,,6.67
H10,,,,,6.92
H11,,,,,6.72
H12,,,,,7.44
