expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_A1,barcode01,10,3D7,3D7,PCBM047_A1,,Positive
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_B1,barcode02,10,Dd2,Dd2,PCBM047_B1,,Positive
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_C1,barcode03,10,HB3,HB3,PCBM047_C1,,Positive
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_D1,barcode04,10,Human,Human,PCBM047_D1,,Negative
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_E1,barcode05,10,NTC1,NTC1,PCBM047_E1,,Negative
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_F1,barcode06,10,NTC2,NTC2,PCBM047_F1,,Negative
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_G1,barcode07,10,5053962,DR507,PCBM047_G1,,Field
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_H1,barcode08,10,5053843,DR511,PCBM047_H1,,Field
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_A2,barcode09,10,5053837,DR512,PCBM047_A2,,Field
PCBM047,2025-04-03,Brenda Mambwe,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR619-DR650,HRP2 2024_Batch5,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0,SLMM072,2025-04-04,Mulenga Mwenda,rapid,2,To sequence samples on PCBM047,HRP22024_Batch5,96,200,10,170,,800,12,,,,,,,SLMM072_B2,barcode10,10,5053831,DR514,PCBM047_B2,,Field
