sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode41,58.6
Dd2,Positive,barcode42,68.4
HB3,Positive,barcode43,98.4
Human,Negative,barcode44,8.62
NTC,Negative,barcode45,0.0692
8036406,Field,barcode46,67.0
8036407,Field,barcode47,65.4
8036408,Field,barcode48,95.4
8036409,Field,barcode49,27.0
8036411,Field,barcode50,39.4
8036412,Field,barcode51,75.0
8036413,Field,barcode52,68.2
8036415,Field,barcode53,71.0
8033789,Field,barcode54,45.0
8033795,Field,barcode55,97.2
8033797,Field,barcode56,88.0
8033799,Field,barcode57,73.6
8033800,Field,barcode58,36.4
8033806,Field,barcode59,69.8
8033807,Field,barcode60,88.6
8033808,Field,barcode61,43.0
8033809,Field,barcode62,59.6
8033811,Field,barcode63,90.4
8033812,Field,barcode64,96.4
8036417-D4,Field,barcode65,9.9
8036425-D4,Field,barcode66,20.6
8036435-D3,Field,barcode67,6.42
8036449-D3,Field,barcode68,21.8
8033754-D3,Field,barcode69,72.8
8033763-D3,Field,barcode70,23.8
8033773-D7,Field,barcode71,0.412
8033784-D3,Field,barcode72,13.4
8036339,Field,barcode73,67.0
8036390,Field,barcode74,1.67
