expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,64.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_D2,barcode12,10,01046799,DR250,PCMM077_D2,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,53.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_E2,barcode13,10,01046802,DR251,PCMM077_E2,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,40.4,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_F2,barcode14,10,01046803,DR252,PCMM077_F2,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,59.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_G2,barcode15,10,01046804,DR253,PCMM077_G2,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,86.4,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_H2,barcode16,10,01046805,DR254,PCMM077_H2,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,67.4,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_A3,barcode17,10,5053639,DR255,PCMM077_A3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,75.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_B3,barcode18,10,5053640,DR256,PCMM077_B3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,32.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_C3,barcode19,10,5053641,DR257,PCMM077_C3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.0346,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_D3,barcode20,10,5053642,DR258,PCMM077_D3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,17.5,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_E3,barcode21,10,5053643,DR261,PCMM077_E3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,25.0,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_F3,barcode22,10,5053645,DR259,PCMM077_F3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,9.66,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_G3,barcode23,10,5053646,DR262,PCMM077_G3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,29.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_H3,barcode24,10,5053647,DR263,PCMM077_H3,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,70.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_A4,barcode25,10,5053648,DR264,PCMM077_A4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,52.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_B4,barcode26,10,01053971,DR268,PCMM077_B4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,2.42,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_C4,barcode27,10,01053943,DR269,PCMM077_C4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.41,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_D4,barcode28,10,5053676,DR273,PCMM077_D4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,0.934,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_E4,barcode29,10,01045435,DR276,PCMM077_E4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,16.8,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_F4,barcode30,10,01045436,DR277,PCMM077_F4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,27.4,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_G4,barcode31,10,01045437,DR278,PCMM077_G4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,3.1,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_H4,barcode32,10,01045438,DR279,PCMM077_H4,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,53.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_A5,barcode33,10,01045439,DR280,PCMM077_A5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,8.66,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_B5,barcode34,10,01045440,DR281,PCMM077_B5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,24.6,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_C5,barcode35,10,01045433,DR284,PCMM077_C5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,14.0,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_D5,barcode36,10,01045446,DR285,PCMM077_D5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,35.4,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_E5,barcode37,10,01045447,DR286,PCMM077_E5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,59.2,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_F5,barcode38,10,01045448,DR287,PCMM077_F5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,14.1,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_G5,barcode39,10,01045449,DR288,PCMM077_G5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,7.32,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_H5,barcode40,10,01045451,DR290,PCMM077_H5,,Field
PCMM077,2025-04-02,Mulenga Mwenda,9,NOMADS_MVP,To test HRP2 samples with Mvp primer panel. The samples are positive for PET-PCR starting from DR246 to DR374,HRP2 2024_Batch2,96,N004,,Pf-03-9,,KAPA HiFi ReadyMix,3.42,SLMM070,2025-04-03,Mulenga Mwenda,rapid,2,,HRP2 2024_Batch3,96,200,10,165,Mk1b,800,12,,R10.4.1,New,1437,,0,SLMM070_A6,barcode41,10,01045452,DR291,PCMM077_A6,,Field
