well,sample_id,drug,conc_nm,replicate,au
A1,8036305,dha,250.0,1,1.28
A2,8036305,dha,250.0,2,1.3
A3,8036305,lum,1000.0,1,1.4
A4,8036305,lum,1000.0,2,1.41
A5,8036307,dha,250.0,1,7.79
A6,8036307,dha,250.0,2,7.67
A7,8036307,lum,1000.0,1,7.71
A8,8036307,lum,1000.0,2,7.35
A9,8036309,dha,250.0,1,0.91
A10,8036309,dha,250.0,2,0.88
A11,8036309,lum,1000.0,1,0.88
A12,8036309,lum,1000.0,2,0.79
B1,8036305,dha,83.33333333333333,1,1.22
B2,8036305,dha,83.33333333333333,2,1.26
B3,8036305,lum,333.3333333333333,1,1.47
B4,8036305,lum,333.3333333333333,2,1.45
B5,8036307,dha,83.33333333333333,1,7.55
B6,8036307,dha,83.33333333333333,2,7.35
B7,8036307,lum,333.3333333333333,1,7.18
B8,8036307,lum,333.3333333333333,2,6.93
B9,8036309,dha,83.33333333333333,1,0.86
B10,8036309,dha,83.33333333333333,2,0.89
B11,8036309,lum,333.3333333333333,1,0.93
B12,8036309,lum,333.3333333333333,2,0.87
C1,8036305,dha,27.77777777777778,1,1.35
C2,8036305,dha,27.77777777777778,2,1.34
C3,8036305,lum,111.11111111111111,1,1.47
C4,8036305,lum,111.11111111111111,2,1.49
C5,8036307,dha,27.77777777777778,1,7.29
C6,8036307,dha,27.77777777777778,2,7.45
C7,8036307,lum,111.11111111111111,1,7.49
C8,8036307,lum,111.11111111111111,2,7.06
C9,8036309,dha,27.77777777777778,1,0.94
C10,8036309,dha,27.77777777777778,2,0.91
C11,8036309,lum,111.11111111111111,1,0.9
C12,8036309,lum,111.11111111111111,2,0.86
D1,8036305,dha,9.25925925925926,1,1.37
D2,8036305,dha,9.25925925925926,2,1.34
D3,8036305,lum,37.03703703703704,1,1.49
D4,8036305,lum,37.03703703703704,2,1.51
D5,8036307,dha,9.25925925925926,1,7.34
D6,8036307,dha,9.25925925925926,2,7.08
D7,8036307,lum,37.03703703703704,1,7.37
D8,8036307,lum,37.03703703703704,2,6.87
D9,8036309,dha,9.25925925925926,1,0.93
D10,8036309,dha,9.25925925925926,2,0.89
D11,8036309,lum,37.03703703703704,1,0.91
D12,8036309,lum,37.03703703703704,2,0.87
E1,8036305,dha,3.0864197530864197,1,1.36
E2,8036305,dha,3.0864197530864197,2,1.39
E3,8036305,lum,12.345679012345679,1,1.6
E4,8036305,lum,12.345679012345679,2,1.63
E5,8036307,dha,3.0864197530864197,1,7.73
E6,8036307,dha,3.0864197530864197,2,6.97
E7,8036307,lum,12.345679012345679,1,7.1
E8,8036307,lum,12.345679012345679,2,6.63
E9,8036309,dha,3.0864197530864197,1,0.86
E10,8036309,dha,3.0864197530864197,2,0.91
E11,8036309,lum,12.345679012345679,1,0.88
E12,8036309,lum,12.345679012345679,2,0.83
F1,8036305,dha,1.02880658436214,1,1.39
F2,8036305,dha,1.02880658436214,2,1.32
F3,8036305,lum,4.11522633744856,1,1.57
F4,8036305,lum,4.11522633744856,2,1.62
F5,8036307,dha,1.02880658436214,1,7.24
F6,8036307,dha,1.02880658436214,2,6.73
F7,8036307,lum,4.11522633744856,1,7.03
F8,8036307,lum,4.11522633744856,2,6.91
F9,8036309,dha,1.02880658436214,1,0.89
F10,8036309,dha,1.02880658436214,2,0.87
F11,8036309,lum,4.11522633744856,1,0.89
F12,8036309,lum,4.11522633744856,2,0.85
G1,8036305,dha,0.3429355281207133,1,1.36
G2,8036305,dha,0.3429355281207133,2,1.4
G3,8036305,lum,1.3717421124828533,1,1.63
G4,8036305,lum,1.3717421124828533,2,1.61
G5,8036307,dha,0.3429355281207133,1,7.33
G6,8036307,dha,0.3429355281207133,2,6.31
G7,8036307,lum,1.3717421124828533,1,6.84
G8,8036307,lum,1.3717421124828533,2,6.49
G9,8036309,dha,0.3429355281207133,1,0.82
G10,8036309,dha,0.3429355281207133,2,0.83
G11,8036309,lum,1.3717421124828533,1,0.85
G12,8036309,lum,1.3717421124828533,2,0.79
H1,8036305,dha,0.0,1,1.39
H2,8036305,dha,0.0,2,1.4
H3,8036305,lum,0.0,1,1.67
H4,8036305,lum,0.0,2,1.54
H5,8036307,dha,0.0,1,7.42
H6,8036307,dha,0.0,2,6.53
H7,8036307,lum,0.0,1,6.62
H8,8036307,lum,0.0,2,6.15
H9,8036309,dha,0.0,1,0.82
H10,8036309,dha,0.0,2,0.78
H11,8036309,lum,0.0,1,0.78
H12,8036309,lum,0.0,2,0.75
