expt_id,expt_date,expt_user,expt_type,expt_sub-type,expt_version,expt_notes,expt_summary,expt_rxns,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_massloaded_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,sample_id,extraction_id,sample_type,swga_identifier,pcr_identifier,seqlib_identifier,barcode,pcrproductadded_vol_ul
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013155,EE463,Field,,PCMM080_A1,SLMM080_A1,barcode01,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013156,EE464,Field,,PCMM080_B1,SLMM080_B1,barcode02,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013158,EE466,Field,,PCMM080_C1,SLMM080_C1,barcode03,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013159,EE467,Field,,PCMM080_D1,SLMM080_D1,barcode04,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013160,EE468,Field,,PCMM080_E1,SLMM080_E1,barcode05,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013161,EE469,Field,,PCMM080_F1,SLMM080_F1,barcode06,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013163,EE471,Field,,PCMM080_G1,SLMM080_G1,barcode07,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013165,EE473,Field,,PCMM080_H1,SLMM080_H1,barcode08,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013171,EE479,Field,,PCMM080_A2,SLMM080_A2,barcode09,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8013173,EE481,Field,,PCMM080_B2,SLMM080_B2,barcode10,10
SLMM080,2025-07-16,Mulenga Mwenda,seqlib,rapid,3,To sequence samples amplified on PCMM080,HRP2_2024_Batch14,96,200,10,206,Mk1b,800,800,11,,R10.4.1,New,1492,,0,8031579,EE484,Field,,PCMM080_C2,SLMM080_C2,barcode11,10
