barcode,n_processed_fastq,sample_id
barcode01,433,3D7
barcode02,432,Dd2
barcode03,432,HB3
barcode04,425,Human
barcode05,359,NTC1
barcode06,332,NTC2
barcode07,406,5053962
barcode08,422,5053843
barcode09,430,5053837
barcode10,432,5053831
barcode11,432,2030496
barcode12,433,5053836
barcode13,432,5053842
barcode14,432,5053835
barcode15,432,1012544
barcode16,432,1012525
barcode17,432,1012412
barcode18,432,1012542
barcode19,433,1012540
barcode20,432,1012559
barcode21,432,1012556
barcode22,432,1012574
barcode23,433,1012543
barcode24,433,1012546
barcode25,406,1012548
barcode26,422,1012539
barcode27,432,1012577
barcode28,433,1012538
barcode29,433,1012512
barcode30,432,1012552
barcode31,428,1012527
barcode32,432,1012579
barcode33,433,1012413
barcode34,433,1012521
barcode35,397,8023350
barcode36,432,8023340
barcode37,432,8023349
barcode38,432,8023336
barcode39,432,8023334
barcode40,430,8023324
barcode41,432,8023330
barcode42,432,8023337
barcode43,432,8023332
barcode44,432,8023320
barcode45,432,8023319
barcode46,433,8023323
barcode47,432,8023326
barcode48,406,8023325
barcode49,426,8023328
barcode50,432,8023335
barcode51,433,8023345
barcode52,432,8023331
barcode53,432,8023346
barcode54,432,8023322
barcode55,432,8023338
barcode56,433,8023348
barcode57,432,8023321
barcode58,432,8023347
barcode59,433,01040820
barcode60,433,8023342
barcode61,432,8023285
barcode62,432,1012271
barcode63,433,1012270
barcode64,430,8023282
barcode65,383,8023250
barcode66,393,8023260
barcode67,432,1012320
barcode68,432,8023251
barcode69,432,8023249
barcode70,432,8023417
barcode71,432,8023441
barcode72,432,8023429
barcode73,432,8023424
barcode74,429,8023423
barcode75,432,8023430
barcode76,432,8023434
barcode77,432,8023421
barcode78,433,8023438
barcode79,433,8023442
barcode80,433,8023427
barcode81,432,8023420
barcode82,432,8023436
barcode83,432,8023439
barcode84,428,8023435
barcode85,432,8023351
barcode86,432,8023425
barcode87,432,8023419
barcode88,433,8023437
barcode89,433,8023432
barcode90,432,8023426
barcode91,432,8023440
barcode92,433,8023443
barcode93,433,1012421
barcode94,433,1012435
barcode95,432,1012417
barcode96,432,1012434
unclassified,433,unclassified
