well,sample_id,drug,conc_nm,replicate,au
A1,8033775,dha,250.0,1,0.62
A2,8033775,dha,250.0,2,0.68
A3,8033775,lum,1000.0,1,0.72
A4,8033775,lum,1000.0,2,0.75
A5,8033776,dha,250.0,1,0.75
A6,8033776,dha,250.0,2,0.74
A7,8033776,lum,1000.0,1,0.75
A8,8033776,lum,1000.0,2,0.71
A9,8033777,dha,250.0,1,0.37
A10,8033777,dha,250.0,2,0.37
A11,8033777,lum,1000.0,1,0.37
A12,8033777,lum,1000.0,2,0.34
B1,8033775,dha,62.5,1,0.63
B2,8033775,dha,62.5,2,0.64
B3,8033775,lum,250.0,1,0.69
B4,8033775,lum,250.0,2,0.71
B5,8033776,dha,62.5,1,0.7
B6,8033776,dha,62.5,2,0.69
B7,8033776,lum,250.0,1,0.7
B8,8033776,lum,250.0,2,0.67
B9,8033777,dha,62.5,1,0.35
B10,8033777,dha,62.5,2,0.34
B11,8033777,lum,250.0,1,0.37
B12,8033777,lum,250.0,2,0.33
C1,8033775,dha,15.625,1,0.64
C2,8033775,dha,15.625,2,0.66
C3,8033775,lum,62.5,1,0.7
C4,8033775,lum,62.5,2,0.7
C5,8033776,dha,15.625,1,0.67
C6,8033776,dha,15.625,2,0.73
C7,8033776,lum,62.5,1,0.73
C8,8033776,lum,62.5,2,0.68
C9,8033777,dha,15.625,1,0.35
C10,8033777,dha,15.625,2,0.33
C11,8033777,lum,62.5,1,0.34
C12,8033777,lum,62.5,2,0.35
D1,8033775,dha,3.90625,1,0.68
D2,8033775,dha,3.90625,2,0.67
D3,8033775,lum,15.625,1,0.74
D4,8033775,lum,15.625,2,0.73
D5,8033776,dha,3.90625,1,0.67
D6,8033776,dha,3.90625,2,0.68
D7,8033776,lum,15.625,1,0.71
D8,8033776,lum,15.625,2,0.69
D9,8033777,dha,3.90625,1,0.34
D10,8033777,dha,3.90625,2,0.35
D11,8033777,lum,15.625,1,0.52
D12,8033777,lum,15.625,2,0.49
E1,8033775,dha,0.9765625,1,0.7
E2,8033775,dha,0.9765625,2,0.71
E3,8033775,lum,3.90625,1,0.76
E4,8033775,lum,3.90625,2,0.77
E5,8033776,dha,0.9765625,1,0.7
E6,8033776,dha,0.9765625,2,0.7
E7,8033776,lum,3.90625,1,0.72
E8,8033776,lum,3.90625,2,0.67
E9,8033777,dha,0.9765625,1,0.33
E10,8033777,dha,0.9765625,2,0.34
E11,8033777,lum,3.90625,1,0.6
E12,8033777,lum,3.90625,2,0.58
F1,8033775,dha,0.244140625,1,0.73
F2,8033775,dha,0.244140625,2,0.72
F3,8033775,lum,0.9765625,1,0.8
F4,8033775,lum,0.9765625,2,0.81
F5,8033776,dha,0.244140625,1,0.69
F6,8033776,dha,0.244140625,2,0.68
F7,8033776,lum,0.9765625,1,0.71
F8,8033776,lum,0.9765625,2,0.69
F9,8033777,dha,0.244140625,1,0.43
F10,8033777,dha,0.244140625,2,0.45
F11,8033777,lum,0.9765625,1,0.71
F12,8033777,lum,0.9765625,2,0.66
G1,8033775,dha,0.06103515625,1,0.76
G2,8033775,dha,0.06103515625,2,0.78
G3,8033775,lum,0.244140625,1,0.83
G4,8033775,lum,0.244140625,2,0.82
G5,8033776,dha,0.06103515625,1,0.7
G6,8033776,dha,0.06103515625,2,0.69
G7,8033776,lum,0.244140625,1,0.68
G8,8033776,lum,0.244140625,2,0.66
G9,8033777,dha,0.06103515625,1,0.55
G10,8033777,dha,0.06103515625,2,0.58
G11,8033777,lum,0.244140625,1,0.72
G12,8033777,lum,0.244140625,2,0.65
H1,8033775,dha,0.0,1,0.73
H2,8033775,dha,0.0,2,0.76
H3,8033775,lum,0.0,1,0.82
H4,8033775,lum,0.0,2,0.81
H5,8033776,dha,0.0,1,0.73
H6,8033776,dha,0.0,2,0.71
H7,8033776,lum,0.0,1,0.71
H8,8033776,lum,0.0,2,0.68
H9,8033777,dha,0.0,1,0.7
H10,8033777,dha,0.0,2,0.7
H11,8033777,lum,0.0,1,0.66
H12,8033777,lum,0.0,2,0.65
