barcode,n_processed_fastq,sample_id
barcode01,11,3D7
barcode02,11,Dd2
barcode03,12,HB3
barcode04,5,human
barcode05,11,NTC
barcode06,16,8010580
barcode07,4,8010744
barcode08,1,8010745
barcode09,15,8010756
barcode10,3,8010757
barcode11,4,8010759
barcode12,9,8010780
barcode13,5,8010781
barcode14,11,8010782
barcode15,4,8010785
barcode16,5,8010786
barcode17,1,8010787
barcode18,10,8010790
barcode19,7,8010792
barcode20,7,8010793
barcode21,9,8010797
barcode22,3,8010801
barcode23,8,8010805
barcode24,13,8010806
barcode25,2,8010809
barcode26,12,8010810
barcode27,9,8010817
barcode28,16,8010818
barcode29,10,8010819
barcode30,7,8010823
barcode31,11,8010824
barcode32,4,8010825
barcode33,6,8010827
barcode34,13,8010828
barcode35,15,8010831
barcode36,14,8010832
barcode37,8,8010833
barcode38,3,8010834
barcode39,16,8010835
barcode40,12,8010836
barcode41,13,8011002
barcode42,2,8011014
barcode43,5,8011017
barcode44,3,8011025
barcode45,11,8011029
barcode46,3,8011031
barcode47,10,8011032
barcode48,1,PCR_NTC-b
barcode49,9,3D7a
barcode50,14,Dd2a
barcode51,9,HB3a
barcode52,2,humana
barcode53,12,NTC-c
barcode54,11,8011033
barcode55,19,8011034
barcode56,1,8011037
barcode57,8,8011038
barcode58,2,8011039
barcode59,7,8011047
barcode60,12,8011048
barcode61,2,8011050
barcode62,4,8011254
barcode63,12,8011261
barcode64,3,8011264
barcode65,9,8011317
barcode66,6,8011320
barcode67,11,8011321
barcode68,10,8011323
barcode69,9,8011325
barcode70,8,8011326
barcode71,9,8011327
barcode72,12,8011328
barcode73,13,8011332
barcode74,10,8010002
barcode75,9,8010006
barcode76,3,8010015
barcode77,7,8010018
barcode78,12,8010021
barcode79,13,8010022
barcode80,1,PCR_NTC-d
unclassified,76,unclassified
