n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode,sample_id
43970,40334,39119,420,795,3636,barcode01,3D7
44387,41327,39959,494,874,3060,barcode02,Dd2
47760,45059,43730,385,944,2701,barcode03,HB3
16009,60,58,2,0,15949,barcode04,human
44574,43470,41837,962,671,1104,barcode05,NTC
62860,61077,58889,1592,596,1783,barcode06,8010580
15321,7119,6931,156,32,8202,barcode07,8010744
610,24,19,5,0,586,barcode08,8010745
58964,57054,54227,1569,1258,1910,barcode09,8010756
11344,9257,8948,277,32,2087,barcode10,8010757
16352,13692,13039,574,79,2660,barcode11,8010759
35432,34737,33166,809,762,695,barcode12,8010780
17919,9087,8843,198,46,8832,barcode13,8010781
42030,36946,35128,1549,269,5084,barcode14,8010782
14837,11635,11262,316,57,3202,barcode15,8010785
18622,17700,17028,568,104,922,barcode16,8010786
3101,1480,1410,64,6,1621,barcode17,8010787
40219,39446,38050,849,547,773,barcode18,8010790
28179,27070,25943,441,686,1109,barcode19,8010792
24831,24285,23610,430,245,546,barcode20,8010793
36720,35493,34190,637,666,1227,barcode21,8010797
10212,9193,9004,121,68,1019,barcode22,8010801
31855,30790,29717,627,446,1065,barcode23,8010805
52314,50452,48267,988,1197,1862,barcode24,8010806
6221,3608,3588,0,20,2613,barcode25,8010809
46813,44247,43327,263,657,2566,barcode26,8010810
34479,33806,32640,668,498,673,barcode27,8010817
63868,61282,58886,1343,1053,2586,barcode28,8010818
40077,38266,36832,1000,434,1811,barcode29,8010819
25412,16696,16033,564,99,8716,barcode30,8010823
41770,40970,39493,733,744,800,barcode31,8010824
12962,11337,11019,243,75,1625,barcode32,8010825
21596,20652,19953,614,85,944,barcode33,8010827
53880,52670,50479,1526,665,1210,barcode34,8010828
58490,57295,55139,1442,714,1195,barcode35,8010831
56019,54770,52326,1765,679,1249,barcode36,8010832
31474,30777,29487,1022,268,697,barcode37,8010833
9641,1382,1373,5,4,8259,barcode38,8010834
64160,62467,60260,1462,745,1693,barcode39,8010835
46731,45505,44158,833,514,1226,barcode40,8010836
50357,49197,47159,977,1061,1160,barcode41,8011002
5845,2104,1995,102,7,3741,barcode42,8011014
20300,15957,15564,330,63,4343,barcode43,8011017
10883,1004,989,5,10,9879,barcode44,8011025
44968,42967,41565,973,429,2001,barcode45,8011029
10342,4287,4263,3,21,6055,barcode46,8011031
38808,35603,33793,1488,322,3205,barcode47,8011032
463,41,41,0,0,422,barcode48,PCR_NTC-b
34205,31675,30506,362,807,2530,barcode49,3D7a
54116,49487,48101,600,786,4629,barcode50,Dd2a
34315,31780,30820,290,670,2535,barcode51,HB3a
4516,22,21,0,1,4494,barcode52,humana
46927,45687,44072,865,750,1240,barcode53,NTC-c
44310,43268,41820,675,773,1042,barcode54,8011033
74314,72145,70066,1462,617,2169,barcode55,8011034
1362,22,22,0,0,1340,barcode56,8011037
32554,31511,29906,780,825,1043,barcode57,8011038
7252,5646,5569,49,28,1606,barcode58,8011039
27178,25038,23890,974,174,2140,barcode59,8011047
48436,47217,45120,1314,783,1219,barcode60,8011048
7966,4260,4078,168,14,3706,barcode61,8011050
12412,2465,2391,62,12,9947,barcode62,8011254
49741,45814,44059,1300,455,3927,barcode63,8011261
8058,1767,1733,19,15,6291,barcode64,8011264
33259,32342,31264,471,607,917,barcode65,8011317
24376,23951,23000,465,486,425,barcode66,8011320
42756,41267,39764,881,622,1489,barcode67,8011321
39686,38398,37167,808,423,1288,barcode68,8011323
33823,32385,31382,686,317,1438,barcode69,8011325
30068,29290,28233,576,481,778,barcode70,8011326
36200,35103,33867,678,558,1097,barcode71,8011327
47149,45938,43913,1131,894,1211,barcode72,8011328
50387,49339,47165,1143,1031,1048,barcode73,8011332
40642,39870,38296,826,748,772,barcode74,8010002
34227,32557,31294,786,477,1670,barcode75,8010006
12309,9343,8985,304,54,2966,barcode76,8010015
26966,24498,23642,701,155,2468,barcode77,8010018
48753,47430,45386,1034,1010,1323,barcode78,8010021
53214,51951,49547,1270,1134,1263,barcode79,8010022
791,23,23,0,0,768,barcode80,PCR_NTC-d
309746,287450,278743,4038,4669,22296,unclassified,unclassified
