n_total,n_mapped,n_primary,n_secondary,n_supplementary,n_unmapped,barcode
62183,57502,56054,851,597,4681,barcode01
44907,41732,40333,1009,390,3175,barcode02
53592,51229,50079,663,487,2363,barcode03
4126,9,9,0,0,4117,barcode04
309,22,20,1,1,287,barcode05
62002,58630,56249,1736,645,3372,barcode06
68869,63987,62083,1187,717,4882,barcode07
43962,42310,40791,1051,468,1652,barcode08
54786,48469,46813,1119,537,6317,barcode09
58516,55639,53478,1632,529,2877,barcode10
92768,88929,85497,2878,554,3839,barcode11
18929,18056,17611,262,183,873,barcode12
54174,50896,49329,964,603,3278,barcode13
29013,23998,23141,628,229,5015,barcode14
47239,44263,42815,963,485,2976,barcode15
71888,68968,66495,1745,728,2920,barcode16
44522,42021,40723,945,353,2501,barcode17
31003,28397,27301,900,196,2606,barcode18
53380,49841,48284,1064,493,3539,barcode19
30313,28758,27601,921,236,1555,barcode20
48891,46809,45214,1095,500,2082,barcode21
38157,35155,33957,849,349,3002,barcode22
63991,60278,58780,932,566,3713,barcode23
63508,58802,56814,1472,516,4706,barcode24
89205,84937,82306,1845,786,4268,barcode25
50621,47305,45574,1218,513,3316,barcode26
50132,47496,45968,1085,443,2636,barcode27
98782,94736,91479,2436,821,4046,barcode28
28238,26506,25525,731,250,1732,barcode29
51691,50027,48525,1040,462,1664,barcode30
86947,84601,81217,2734,650,2346,barcode31
58330,55000,52961,1613,426,3330,barcode32
83485,81069,77627,2531,911,2416,barcode33
57006,55477,53584,1374,519,1529,barcode34
66500,62173,59940,1761,472,4327,barcode35
70480,65767,63812,1454,501,4713,barcode36
87675,85301,82385,2358,558,2374,barcode37
99156,95911,92456,2689,766,3245,barcode38
77811,74842,71893,2492,457,2969,barcode39
99296,94696,90708,3105,883,4600,barcode40
49373,45712,44216,859,637,3661,barcode41
44963,43116,41730,925,461,1847,barcode42
32827,30937,30114,575,248,1890,barcode43
91589,86309,83293,2435,581,5280,barcode44
107119,102439,98738,2794,907,4680,barcode45
88310,84425,81033,2645,747,3885,barcode46
46118,42140,40797,1189,154,3978,barcode47
77740,74674,72276,2077,321,3066,barcode48
67569,61448,59056,1962,430,6121,barcode49
57477,51964,48742,3025,197,5513,barcode50
109539,105927,101737,3202,988,3612,barcode51
48855,44428,42684,1539,205,4427,barcode52
40391,36766,34988,1628,150,3625,barcode53
44846,39863,38621,935,307,4983,barcode54
125673,117823,111456,5969,398,7850,barcode55
50366,45479,43877,1427,175,4887,barcode56
51999,48670,46995,1442,233,3329,barcode57
12925,11643,10962,629,52,1282,barcode58
206591,189199,180949,5836,2414,17392,unclassified
