barcode,n_processed_fastq
barcode01,73
barcode02,73
barcode03,73
barcode04,72
barcode05,72
barcode06,73
barcode07,73
barcode08,73
barcode09,73
barcode10,73
barcode11,73
barcode12,73
barcode13,73
barcode14,73
barcode15,73
barcode16,73
barcode17,73
barcode18,73
barcode19,73
barcode20,73
barcode21,72
barcode22,73
barcode23,73
barcode24,73
barcode25,73
barcode26,73
barcode27,73
barcode28,73
barcode29,73
barcode30,73
barcode31,73
barcode32,73
barcode33,73
barcode34,73
barcode35,73
barcode36,73
barcode37,73
barcode38,73
barcode39,73
barcode40,73
barcode41,73
barcode42,73
barcode43,73
barcode44,73
barcode45,73
barcode46,73
barcode47,73
barcode48,73
barcode49,73
barcode50,73
barcode51,73
barcode52,73
barcode53,73
barcode54,73
barcode55,73
barcode56,73
barcode57,73
barcode58,73
unclassified,73
