barcode,n_processed_fastq,sample_id
barcode01,24,3D7
barcode02,24,Dd2
barcode03,24,HB3
barcode04,24,IPC3663
barcode05,24,Human
barcode06,23,NTC
barcode07,24,4043468
barcode08,24,4043469
barcode09,24,4043477
barcode10,24,4043478
barcode11,24,4043479
barcode12,24,4043480
barcode13,24,4043481
barcode14,24,4043482
barcode15,24,4043483
barcode16,24,4043484
barcode17,24,4043485
barcode18,24,4043486
barcode19,24,4043487
barcode20,24,4043488
barcode21,24,4043489
barcode22,24,4043490
barcode23,24,4043491
barcode24,24,4043492
barcode25,24,4043493
barcode26,24,4043494
barcode27,24,4043495
barcode28,24,4043496
barcode29,24,4043497
barcode30,24,4043498
barcode31,24,4043499
barcode32,24,4043500
barcode33,24,4043501
barcode34,24,4043377
barcode35,24,4043359
barcode36,24,4043358
barcode37,24,4043547
barcode38,24,4043524
barcode39,24,4043521
barcode40,24,4043516
barcode41,24,4043517
barcode42,24,4043523
barcode43,24,4043525
barcode44,24,4043526
barcode45,24,1012975
barcode46,24,1012976
barcode47,24,1012984
barcode48,24,1012985
barcode49,24,1012987
barcode50,24,1012988
barcode51,24,4043001
barcode52,24,4043006
barcode53,24,4043010
barcode54,24,4043017
barcode55,24,4043022
barcode56,24,4043031
barcode57,24,4043037
barcode58,24,4043051
barcode59,24,1012596
barcode60,24,1012605
barcode61,24,1012608
barcode62,24,1012609
barcode63,24,1012610
barcode64,24,1012615
barcode65,24,1012616
barcode66,24,1012623
barcode67,24,1012624
barcode68,24,1012635
barcode69,24,1012637
barcode70,24,1012638
barcode71,24,1012639
barcode72,24,1012640
barcode73,24,1012642
barcode74,24,1012643
barcode75,24,1012646
barcode76,24,1012654
barcode77,24,1012655
barcode78,24,1012657
barcode79,24,1012661
barcode80,24,1012662
barcode81,24,1012663
barcode82,24,1012664
barcode83,24,1012666
barcode84,24,1012667
barcode85,24,1012668
barcode86,24,1012732
barcode87,24,1012733
barcode88,24,1012734
barcode89,24,1012735
barcode90,24,1012736
barcode91,24,1012737
barcode92,24,1012738
barcode93,24,1012739
barcode94,24,1012740
barcode95,24,1012741
barcode96,24,1012743
unclassified,24,unclassified
