expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul;;sample_type
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;3D7;3D7;;PCBM040_A7;SLMM067_A1;barcode49;10;;pos
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;Dd2;Dd2;;PCBM040_B7;SLMM067_B1;barcode50;10;;pos
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;HB3;HB3;;PCBM040_C7;SLMM067_C1;barcode51;10;;pos
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;human;human;;PCBM040_D7;SLMM067_D1;barcode52;10;;neg
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;NTC-c;NTC-c;;PCBM040_E7;SLMM067_E1;barcode53;10;;neg
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021935;DR171;;PCBM040_F7;SLMM067_F1;barcode54;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021937;DR172;;PCBM040_G7;SLMM067_G1;barcode55;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021938;DR173;;PCBM040_H7;SLMM067_H1;barcode56;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021939;DR174;;PCBM040_A8;SLMM067_A2;barcode57;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021940;DR175;;PCBM040_B8;SLMM067_B2;barcode58;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021941;DR176;;PCBM040_C8;SLMM067_C2;barcode59;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021945;DR177;;PCBM040_D8;SLMM067_D2;barcode60;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021946;DR178;;PCBM040_E8;SLMM067_E2;barcode61;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021947;DR179;;PCBM040_F8;SLMM067_F2;barcode62;10;;field
SLMM067;06.11.24;Mulenga Mwenda;seqlib;rapid;1;To sequence samples from RDT positive samples collected from Western province during the HRP2 study;HRP2/3_Batch2;48;200;10;128;Mk1b;800;12;;;;;;;8021948;DR180;;PCBM040_G8;SLMM067_G2;barcode63;10;;field
