expt_id_PCR,expt_date_PCR,expt_user_PCR,expt_version_PCR,expt_assay,expt_notes_PCR,expt_summary_PCR,expt_rxns_PCR,pcr_primers,pcr_primersource,pcr_targetpanel,pcr_template_vol,pcr_enzyme,pcr_product_ngul,expt_id_seqlib,expt_date_seqlib,expt_user_seqlib,expt_sub-type,expt_version_seqlib,expt_notes_seqlib,expt_summary_seqlib,expt_rxns_seqlib,pcr_product_targetmass_per_sample_ng,pcr_product_maxvol_ul,library_dnaconc_ngul,seq_platform,flowcell_targetmass_ng,flowcell_massloaded_ng,flowcell_maxvol_ul,flowcell_id,flowcell_chemistry,flowcell_status,flowcell_checkpores,flowcell_runlength_hrs,flowcell_prevusage_hrs,seqlib_identifier,barcode,pcrproductadded_vol_ul,sample_id,extraction_id,pcr_identifier,swga_identifier,sample_type
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,53.4,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_C2,barcode11,10.0,5053767,DR381,PCBM054_C2,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,112.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_D2,barcode12,10.0,5053713,DR382,PCBM054_D2,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,133.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_E2,barcode13,10.0,5053715,DR383,PCBM054_E2,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,136.0,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_F2,barcode14,10.0,5053695,DR384,PCBM054_F2,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,13.3,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_G2,barcode15,10.0,5053699,DR386,PCBM054_G2,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,17.2,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_H2,barcode16,10.0,5053705,DR387,PCBM054_H2,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,30.4,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_A3,barcode17,10.0,5053710,DR388,PCBM054_A3,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,15.2,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_B3,barcode18,10.0,5053742,DR392,PCBM054_B3,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,62.2,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_C3,barcode19,10.0,01036151,DR393,PCBM054_C3,,Field
PCBM054,2025-07-01,Brenda Mambwe,9,NOMADS_MVP,To perform MVP PCR on 96 samples collected during the HRP2 survey is 2024 Sample Ids DR376 -DR585,HRP2/3_Batch10,96,N004,,Pf-03-9,8,KAPA HiFi ReadyMix,8.44,SLMM077,2025-07-02,Mulenga Mwenda,rapid,3,To sequence samples from HRP2 2024 survey. Samples were amplified on PCBM054 using MVP primers,HRP2-32024_Batch10,96,200,10,226,Mk1b,800,800,11,,R10.4.1,New,1078,,0,SLMM077_D3,barcode20,10.0,01036153,DR394,PCBM054_D3,,Field
