expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_type;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;pos;3D7;3D7;;PCMM070_A1;SLMM061_A1;barcode01;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;pos;Dd2;Dd2;;PCMM070_B1;SLMM061_B1;barcode02;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;pos;HB3;HB3;;PCMM070_C1;SLMM061_C1;barcode03;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;neg;human;human;;PCMM070_D1;SLMM061_D1;barcode04;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;neg;NTC;NTC;;PCMM070_E1;SLMM061_E1;barcode05;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;field;8010580;DV234;;PCMM070_F1;SLMM061_F1;barcode06;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;field;8010744;DV235;;PCMM070_G1;SLMM061_G1;barcode07;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;field;8010745;DV236;;PCMM070_H1;SLMM061_H1;barcode08;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;field;8010756;DV245;;PCMM070_A2;SLMM061_A2;barcode09;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;field;8010757;DV246;;PCMM070_B2;SLMM061_B2;barcode10;10
SLMM061;30.10.24;Mulenga Mwenda;seqlib;rapid;1;To sequence PET-PCR- positive MIS2024 samples using the rapid protocol;MIS2024_Batch3;80;200;10;154;Mk1b;800;12;;;;;;;field;8010759;DV248;;PCMM070_C2;SLMM061_C2;barcode11;10
