well,sample_id,drug,conc_nm,replicate,au
A1,8036362,dha,250.0,1,0.48
A2,8036362,dha,250.0,2,0.46
A3,8036362,lum,1000.0,1,0.5
A4,8036362,lum,1000.0,2,0.49
A5,8036364,dha,250.0,1,1.35
A6,8036364,dha,250.0,2,1.36
A7,8036364,lum,1000.0,1,1.38
A8,8036364,lum,1000.0,2,1.32
A9,8036365,dha,250.0,1,0.77
A10,8036365,dha,250.0,2,0.72
A11,8036365,lum,1000.0,1,0.67
A12,8036365,lum,1000.0,2,0.6
B1,8036362,dha,62.5,1,0.45
B2,8036362,dha,62.5,2,0.46
B3,8036362,lum,250.0,1,0.5
B4,8036362,lum,250.0,2,0.48
B5,8036364,dha,62.5,1,1.32
B6,8036364,dha,62.5,2,1.33
B7,8036364,lum,250.0,1,1.34
B8,8036364,lum,250.0,2,1.27
B9,8036365,dha,62.5,1,0.72
B10,8036365,dha,62.5,2,0.69
B11,8036365,lum,250.0,1,0.69
B12,8036365,lum,250.0,2,0.64
C1,8036362,dha,15.625,1,0.45
C2,8036362,dha,15.625,2,0.46
C3,8036362,lum,62.5,1,0.52
C4,8036362,lum,62.5,2,0.47
C5,8036364,dha,15.625,1,1.27
C6,8036364,dha,15.625,2,1.36
C7,8036364,lum,62.5,1,1.34
C8,8036364,lum,62.5,2,1.27
C9,8036365,dha,15.625,1,0.72
C10,8036365,dha,15.625,2,0.69
C11,8036365,lum,62.5,1,0.68
C12,8036365,lum,62.5,2,0.64
D1,8036362,dha,3.90625,1,0.46
D2,8036362,dha,3.90625,2,0.46
D3,8036362,lum,15.625,1,0.52
D4,8036362,lum,15.625,2,0.46
D5,8036364,dha,3.90625,1,1.33
D6,8036364,dha,3.90625,2,1.3
D7,8036364,lum,15.625,1,1.33
D8,8036364,lum,15.625,2,1.29
D9,8036365,dha,3.90625,1,0.97
D10,8036365,dha,3.90625,2,0.96
D11,8036365,lum,15.625,1,0.66
D12,8036365,lum,15.625,2,0.63
E1,8036362,dha,0.9765625,1,0.72
E2,8036362,dha,0.9765625,2,0.71
E3,8036362,lum,3.90625,1,0.67
E4,8036362,lum,3.90625,2,0.64
E5,8036364,dha,0.9765625,1,1.39
E6,8036364,dha,0.9765625,2,1.3
E7,8036364,lum,3.90625,1,1.31
E8,8036364,lum,3.90625,2,1.24
E9,8036365,dha,0.9765625,1,1.14
E10,8036365,dha,0.9765625,2,1.13
E11,8036365,lum,3.90625,1,0.74
E12,8036365,lum,3.90625,2,0.69
F1,8036362,dha,0.244140625,1,0.94
F2,8036362,dha,0.244140625,2,0.92
F3,8036362,lum,0.9765625,1,1.06
F4,8036362,lum,0.9765625,2,1.02
F5,8036364,dha,0.244140625,1,1.33
F6,8036364,dha,0.244140625,2,1.28
F7,8036364,lum,0.9765625,1,1.36
F8,8036364,lum,0.9765625,2,1.29
F9,8036365,dha,0.244140625,1,1.37
F10,8036365,dha,0.244140625,2,1.34
F11,8036365,lum,0.9765625,1,1.12
F12,8036365,lum,0.9765625,2,0.96
G1,8036362,dha,0.06103515625,1,0.93
G2,8036362,dha,0.06103515625,2,0.97
G3,8036362,lum,0.244140625,1,1.1
G4,8036362,lum,0.244140625,2,1.04
G5,8036364,dha,0.06103515625,1,1.32
G6,8036364,dha,0.06103515625,2,1.26
G7,8036364,lum,0.244140625,1,1.26
G8,8036364,lum,0.244140625,2,1.23
G9,8036365,dha,0.06103515625,1,1.35
G10,8036365,dha,0.06103515625,2,1.34
G11,8036365,lum,0.244140625,1,1.33
G12,8036365,lum,0.244140625,2,1.19
H1,8036362,dha,0.0,1,0.91
H2,8036362,dha,0.0,2,0.93
H3,8036362,lum,0.0,1,1.09
H4,8036362,lum,0.0,2,1.01
H5,8036364,dha,0.0,1,1.31
H6,8036364,dha,0.0,2,1.29
H7,8036364,lum,0.0,1,1.29
H8,8036364,lum,0.0,2,1.25
H9,8036365,dha,0.0,1,1.32
H10,8036365,dha,0.0,2,1.22
H11,8036365,lum,0.0,1,1.21
H12,8036365,lum,0.0,2,1.15
