Raw Data 		Experiment - evIC50_2_plate4_08APRIL2026 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A9	Sample 9	2	1	6	57170	36.96	1.43
A9	Sample 9	2	1	7	62170	37	1.44
A9	Sample 9	2	1	8	67170	37	1.44
A9	Sample 9	2	1	9	72170	37	1.43
A9	Sample 9	2	1	10	77170	36.96	1.42
A9	Sample 9	2	1	11	82170	37	1.42
A9	Sample 9	2	1	12	87180	37	1.43
A9	Sample 9	2	1	13	92170	37	1.44
A9	Sample 9	2	1	14	97170	37	1.43
A9	Sample 9	2	1	15	102180	37	1.43
A10	Sample 10	2	1	1	32170	36.96	1.43
A10	Sample 10	2	1	2	37170	36.96	1.44
A10	Sample 10	2	1	3	42170	36.96	1.43
A10	Sample 10	2	1	4	47170	37	1.43
A10	Sample 10	2	1	5	52170	36.96	1.44
A10	Sample 10	2	1	6	57170	36.96	1.44
A10	Sample 10	2	1	7	62170	37	1.43
A10	Sample 10	2	1	8	67170	37	1.43
A10	Sample 10	2	1	9	72170	37	1.43
A10	Sample 10	2	1	10	77170	36.96	1.43
A10	Sample 10	2	1	11	82170	37	1.42
A10	Sample 10	2	1	12	87180	37	1.42
A10	Sample 10	2	1	13	92170	37	1.43
A10	Sample 10	2	1	14	97170	37	1.42
A10	Sample 10	2	1	15	102180	37	1.42
A11	Sample 11	2	1	1	32170	36.96	1.43
A11	Sample 11	2	1	2	37170	36.96	1.43
A11	Sample 11	2	1	3	42170	36.96	1.42
A11	Sample 11	2	1	4	47170	37	1.42
A11	Sample 11	2	1	5	52170	36.96	1.42
A11	Sample 11	2	1	6	57170	36.96	1.42
A11	Sample 11	2	1	7	62170	37	1.42
A11	Sample 11	2	1	8	67170	37	1.42
A11	Sample 11	2	1	9	72170	37	1.42
A11	Sample 11	2	1	10	77170	36.96	1.41
A11	Sample 11	2	1	11	82170	37	1.42
A11	Sample 11	2	1	12	87180	37	1.42
A11	Sample 11	2	1	13	92170	37	1.42
A11	Sample 11	2	1	14	97170	37	1.42
A11	Sample 11	2	1	15	102180	37	1.42
A12	Sample 12	2	1	1	32170	36.96	1.27
A12	Sample 12	2	1	2	37170	36.96	1.28
A12	Sample 12	2	1	3	42170	36.96	1.27
A12	Sample 12	2	1	4	47170	37	1.27
A12	Sample 12	2	1	5	52170	36.96	1.27
A12	Sample 12	2	1	6	57170	36.96	1.27
A12	Sample 12	2	1	7	62170	37	1.27
A12	Sample 12	2	1	8	67170	37	1.27
A12	Sample 12	2	1	9	72170	37	1.27
A12	Sample 12	2	1	10	77170	36.96	1.27
A12	Sample 12	2	1	11	82170	37	1.26
A12	Sample 12	2	1	12	87180	37	1.27
A12	Sample 12	2	1	13	92170	37	1.27
A12	Sample 12	2	1	14	97170	37	1.27
A12	Sample 12	2	1	15	102180	37	1.27
B1	Sample 13	2	1	1	32170	36.96	0.92
B1	Sample 13	2	1	2	37170	36.96	0.92
B1	Sample 13	2	1	3	42170	36.96	0.91
B1	Sample 13	2	1	4	47170	37	0.92
B1	Sample 13	2	1	5	52170	36.96	0.92
B1	Sample 13	2	1	6	57170	36.96	0.91
B1	Sample 13	2	1	7	62170	37	0.91
B1	Sample 13	2	1	8	67170	37	0.92
B1	Sample 13	2	1	9	72170	37	0.91
B1	Sample 13	2	1	10	77170	36.96	0.9
B1	Sample 13	2	1	11	82170	37	0.91
B1	Sample 13	2	1	12	87180	37	0.91
B1	Sample 13	2	1	13	92170	37	0.92
B1	Sample 13	2	1	14	97170	37	0.9
B1	Sample 13	2	1	15	102180	37	0.9
B2	Sample 14	2	1	1	32170	36.96	0.94
B2	Sample 14	2	1	2	37170	36.96	0.94
B2	Sample 14	2	1	3	42170	36.96	0.94
B2	Sample 14	2	1	4	47170	37	0.94
B2	Sample 14	2	1	5	52170	36.96	0.93
