Raw Data 		Experiment - evIC50_7_plate1_19APRIL2026 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	31930	36.91	0.49
A1	Sample 1	2	1	2	36990	36.96	0.49
A1	Sample 1	2	1	3	41960	37	0.49
A1	Sample 1	2	1	4	46970	37	0.49
A1	Sample 1	2	1	5	51970	37	0.49
A1	Sample 1	2	1	6	56960	37	0.49
A1	Sample 1	2	1	7	61970	36.96	0.49
A1	Sample 1	2	1	8	66970	37	0.48
A1	Sample 1	2	1	9	71980	37	0.48
A1	Sample 1	2	1	10	76970	36.96	0.49
A1	Sample 1	2	1	11	81970	37	0.49
A1	Sample 1	2	1	12	86970	36.96	0.49
A1	Sample 1	2	1	13	91970	37	0.48
A1	Sample 1	2	1	14	96970	37	0.48
A1	Sample 1	2	1	15	101970	37	0.48
A2	Sample 2	2	1	1	31930	36.91	0.46
A2	Sample 2	2	1	2	36990	36.96	0.46
A2	Sample 2	2	1	3	41960	37	0.46
A2	Sample 2	2	1	4	46970	37	0.47
A2	Sample 2	2	1	5	51970	37	0.46
A2	Sample 2	2	1	6	56960	37	0.46
A2	Sample 2	2	1	7	61970	36.96	0.46
A2	Sample 2	2	1	8	66970	37	0.46
A2	Sample 2	2	1	9	71980	37	0.46
A2	Sample 2	2	1	10	76970	36.96	0.46
A2	Sample 2	2	1	11	81970	37	0.45
A2	Sample 2	2	1	12	86970	36.96	0.46
A2	Sample 2	2	1	13	91970	37	0.46
A2	Sample 2	2	1	14	96970	37	0.46
A2	Sample 2	2	1	15	101970	37	0.46
A3	Sample 3	2	1	1	31930	36.91	0.50
A3	Sample 3	2	1	2	36990	36.96	0.50
A3	Sample 3	2	1	3	41960	37	0.50
A3	Sample 3	2	1	4	46970	37	0.50
A3	Sample 3	2	1	5	51970	37	0.50
A3	Sample 3	2	1	6	56960	37	0.50
A3	Sample 3	2	1	7	61970	36.96	0.50
A3	Sample 3	2	1	8	66970	37	0.50
A3	Sample 3	2	1	9	71980	37	0.50
A3	Sample 3	2	1	10	76970	36.96	0.50
A3	Sample 3	2	1	11	81970	37	0.49
A3	Sample 3	2	1	12	86970	36.96	0.50
A3	Sample 3	2	1	13	91970	37	0.50
A3	Sample 3	2	1	14	96970	37	0.49
A3	Sample 3	2	1	15	101970	37	0.50
A4	Sample 4	2	1	1	31930	36.91	0.50
A4	Sample 4	2	1	2	36990	36.96	0.51
A4	Sample 4	2	1	3	41960	37	0.50
A4	Sample 4	2	1	4	46970	37	0.50
A4	Sample 4	2	1	5	51970	37	0.50
A4	Sample 4	2	1	6	56960	37	0.49
A4	Sample 4	2	1	7	61970	36.96	0.50
A4	Sample 4	2	1	8	66970	37	0.49
A4	Sample 4	2	1	9	71980	37	0.49
A4	Sample 4	2	1	10	76970	36.96	0.50
A4	Sample 4	2	1	11	81970	37	0.49
A4	Sample 4	2	1	12	86970	36.96	0.50
A4	Sample 4	2	1	13	91970	37	0.49
A4	Sample 4	2	1	14	96970	37	0.49
A4	Sample 4	2	1	15	101970	37	0.49
A5	Sample 5	2	1	1	31930	36.91	1.37
A5	Sample 5	2	1	2	36990	36.96	1.37
A5	Sample 5	2	1	3	41960	37	1.37
A5	Sample 5	2	1	4	46970	37	1.36
A5	Sample 5	2	1	5	51970	37	1.35
A5	Sample 5	2	1	6	56960	37	1.35
A5	Sample 5	2	1	7	61970	36.96	1.35
A5	Sample 5	2	1	8	66970	37	1.35
A5	Sample 5	2	1	9	71980	37	1.35
A5	Sample 5	2	1	10	76970	36.96	1.35
A5	Sample 5	2	1	11	81970	37	1.34
A5	Sample 5	2	1	12	86970	36.96	1.35
A5	Sample 5	2	1	13	91970	37	1.34
A5	Sample 5	2	1	14	96970	37	1.35
A5	Sample 5	2	1	15	101970	37	1.35
A6	Sample 6	2	1	1	31930	36.91	1.39
A6	Sample 6	2	1	2	36990	36.96	1.38
A6	Sample 6	2	1	3	41960	37	1.38
A6	Sample 6	2	1	4	46970	37	1.38
A6	Sample 6	2	1	5	51970	37	1.37
A6	Sample 6	2	1	6	56960	37	1.36
A6	Sample 6	2	1	7	61970	36.96	1.36
A6	Sample 6	2	1	8	66970	37	1.36
A6	Sample 6	2	1	9	71980	37	1.36
A6	Sample 6	2	1	10	76970	36.96	1.37
A6	Sample 6	2	1	11	81970	37	1.36
A6	Sample 6	2	1	12	86970	36.96	1.37
A6	Sample 6	2	1	13	91970	37	1.36
A6	Sample 6	2	1	14	96970	37	1.37
A6	Sample 6	2	1	15	101970	37	1.36
A7	Sample 7	2	1	1	31930	36.91	1.40
A7	Sample 7	2	1	2	36990	36.96	1.40
A7	Sample 7	2	1	3	41960	37	1.39
A7	Sample 7	2	1	4	46970	37	1.39
A7	Sample 7	2	1	5	51970	37	1.39
A7	Sample 7	2	1	6	56960	37	1.39
A7	Sample 7	2	1	7	61970	36.96	1.38
A7	Sample 7	2	1	8	66970	37	1.39
A7	Sample 7	2	1	9	71980	37	1.38
A7	Sample 7	2	1	10	76970	36.96	1.39
A7	Sample 7	2	1	11	81970	37	1.38
A7	Sample 7	2	1	12	86970	36.96	1.38
A7	Sample 7	2	1	13	91970	37	1.39
A7	Sample 7	2	1	14	96970	37	1.38
A7	Sample 7	2	1	15	101970	37	1.38
A8	Sample 8	2	1	1	31930	36.91	1.34
A8	Sample 8	2	1	2	36990	36.96	1.35
A8	Sample 8	2	1	3	41960	37	1.35
A8	Sample 8	2	1	4	46970	37	1.34
A8	Sample 8	2	1	5	51970	37	1.34
A8	Sample 8	2	1	6	56960	37	1.34
A8	Sample 8	2	1	7	61970	36.96	1.33
A8	Sample 8	2	1	8	66970	37	1.34
A8	Sample 8	2	1	9	71980	37	1.34
A8	Sample 8	2	1	10	76970	36.96	1.34
A8	Sample 8	2	1	11	81970	37	1.33
A8	Sample 8	2	1	12	86970	36.96	1.33
A8	Sample 8	2	1	13	91970	37	1.32
A8	Sample 8	2	1	14	96970	37	1.33
A8	Sample 8	2	1	15	101970	37	1.32
A9	Sample 9	2	1	1	31930	36.91	0.78
A9	Sample 9	2	1	2	36990	36.96	0.77
A9	Sample 9	2	1	3	41960	37	0.77
A9	Sample 9	2	1	4	46970	37	0.78
A9	Sample 9	2	1	5	51970	37	0.77
A9	Sample 9	2	1	6	56960	37	0.77
A9	Sample 9	2	1	7	61970	36.96	0.77
A9	Sample 9	2	1	8	66970	37	0.77
A9	Sample 9	2	1	9	71980	37	0.77
A9	Sample 9	2	1	10	76970	36.96	0.77
A9	Sample 9	2	1	11	81970	37	0.76
A9	Sample 9	2	1	12	86970	36.96	0.77
A9	Sample 9	2	1	13	91970	37	0.77
A9	Sample 9	2	1	14	96970	37	0.77
A9	Sample 9	2	1	15	101970	37	0.77
A10	Sample 10	2	1	1	31930	36.91	0.74
A10	Sample 10	2	1	2	36990	36.96	0.74
A10	Sample 10	2	1	3	41960	37	0.74
A10	Sample 10	2	1	4	46970	37	0.74
A10	Sample 10	2	1	5	51970	37	0.73
A10	Sample 10	2	1	6	56960	37	0.74
A10	Sample 10	2	1	7	61970	36.96	0.74
A10	Sample 10	2	1	8	66970	37	0.73
A10	Sample 10	2	1	9	71980	37	0.73
A10	Sample 10	2	1	10	76970	36.96	0.73
A10	Sample 10	2	1	11	81970	37	0.72
A10	Sample 10	2	1	12	86970	36.96	0.73
A10	Sample 10	2	1	13	91970	37	0.72
A10	Sample 10	2	1	14	96970	37	0.73
A10	Sample 10	2	1	15	101970	37	0.72
A11	Sample 11	2	1	1	31930	36.91	0.69
A11	Sample 11	2	1	2	36990	36.96	0.68
A11	Sample 11	2	1	3	41960	37	0.68
A11	Sample 11	2	1	4	46970	37	0.68
A11	Sample 11	2	1	5	51970	37	0.68
A11	Sample 11	2	1	6	56960	37	0.67
A11	Sample 11	2	1	7	61970	36.96	0.67
A11	Sample 11	2	1	8	66970	37	0.66
A11	Sample 11	2	1	9	71980	37	0.67
A11	Sample 11	2	1	10	76970	36.96	0.68
A11	Sample 11	2	1	11	81970	37	0.67
