Raw Data 		Experiment - evIC50_8_plate4_21APRIL2026 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	28530	36.91	1.95
A1	Sample 1	2	1	2	32790	36.91	1.96
A1	Sample 1	2	1	3	37090	37	1.93
A1	Sample 1	2	1	4	41410	36.91	1.91
A1	Sample 1	2	1	5	45690	37	1.93
A1	Sample 1	2	1	6	49990	37	1.89
A1	Sample 1	2	1	7	54290	36.96	1.91
A1	Sample 1	2	1	8	58590	37	1.89
A1	Sample 1	2	1	9	62890	37	1.89
A1	Sample 1	2	1	10	67190	36.96	1.89
A1	Sample 1	2	1	11	71510	36.96	1.91
A1	Sample 1	2	1	12	75800	36.96	1.87
A1	Sample 1	2	1	13	80100	36.96	1.89
A1	Sample 1	2	1	14	84400	37	1.85
A1	Sample 1	2	1	15	88680	36.96	1.89
A2	Sample 2	2	1	1	28530	36.91	1.93
A2	Sample 2	2	1	2	32790	36.91	1.94
A2	Sample 2	2	1	3	37090	37	1.92
A2	Sample 2	2	1	4	41410	36.91	1.92
A2	Sample 2	2	1	5	45690	37	1.88
A2	Sample 2	2	1	6	49990	37	1.88
A2	Sample 2	2	1	7	54290	36.96	1.90
A2	Sample 2	2	1	8	58590	37	1.88
A2	Sample 2	2	1	9	62890	37	1.86
A2	Sample 2	2	1	10	67190	36.96	1.88
A2	Sample 2	2	1	11	71510	36.96	1.84
A2	Sample 2	2	1	12	75800	36.96	1.84
A2	Sample 2	2	1	13	80100	36.96	1.86
A2	Sample 2	2	1	14	84400	37	1.86
A2	Sample 2	2	1	15	88680	36.96	1.86
A3	Sample 3	2	1	1	28530	36.91	2.14
A3	Sample 3	2	1	2	32790	36.91	2.16
A3	Sample 3	2	1	3	37090	37	2.14
A3	Sample 3	2	1	4	41410	36.91	2.16
A3	Sample 3	2	1	5	45690	37	2.12
A3	Sample 3	2	1	6	49990	37	2.11
A3	Sample 3	2	1	7	54290	36.96	2.14
A3	Sample 3	2	1	8	58590	37	2.11
A3	Sample 3	2	1	9	62890	37	2.09
A3	Sample 3	2	1	10	67190	36.96	2.11
A3	Sample 3	2	1	11	71510	36.96	2.11
A3	Sample 3	2	1	12	75800	36.96	2.07
A3	Sample 3	2	1	13	80100	36.96	2.09
A3	Sample 3	2	1	14	84400	37	2.07
A3	Sample 3	2	1	15	88680	36.96	2.09
A4	Sample 4	2	1	1	28530	36.91	2.10
A4	Sample 4	2	1	2	32790	36.91	2.08
A4	Sample 4	2	1	3	37090	37	2.08
A4	Sample 4	2	1	4	41410	36.91	2.10
A4	Sample 4	2	1	5	45690	37	2.06
A4	Sample 4	2	1	6	49990	37	2.06
A4	Sample 4	2	1	7	54290	36.96	2.06
A4	Sample 4	2	1	8	58590	37	2.05
A4	Sample 4	2	1	9	62890	37	2.05
A4	Sample 4	2	1	10	67190	36.96	2.05
A4	Sample 4	2	1	11	71510	36.96	2.05
A4	Sample 4	2	1	12	75800	36.96	2.03
A4	Sample 4	2	1	13	80100	36.96	2.03
A4	Sample 4	2	1	14	84400	37	2.01
A4	Sample 4	2	1	15	88680	36.96	2.03
A5	Sample 5	2	1	1	28530	36.91	3.72
A5	Sample 5	2	1	2	32790	36.91	3.72
A5	Sample 5	2	1	3	37090	37	3.71
A5	Sample 5	2	1	4	41410	36.91	3.69
A5	Sample 5	2	1	5	45690	37	3.69
A5	Sample 5	2	1	6	49990	37	3.65
A5	Sample 5	2	1	7	54290	36.96	3.62
A5	Sample 5	2	1	8	58590	37	3.64
A5	Sample 5	2	1	9	62890	37	3.62
A5	Sample 5	2	1	10	67190	36.96	3.62
A5	Sample 5	2	1	11	71510	36.96	3.63
A5	Sample 5	2	1	12	75800	36.96	3.60
A5	Sample 5	2	1	13	80100	36.96	3.62
A5	Sample 5	2	1	14	84400	37	3.62
A5	Sample 5	2	1	15	88680	36.96	3.64
A6	Sample 6	2	1	1	28530	36.91	3.76
A6	Sample 6	2	1	2	32790	36.91	3.70
A6	Sample 6	2	1	3	37090	37	3.68
A6	Sample 6	2	1	4	41410	36.91	3.65
A6	Sample 6	2	1	5	45690	37	3.63
A6	Sample 6	2	1	6	49990	37	3.63
A6	Sample 6	2	1	7	54290	36.96	3.63
A6	Sample 6	2	1	8	58590	37	3.63
A6	Sample 6	2	1	9	62890	37	3.58
A6	Sample 6	2	1	10	67190	36.96	3.61
A6	Sample 6	2	1	11	71510	36.96	3.61
A6	Sample 6	2	1	12	75800	36.96	3.60
A6	Sample 6	2	1	13	80100	36.96	3.58
A6	Sample 6	2	1	14	84400	37	3.60
A6	Sample 6	2	1	15	88680	36.96	3.58
A7	Sample 7	2	1	1	28530	36.91	3.77
A7	Sample 7	2	1	2	32790	36.91	3.76
A7	Sample 7	2	1	3	37090	37	3.74
A7	Sample 7	2	1	4	41410	36.91	3.74
A7	Sample 7	2	1	5	45690	37	3.72
A7	Sample 7	2	1	6	49990	37	3.70
A7	Sample 7	2	1	7	54290	36.96	3.68
A7	Sample 7	2	1	8	58590	37	3.68
A7	Sample 7	2	1	9	62890	37	3.65
A7	Sample 7	2	1	10	67190	36.96	3.70
A7	Sample 7	2	1	11	71510	36.96	3.68
A7	Sample 7	2	1	12	75800	36.96	3.63
A7	Sample 7	2	1	13	80100	36.96	3.63
A7	Sample 7	2	1	14	84400	37	3.65
A7	Sample 7	2	1	15	88680	36.96	3.65
A8	Sample 8	2	1	1	28530	36.91	3.65
A8	Sample 8	2	1	2	32790	36.91	3.63
A8	Sample 8	2	1	3	37090	37	3.63
A8	Sample 8	2	1	4	41410	36.91	3.60
A8	Sample 8	2	1	5	45690	37	3.58
A8	Sample 8	2	1	6	49990	37	3.56
A8	Sample 8	2	1	7	54290	36.96	3.58
A8	Sample 8	2	1	8	58590	37	3.56
A8	Sample 8	2	1	9	62890	37	3.54
A8	Sample 8	2	1	10	67190	36.96	3.58
A8	Sample 8	2	1	11	71510	36.96	3.56
A8	Sample 8	2	1	12	75800	36.96	3.53
A8	Sample 8	2	1	13	80100	36.96	3.54
A8	Sample 8	2	1	14	84400	37	3.53
A8	Sample 8	2	1	15	88680	36.96	3.54
A9	Sample 9	2	1	1	28530	36.91	10.49
A9	Sample 9	2	1	2	32790	36.91	10.48
A9	Sample 9	2	1	3	37090	37	10.49
A9	Sample 9	2	1	4	41410	36.91	10.49
A9	Sample 9	2	1	5	45690	37	10.44
A9	Sample 9	2	1	6	49990	37	10.48
A9	Sample 9	2	1	7	54290	36.96	10.44
A9	Sample 9	2	1	8	58590	37	10.42
A9	Sample 9	2	1	9	62890	37	10.39
A9	Sample 9	2	1	10	67190	36.96	10.42
A9	Sample 9	2	1	11	71510	36.96	10.38
A9	Sample 9	2	1	12	75800	36.96	10.37
A9	Sample 9	2	1	13	80100	36.96	10.37
A9	Sample 9	2	1	14	84400	37	10.37
A9	Sample 9	2	1	15	88680	36.96	10.39
A10	Sample 10	2	1	1	28530	36.91	11.12
A10	Sample 10	2	1	2	32790	36.91	11.14
A10	Sample 10	2	1	3	37090	37	11.16
A10	Sample 10	2	1	4	41410	36.91	11.16
A10	Sample 10	2	1	5	45690	37	11.10
A10	Sample 10	2	1	6	49990	37	11.10
A10	Sample 10	2	1	7	54290	36.96	11.10
A10	Sample 10	2	1	8	58590	37	11.08
A10	Sample 10	2	1	9	62890	37	11.07
A10	Sample 10	2	1	10	67190	36.96	11.09
A10	Sample 10	2	1	11	71510	36.96	11.05
A10	Sample 10	2	1	12	75800	36.96	11.05
A10	Sample 10	2	1	13	80100	36.96	11.03
A10	Sample 10	2	1	14	84400	37	11.01
A10	Sample 10	2	1	15	88680	36.96	11.03
A11	Sample 11	2	1	1	28530	36.91	10.77
A11	Sample 11	2	1	2	32790	36.91	10.73
A11	Sample 11	2	1	3	37090	37	10.75
A11	Sample 11	2	1	4	41410	36.91	10.77
A11	Sample 11	2	1	5	45690	37	10.75
A11	Sample 11	2	1	6	49990	37	10.75
A11	Sample 11	2	1	7	54290	36.96	10.71
A11	Sample 11	2	1	8	58590	37	10.71
A11	Sample 11	2	1	9	62890	37	10.71
A11	Sample 11	2	1	10	67190	36.96	10.72
A11	Sample 11	2	1	11	71510	36.96	10.71
A11	Sample 11	2	1	12	75800	36.96	10.70
A11	Sample 11	2	1	13	80100	36.96	10.68
A11	Sample 11	2	1	14	84400	37	10.66
A11	Sample 11	2	1	15	88680	36.96	10.68
