Raw Data 		Experiment - evIC50_3_plate7_11APRIL2026 (Run on LCS480 1.5.1.62)																			
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510														
A1	Sample 1	2	1	1	31090	36.96	1.48														
A1	Sample 1	2	1	2	36110	37	1.48														
A1	Sample 1	2	1	3	41110	37	1.47														
A1	Sample 1	2	1	4	46110	36.96	1.47														
A1	Sample 1	2	1	5	51110	37	1.48														
A1	Sample 1	2	1	6	56110	37	1.47														
A1	Sample 1	2	1	7	61110	37	1.48														
A1	Sample 1	2	1	8	66130	37	1.48														
A1	Sample 1	2	1	9	71110	37	1.48														
A1	Sample 1	2	1	10	76110	37	1.48														
A1	Sample 1	2	1	11	81120	37	1.47														
A1	Sample 1	2	1	12	86110	37	1.47														
A1	Sample 1	2	1	13	91120	37	1.47														
A1	Sample 1	2	1	14	96120	36.96	1.47														
A1	Sample 1	2	1	15	101110	37	1.47														
A2	Sample 2	2	1	1	31090	36.96	1.56														
A2	Sample 2	2	1	2	36110	37	1.56														
A2	Sample 2	2	1	3	41110	37	1.56														
A2	Sample 2	2	1	4	46110	36.96	1.56														
A2	Sample 2	2	1	5	51110	37	1.57														
A2	Sample 2	2	1	6	56110	37	1.56														
A2	Sample 2	2	1	7	61110	37	1.56														
A2	Sample 2	2	1	8	66130	37	1.55														
A2	Sample 2	2	1	9	71110	37	1.56														
A2	Sample 2	2	1	10	76110	37	1.56														
A2	Sample 2	2	1	11	81120	37	1.56														
A2	Sample 2	2	1	12	86110	37	1.56														
A2	Sample 2	2	1	13	91120	37	1.56														
A2	Sample 2	2	1	14	96120	36.96	1.55														
A2	Sample 2	2	1	15	101110	37	1.56														
A3	Sample 3	2	1	1	31090	36.96	1.47														
A3	Sample 3	2	1	2	36110	37	1.48														
A3	Sample 3	2	1	3	41110	37	1.47														
A3	Sample 3	2	1	4	46110	36.96	1.48														
A3	Sample 3	2	1	5	51110	37	1.48														
A3	Sample 3	2	1	6	56110	37	1.48														
A3	Sample 3	2	1	7	61110	37	1.47														
A3	Sample 3	2	1	8	66130	37	1.47														
A3	Sample 3	2	1	9	71110	37	1.47														
A3	Sample 3	2	1	10	76110	37	1.47														
A3	Sample 3	2	1	11	81120	37	1.47														
A3	Sample 3	2	1	12	86110	37	1.47														
A3	Sample 3	2	1	13	91120	37	1.47														
A3	Sample 3	2	1	14	96120	36.96	1.47														
A3	Sample 3	2	1	15	101110	37	1.47														
A4	Sample 4	2	1	1	31090	36.96	1.54														
A4	Sample 4	2	1	2	36110	37	1.54														
