Raw Data 		Experiment - evIC50_4_plate1_13APRIL2026 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	31490	37	1.07
A1	Sample 1	2	1	2	36490	37	1.07
A1	Sample 1	2	1	3	41500	36.96	1.06
A1	Sample 1	2	1	4	46490	36.96	1.07
A1	Sample 1	2	1	5	51500	37	1.06
A1	Sample 1	2	1	6	56510	36.96	1.06
A1	Sample 1	2	1	7	61500	36.96	1.07
A1	Sample 1	2	1	8	66500	37	1.06
A1	Sample 1	2	1	9	71510	37	1.06
A1	Sample 1	2	1	10	76510	37	1.06
A1	Sample 1	2	1	11	81500	37	1.06
A1	Sample 1	2	1	12	86500	37	1.06
A1	Sample 1	2	1	13	91500	37	1.05
A1	Sample 1	2	1	14	96500	36.96	1.06
A1	Sample 1	2	1	15	101500	37	1.05
A2	Sample 2	2	1	1	31490	37	1.19
A2	Sample 2	2	1	2	36490	37	1.19
A2	Sample 2	2	1	3	41500	36.96	1.18
A2	Sample 2	2	1	4	46490	36.96	1.20
A2	Sample 2	2	1	5	51500	37	1.19
A2	Sample 2	2	1	6	56510	36.96	1.19
A2	Sample 2	2	1	7	61500	36.96	1.19
A2	Sample 2	2	1	8	66500	37	1.19
A2	Sample 2	2	1	9	71510	37	1.19
A2	Sample 2	2	1	10	76510	37	1.20
A2	Sample 2	2	1	11	81500	37	1.20
A2	Sample 2	2	1	12	86500	37	1.19
A2	Sample 2	2	1	13	91500	37	1.19
A2	Sample 2	2	1	14	96500	36.96	1.19
A2	Sample 2	2	1	15	101500	37	1.19
A3	Sample 3	2	1	1	31490	37	1.21
A3	Sample 3	2	1	2	36490	37	1.21
A3	Sample 3	2	1	3	41500	36.96	1.21
A3	Sample 3	2	1	4	46490	36.96	1.21
A3	Sample 3	2	1	5	51500	37	1.21
A3	Sample 3	2	1	6	56510	36.96	1.21
A3	Sample 3	2	1	7	61500	36.96	1.20
A3	Sample 3	2	1	8	66500	37	1.20
A3	Sample 3	2	1	9	71510	37	1.21
A3	Sample 3	2	1	10	76510	37	1.21
A3	Sample 3	2	1	11	81500	37	1.21
A3	Sample 3	2	1	12	86500	37	1.20
A3	Sample 3	2	1	13	91500	37	1.21
A3	Sample 3	2	1	14	96500	36.96	1.21
A3	Sample 3	2	1	15	101500	37	1.21
A4	Sample 4	2	1	1	31490	37	1.19
