Raw Data 		Experiment - evIC50_5_plate4_15APRIL2026 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	32230	36.96	0.93
A1	Sample 1	2	1	2	37280	36.96	0.94
A1	Sample 1	2	1	3	42260	36.96	0.93
A1	Sample 1	2	1	4	47260	36.96	0.94
A1	Sample 1	2	1	5	52270	37	0.93
A1	Sample 1	2	1	6	57260	37	0.93
A1	Sample 1	2	1	7	62270	37	0.94
A1	Sample 1	2	1	8	67260	36.96	0.93
A1	Sample 1	2	1	9	72260	37	0.93
A1	Sample 1	2	1	10	77280	36.96	0.93
A1	Sample 1	2	1	11	82270	37	0.93
A1	Sample 1	2	1	12	87260	36.96	0.93
A1	Sample 1	2	1	13	92260	36.96	0.93
A1	Sample 1	2	1	14	97260	36.96	0.93
A1	Sample 1	2	1	15	102260	36.96	0.93
A2	Sample 2	2	1	1	32230	36.96	0.90
A2	Sample 2	2	1	2	37280	36.96	0.90
A2	Sample 2	2	1	3	42260	36.96	0.89
A2	Sample 2	2	1	4	47260	36.96	0.89
A2	Sample 2	2	1	5	52270	37	0.90
A2	Sample 2	2	1	6	57260	37	0.89
A2	Sample 2	2	1	7	62270	37	0.90
A2	Sample 2	2	1	8	67260	36.96	0.90
A2	Sample 2	2	1	9	72260	37	0.90
A2	Sample 2	2	1	10	77280	36.96	0.90
A2	Sample 2	2	1	11	82270	37	0.90
A2	Sample 2	2	1	12	87260	36.96	0.90
A2	Sample 2	2	1	13	92260	36.96	0.90
A2	Sample 2	2	1	14	97260	36.96	0.90
A2	Sample 2	2	1	15	102260	36.96	0.90
A3	Sample 3	2	1	1	32230	36.96	1.06
A3	Sample 3	2	1	2	37280	36.96	1.06
A3	Sample 3	2	1	3	42260	36.96	1.05
A3	Sample 3	2	1	4	47260	36.96	1.05
A3	Sample 3	2	1	5	52270	37	1.05
A3	Sample 3	2	1	6	57260	37	1.05
A3	Sample 3	2	1	7	62270	37	1.05
A3	Sample 3	2	1	8	67260	36.96	1.04
A3	Sample 3	2	1	9	72260	37	1.05
A3	Sample 3	2	1	10	77280	36.96	1.05
A3	Sample 3	2	1	11	82270	37	1.04
A3	Sample 3	2	1	12	87260	36.96	1.05
A3	Sample 3	2	1	13	92260	36.96	1.05
A3	Sample 3	2	1	14	97260	36.96	1.05
A3	Sample 3	2	1	15	102260	36.96	1.04
A4	Sample 4	2	1	1	32230	36.96	1.03
A4	Sample 4	2	1	2	37280	36.96	1.03
A4	Sample 4	2	1	3	42260	36.96	1.03
A4	Sample 4	2	1	4	47260	36.96	1.02
A4	Sample 4	2	1	5	52270	37	1.03
A4	Sample 4	2	1	6	57260	37	1.02
A4	Sample 4	2	1	7	62270	37	1.03
A4	Sample 4	2	1	8	67260	36.96	1.03
A4	Sample 4	2	1	9	72260	37	1.03
A4	Sample 4	2	1	10	77280	36.96	1.03
A4	Sample 4	2	1	11	82270	37	1.02
A4	Sample 4	2	1	12	87260	36.96	1.03
A4	Sample 4	2	1	13	92260	36.96	1.03
A4	Sample 4	2	1	14	97260	36.96	1.03
A4	Sample 4	2	1	15	102260	36.96	1.03
A5	Sample 5	2	1	1	32230	36.96	0.92
A5	Sample 5	2	1	2	37280	36.96	0.93
A5	Sample 5	2	1	3	42260	36.96	0.92
A5	Sample 5	2	1	4	47260	36.96	0.92
A5	Sample 5	2	1	5	52270	37	0.92
A5	Sample 5	2	1	6	57260	37	0.92
A5	Sample 5	2	1	7	62270	37	0.92
A5	Sample 5	2	1	8	67260	36.96	0.92
A5	Sample 5	2	1	9	72260	37	0.92
A5	Sample 5	2	1	10	77280	36.96	0.92
A5	Sample 5	2	1	11	82270	37	0.91
A5	Sample 5	2	1	12	87260	36.96	0.92
A5	Sample 5	2	1	13	92260	36.96	0.92
A5	Sample 5	2	1	14	97260	36.96	0.93
A5	Sample 5	2	1	15	102260	36.96	0.92
A6	Sample 6	2	1	1	32230	36.96	0.97
A6	Sample 6	2	1	2	37280	36.96	0.98
