Raw Data 		Experiment - evIC50_3_plate6_11APRIL2026 (Run on LCS480 1.5.1.62)																			
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510														
A8	Sample 8	2	1	11	84250	36.96	1.65														
A8	Sample 8	2	1	12	89260	36.91	1.65														
A8	Sample 8	2	1	13	94270	37	1.64														
A8	Sample 8	2	1	14	99250	36.96	1.65														
A8	Sample 8	2	1	15	104260	36.96	1.65			1.71	1.77	1.73	1.81	1.41	1.37	1.47	1.45	2.66	2.58	2.61	2.39
A9	Sample 9	2	1	1	34290	36.96	2.62														
A9	Sample 9	2	1	2	39250	37	2.62														
A9	Sample 9	2	1	3	44250	36.96	2.62														
A9	Sample 9	2	1	4	49270	37	2.62														
A9	Sample 9	2	1	5	54260	37	2.61														
A9	Sample 9	2	1	6	59250	37	2.61														
A9	Sample 9	2	1	7	64260	37	2.62														
A9	Sample 9	2	1	8	69260	37	2.61														
A9	Sample 9	2	1	9	74250	37	2.61														
A9	Sample 9	2	1	10	79260	37	2.61														
A9	Sample 9	2	1	11	84250	36.96	2.62														
A9	Sample 9	2	1	12	89260	36.91	2.62														
A9	Sample 9	2	1	13	94270	37	2.61														
A9	Sample 9	2	1	14	99250	36.96	2.62														
A9	Sample 9	2	1	15	104260	36.96	2.61			1.61	1.72	1.66	1.97	1.53	1.38	1.42	1.39	2.51	2.46	2.76	2.49
A10	Sample 10	2	1	1	34290	36.96	2.5														
A10	Sample 10	2	1	2	39250	37	2.49														
A10	Sample 10	2	1	3	44250	36.96	2.49														
A10	Sample 10	2	1	4	49270	37	2.49														
A10	Sample 10	2	1	5	54260	37	2.49														
A10	Sample 10	2	1	6	59250	37	2.49														
A10	Sample 10	2	1	7	64260	37	2.48														
A10	Sample 10	2	1	8	69260	37	2.49														
A10	Sample 10	2	1	9	74250	37	2.48														
A10	Sample 10	2	1	10	79260	37	2.49														
A10	Sample 10	2	1	11	84250	36.96	2.49														
A10	Sample 10	2	1	12	89260	36.91	2.48														
A10	Sample 10	2	1	13	94270	37	2.48														
A10	Sample 10	2	1	14	99250	36.96	2.48														
A10	Sample 10	2	1	15	104260	36.96	2.48			1.68	1.8	1.93	2.01	1.49	1.34	1.54	1.54	2.71	2.53	2.92	2.67
A11	Sample 11	2	1	1	34290	36.96	2.57														
A11	Sample 11	2	1	2	39250	37	2.56														
A11	Sample 11	2	1	3	44250	36.96	2.56														
A11	Sample 11	2	1	4	49270	37	2.56														
A11	Sample 11	2	1	5	54260	37	2.56														
A11	Sample 11	2	1	6	59250	37	2.55														
A11	Sample 11	2	1	7	64260	37	2.56														
A11	Sample 11	2	1	8	69260	37	2.56														
A11	Sample 11	2	1	9	74250	37	2.55														
A11	Sample 11	2	1	10	79260	37	2.56														
A11	Sample 11	2	1	11	84250	36.96	2.56														
A11	Sample 11	2	1	12	89260	36.91	2.54														
A11	Sample 11	2	1	13	94270	37	2.55														
A11	Sample 11	2	1	14	99250	36.96	2.55														
A11	Sample 11	2	1	15	104260	36.96	2.55			1.73	1.8	1.99	2.08	1.47	1.41	1.48	1.47	2.67	2.62	2.98	2.75
A12	Sample 12	2	1	1	34290	36.96	2.27														
A12	Sample 12	2	1	2	39250	37	2.28														
A12	Sample 12	2	1	3	44250	36.96	2.28														
A12	Sample 12	2	1	4	49270	37	2.28														
A12	Sample 12	2	1	5	54260	37	2.27														
A12	Sample 12	2	1	6	59250	37	2.27														
A12	Sample 12	2	1	7	64260	37	2.27														
A12	Sample 12	2	1	8	69260	37	2.27														
A12	Sample 12	2	1	9	74250	37	2.27														
A12	Sample 12	2	1	10	79260	37	2.27														
A12	Sample 12	2	1	11	84250	36.96	2.27														
A12	Sample 12	2	1	12	89260	36.91	2.27														
A12	Sample 12	2	1	13	94270	37	2.26														
A12	Sample 12	2	1	14	99250	36.96	2.26														
A12	Sample 12	2	1	15	104260	36.96	2.27			1.73	1.66	1.9	1.96	1.47	1.39	1.5	1.52	2.97	2.77	2.74	2.74
B1	Sample 13	2	1	1	34290	36.96	1.58														
B1	Sample 13	2	1	2	39250	37	1.58														
B1	Sample 13	2	1	3	44250	36.96	1.57														
B1	Sample 13	2	1	4	49270	37	1.57														
B1	Sample 13	2	1	5	54260	37	1.57														
B1	Sample 13	2	1	6	59250	37	1.57														
B1	Sample 13	2	1	7	64260	37	1.57														
B1	Sample 13	2	1	8	69260	37	1.57														
B1	Sample 13	2	1	9	74250	37	1.57														
B1	Sample 13	2	1	10	79260	37	1.57														
B1	Sample 13	2	1	11	84250	36.96	1.57														
B1	Sample 13	2	1	12	89260	36.91	1.57														
B1	Sample 13	2	1	13	94270	37	1.56														
B1	Sample 13	2	1	14	99250	36.96	1.57														
B1	Sample 13	2	1	15	104260	36.96	1.56														
B2	Sample 14	2	1	1	34290	36.96	1.72														
B2	Sample 14	2	1	2	39250	37	1.72														
B2	Sample 14	2	1	3	44250	36.96	1.71														
B2	Sample 14	2	1	4	49270	37	1.7														
B2	Sample 14	2	1	5	54260	37	1.71														
B2	Sample 14	2	1	6	59250	37	1.71														
B2	Sample 14	2	1	7	64260	37	1.7														
B2	Sample 14	2	1	8	69260	37	1.7														
B2	Sample 14	2	1	9	74250	37	1.71														
B2	Sample 14	2	1	10	79260	37	1.7														
B2	Sample 14	2	1	11	84250	36.96	1.7														
B2	Sample 14	2	1	12	89260	36.91	1.7														
B2	Sample 14	2	1	13	94270	37	1.7														
B2	Sample 14	2	1	14	99250	36.96	1.7														
B2	Sample 14	2	1	15	104260	36.96	1.69														
B3	Sample 15	2	1	1	34290	36.96	1.81														
B3	Sample 15	2	1	2	39250	37	1.81														
B3	Sample 15	2	1	3	44250	36.96	1.8														
B3	Sample 15	2	1	4	49270	37	1.8														
B3	Sample 15	2	1	5	54260	37	1.81														
B3	Sample 15	2	1	6	59250	37	1.8														
B3	Sample 15	2	1	7	64260	37	1.8														
B3	Sample 15	2	1	8	69260	37	1.8														
B3	Sample 15	2	1	9	74250	37	1.79														
B3	Sample 15	2	1	10	79260	37	1.79														
B3	Sample 15	2	1	11	84250	36.96	1.79														
B3	Sample 15	2	1	12	89260	36.91	1.8														
B3	Sample 15	2	1	13	94270	37	1.8														
B3	Sample 15	2	1	14	99250	36.96	1.79														
B3	Sample 15	2	1	15	104260	36.96	1.79														
B4	Sample 16	2	1	1	34290	36.96	1.99														
B4	Sample 16	2	1	2	39250	37	1.99														
B4	Sample 16	2	1	3	44250	36.96	1.99														
B4	Sample 16	2	1	4	49270	37	1.99														
B4	Sample 16	2	1	5	54260	37	1.99														
B4	Sample 16	2	1	6	59250	37	1.98														
B4	Sample 16	2	1	7	64260	37	1.98														
B4	Sample 16	2	1	8	69260	37	1.98														
B4	Sample 16	2	1	9	74250	37	1.98														
B4	Sample 16	2	1	10	79260	37	1.98														
B4	Sample 16	2	1	11	84250	36.96	1.97														
B4	Sample 16	2	1	12	89260	36.91	1.97														
B4	Sample 16	2	1	13	94270	37	1.97														
B4	Sample 16	2	1	14	99250	36.96	1.96														
B4	Sample 16	2	1	15	104260	36.96	1.97														
B5	Sample 17	2	1	1	34290	36.96	1.46														
B5	Sample 17	2	1	2	39250	37	1.46														
B5	Sample 17	2	1	3	44250	36.96	1.45														
B5	Sample 17	2	1	4	49270	37	1.45														
B5	Sample 17	2	1	5	54260	37	1.45														
B5	Sample 17	2	1	6	59250	37	1.45														
B5	Sample 17	2	1	7	64260	37	1.45														
B5	Sample 17	2	1	8	69260	37	1.45														
B5	Sample 17	2	1	9	74250	37	1.44														
B5	Sample 17	2	1	10	79260	37	1.44														
B5	Sample 17	2	1	11	84250	36.96	1.44														
B5	Sample 17	2	1	12	89260	36.91	1.45														
B5	Sample 17	2	1	13	94270	37	1.44														
B5	Sample 17	2	1	14	99250	36.96	1.44														
B5	Sample 17	2	1	15	104260	36.96	1.44														
B6	Sample 18	2	1	1	34290	36.96	1.5														
B6	Sample 18	2	1	2	39250	37	1.5														
B6	Sample 18	2	1	3	44250	36.96	1.49														
B6	Sample 18	2	1	4	49270	37	1.48														
B6	Sample 18	2	1	5	54260	37	1.49														
B6	Sample 18	2	1	6	59250	37	1.48														
B6	Sample 18	2	1	7	64260	37	1.48														
B6	Sample 18	2	1	8	69260	37	1.49														
B6	Sample 18	2	1	9	74250	37	1.48														
B6	Sample 18	2	1	10	79260	37	1.47														
B6	Sample 18	2	1	11	84250	36.96	1.48														
B6	Sample 18	2	1	12	89260	36.91	1.48														
B6	Sample 18	2	1	13	94270	37	1.48														
B6	Sample 18	2	1	14	99250	36.96	1.48														
B6	Sample 18	2	1	15	104260	36.96	1.47														
B7	Sample 19	2	1	1	34290	36.96	1.41														
B7	Sample 19	2	1	2	39250	37	1.41														
B7	Sample 19	2	1	3	44250	36.96	1.4														
B7	Sample 19	2	1	4	49270	37	1.41														
B7	Sample 19	2	1	5	54260	37	1.4														
B7	Sample 19	2	1	6	59250	37	1.4														
B7	Sample 19	2	1	7	64260	37	1.4														
B7	Sample 19	2	1	8	69260	37	1.39														
B7	Sample 19	2	1	9	74250	37	1.4														
B7	Sample 19	2	1	10	79260	37	1.39														
B7	Sample 19	2	1	11	84250	36.96	1.4														
B7	Sample 19	2	1	12	89260	36.91	1.39														
B7	Sample 19	2	1	13	94270	37	1.39														
B7	Sample 19	2	1	14	99250	36.96	1.4														
B7	Sample 19	2	1	15	104260	36.96	1.39														
B8	Sample 20	2	1	1	34290	36.96	1.51														
B8	Sample 20	2	1	2	39250	37	1.5														
B8	Sample 20	2	1	3	44250	36.96	1.51														
B8	Sample 20	2	1	4	49270	37	1.5														
