Raw Data 		Experiment - evIC50_plate1_07APRIL20262 (Run on LCS480 1.5.1.62)					
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A1	Sample 1	2	1	1	37940	36.96	0.57
A1	Sample 1	2	1	2	50960	37	0.57
A1	Sample 1	2	1	3	63960	37	0.56
A1	Sample 1	2	1	4	76960	37	0.56
A1	Sample 1	2	1	5	89960	36.96	0.56
A1	Sample 1	2	1	6	102960	37	0.56
A1	Sample 1	2	1	7	115960	37	0.57
A1	Sample 1	2	1	8	128960	37	0.56
A1	Sample 1	2	1	9	141970	36.91	0.56
A1	Sample 1	2	1	10	154960	37	0.56
A1	Sample 1	2	1	11	167970	37	0.56
A1	Sample 1	2	1	12	180970	37	0.56
A1	Sample 1	2	1	13	193960	37	0.56
A1	Sample 1	2	1	14	206970	36.96	0.56
A1	Sample 1	2	1	15	219960	37	0.56
A2	Sample 2	2	1	1	37940	36.96	0.58
A2	Sample 2	2	1	2	50960	37	0.57
A2	Sample 2	2	1	3	63960	37	0.57
A2	Sample 2	2	1	4	76960	37	0.58
A2	Sample 2	2	1	5	89960	36.96	0.57
A2	Sample 2	2	1	6	102960	37	0.57
A2	Sample 2	2	1	7	115960	37	0.58
A2	Sample 2	2	1	8	128960	37	0.57
A2	Sample 2	2	1	9	141970	36.91	0.58
A2	Sample 2	2	1	10	154960	37	0.57
A2	Sample 2	2	1	11	167970	37	0.57
A2	Sample 2	2	1	12	180970	37	0.57
A2	Sample 2	2	1	13	193960	37	0.57
A2	Sample 2	2	1	14	206970	36.96	0.56
A2	Sample 2	2	1	15	219960	37	0.57
A3	Sample 3	2	1	1	37940	36.96	0.6
A3	Sample 3	2	1	2	50960	37	0.61
A3	Sample 3	2	1	3	63960	37	0.61
A3	Sample 3	2	1	4	76960	37	0.61
A3	Sample 3	2	1	5	89960	36.96	0.6
A3	Sample 3	2	1	6	102960	37	0.6
A3	Sample 3	2	1	7	115960	37	0.61
A3	Sample 3	2	1	8	128960	37	0.6
A3	Sample 3	2	1	9	141970	36.91	0.6
A3	Sample 3	2	1	10	154960	37	0.6
A3	Sample 3	2	1	11	167970	37	0.59
A3	Sample 3	2	1	12	180970	37	0.6
A3	Sample 3	2	1	13	193960	37	0.6
A3	Sample 3	2	1	14	206970	36.96	0.59
A3	Sample 3	2	1	15	219960	37	0.6
A4	Sample 4	2	1	1	37940	36.96	0.61
A4	Sample 4	2	1	2	50960	37	0.61
A4	Sample 4	2	1	3	63960	37	0.61
A4	Sample 4	2	1	4	76960	37	0.6
A4	Sample 4	2	1	5	89960	36.96	0.61
A4	Sample 4	2	1	6	102960	37	0.6
A4	Sample 4	2	1	7	115960	37	0.61
A4	Sample 4	2	1	8	128960	37	0.61
A4	Sample 4	2	1	9	141970	36.91	0.6
A4	Sample 4	2	1	10	154960	37	0.6
A4	Sample 4	2	1	11	167970	37	0.6
A4	Sample 4	2	1	12	180970	37	0.61
A4	Sample 4	2	1	13	193960	37	0.6
A4	Sample 4	2	1	14	206970	36.96	0.6
A4	Sample 4	2	1	15	219960	37	0.6
A5	Sample 5	2	1	1	37940	36.96	1.39
A5	Sample 5	2	1	2	50960	37	1.4
A5	Sample 5	2	1	3	63960	37	1.4
