Raw Data 		Experiment - evIC50_6_plate5_17APRIL2026 (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	2	1	1	32370	36.91	0.95
A1	Sample 1	2	1	2	37390	37	0.96
A1	Sample 1	2	1	3	42390	36.96	0.96
A1	Sample 1	2	1	4	47390	36.96	0.96
A1	Sample 1	2	1	5	52390	37	0.96
A1	Sample 1	2	1	6	57380	37	0.96
A1	Sample 1	2	1	7	62390	36.96	0.96
A1	Sample 1	2	1	8	67410	36.96	0.95
A1	Sample 1	2	1	9	72390	37	0.96
A1	Sample 1	2	1	10	77390	37	0.95
A1	Sample 1	2	1	11	82400	36.96	0.96
A1	Sample 1	2	1	12	87390	36.96	0.96
A1	Sample 1	2	1	13	92390	36.96	0.96
A1	Sample 1	2	1	14	97400	37	0.96
A1	Sample 1	2	1	15	102390	36.91	0.96
A2	Sample 2	2	1	1	32370	36.91	0.99
A2	Sample 2	2	1	2	37390	37	0.99
A2	Sample 2	2	1	3	42390	36.96	1.00
A2	Sample 2	2	1	4	47390	36.96	0.99
A2	Sample 2	2	1	5	52390	37	0.99
A2	Sample 2	2	1	6	57380	37	1.00
A2	Sample 2	2	1	7	62390	36.96	0.99
A2	Sample 2	2	1	8	67410	36.96	0.98
A2	Sample 2	2	1	9	72390	37	0.99
A2	Sample 2	2	1	10	77390	37	0.99
A2	Sample 2	2	1	11	82400	36.96	1.00
A2	Sample 2	2	1	12	87390	36.96	0.99
A2	Sample 2	2	1	13	92390	36.96	0.99
A2	Sample 2	2	1	14	97400	37	0.99
A2	Sample 2	2	1	15	102390	36.91	0.99
A3	Sample 3	2	1	1	32370	36.91	1.09
A3	Sample 3	2	1	2	37390	37	1.09
A3	Sample 3	2	1	3	42390	36.96	1.09
A3	Sample 3	2	1	4	47390	36.96	1.09
A3	Sample 3	2	1	5	52390	37	1.09
A3	Sample 3	2	1	6	57380	37	1.09
A3	Sample 3	2	1	7	62390	36.96	1.09
