well,sample_id,drug,conc_nm,replicate,au
A1,8036321,dha,250.0,1,1.12
A2,8036321,dha,250.0,2,1.14
A3,8036321,lum,1000.0,1,1.31
A4,8036321,lum,1000.0,2,1.37
A5,8036322,dha,250.0,1,2.03
A6,8036322,dha,250.0,2,2.02
A7,8036322,lum,1000.0,1,2.03
A8,8036322,lum,1000.0,2,1.97
A9,8036323,dha,250.0,1,1.25
A10,8036323,dha,250.0,2,1.22
A11,8036323,lum,1000.0,1,1.26
A12,8036323,lum,1000.0,2,1.11
B1,8036321,dha,83.33333333333333,1,1.03
B2,8036321,dha,83.33333333333333,2,1.06
B3,8036321,lum,333.3333333333333,1,1.18
B4,8036321,lum,333.3333333333333,2,1.26
B5,8036322,dha,83.33333333333333,1,1.85
B6,8036322,dha,83.33333333333333,2,1.84
B7,8036322,lum,333.3333333333333,1,1.89
B8,8036322,lum,333.3333333333333,2,1.86
B9,8036323,dha,83.33333333333333,1,1.14
B10,8036323,dha,83.33333333333333,2,1.14
B11,8036323,lum,333.3333333333333,1,1.26
B12,8036323,lum,333.3333333333333,2,1.13
C1,8036321,dha,27.77777777777778,1,1.05
C2,8036321,dha,27.77777777777778,2,1.1
C3,8036321,lum,111.11111111111111,1,1.16
C4,8036321,lum,111.11111111111111,2,1.25
C5,8036322,dha,27.77777777777778,1,1.82
C6,8036322,dha,27.77777777777778,2,1.86
C7,8036322,lum,111.11111111111111,1,1.9
C8,8036322,lum,111.11111111111111,2,1.88
C9,8036323,dha,27.77777777777778,1,1.18
C10,8036323,dha,27.77777777777778,2,1.14
C11,8036323,lum,111.11111111111111,1,1.21
C12,8036323,lum,111.11111111111111,2,1.12
D1,8036321,dha,9.25925925925926,1,1.07
D2,8036321,dha,9.25925925925926,2,1.1
D3,8036321,lum,37.03703703703704,1,1.29
D4,8036321,lum,37.03703703703704,2,1.32
D5,8036322,dha,9.25925925925926,1,1.79
D6,8036322,dha,9.25925925925926,2,1.78
D7,8036322,lum,37.03703703703704,1,1.93
D8,8036322,lum,37.03703703703704,2,1.87
D9,8036323,dha,9.25925925925926,1,1.2
D10,8036323,dha,9.25925925925926,2,1.21
D11,8036323,lum,37.03703703703704,1,1.23
D12,8036323,lum,37.03703703703704,2,1.1
E1,8036321,dha,3.0864197530864197,1,1.09
E2,8036321,dha,3.0864197530864197,2,1.06
E3,8036321,lum,12.345679012345679,1,1.43
E4,8036321,lum,12.345679012345679,2,1.53
E5,8036322,dha,3.0864197530864197,1,1.9
E6,8036322,dha,3.0864197530864197,2,1.8
E7,8036322,lum,12.345679012345679,1,1.87
E8,8036322,lum,12.345679012345679,2,1.83
E9,8036323,dha,3.0864197530864197,1,1.13
E10,8036323,dha,3.0864197530864197,2,1.12
E11,8036323,lum,12.345679012345679,1,1.35
E12,8036323,lum,12.345679012345679,2,1.25
F1,8036321,dha,1.02880658436214,1,1.1
F2,8036321,dha,1.02880658436214,2,1.12
F3,8036321,lum,4.11522633744856,1,1.7
F4,8036321,lum,4.11522633744856,2,1.79
F5,8036322,dha,1.02880658436214,1,1.85
F6,8036322,dha,1.02880658436214,2,1.76
F7,8036322,lum,4.11522633744856,1,2.0
F8,8036322,lum,4.11522633744856,2,1.98
F9,8036323,dha,1.02880658436214,1,1.46
F10,8036323,dha,1.02880658436214,2,1.34
F11,8036323,lum,4.11522633744856,1,1.81
F12,8036323,lum,4.11522633744856,2,1.66
G1,8036321,dha,0.3429355281207133,1,1.24
G2,8036321,dha,0.3429355281207133,2,1.28
G3,8036321,lum,1.3717421124828533,1,1.8
G4,8036321,lum,1.3717421124828533,2,1.85
G5,8036322,dha,0.3429355281207133,1,1.93
G6,8036322,dha,0.3429355281207133,2,1.83
G7,8036322,lum,1.3717421124828533,1,1.98
G8,8036322,lum,1.3717421124828533,2,1.97
G9,8036323,dha,0.3429355281207133,1,1.79
G10,8036323,dha,0.3429355281207133,2,1.65
G11,8036323,lum,1.3717421124828533,1,1.89
G12,8036323,lum,1.3717421124828533,2,1.75
H1,8036321,dha,0.0,1,1.61
H2,8036321,dha,0.0,2,1.64
H3,8036321,lum,0.0,1,1.78
H4,8036321,lum,0.0,2,1.77
H5,8036322,dha,0.0,1,2.04
H6,8036322,dha,0.0,2,1.98
H7,8036322,lum,0.0,1,2.04
H8,8036322,lum,0.0,2,2.01
H9,8036323,dha,0.0,1,1.83
H10,8036323,dha,0.0,2,1.71
H11,8036323,lum,0.0,1,1.76
H12,8036323,lum,0.0,2,1.68
