well,sample_id,drug,conc_nm,replicate,au
A1,8036393,dha,250.0,1,0.39
A2,8036393,dha,250.0,2,0.4
A3,8036393,lum,1000.0,1,0.44
A4,8036393,lum,1000.0,2,0.44
A5,8036395,dha,250.0,1,0.53
A6,8036395,dha,250.0,2,0.52
A7,8036395,lum,1000.0,1,0.55
A8,8036395,lum,1000.0,2,0.53
A9,8036396,dha,250.0,1,0.93
A10,8036396,dha,250.0,2,0.93
A11,8036396,lum,1000.0,1,0.91
A12,8036396,lum,1000.0,2,0.82
B1,8036393,dha,62.5,1,0.35
B2,8036393,dha,62.5,2,0.36
B3,8036393,lum,250.0,1,0.42
B4,8036393,lum,250.0,2,0.39
B5,8036395,dha,62.5,1,0.51
B6,8036395,dha,62.5,2,0.49
B7,8036395,lum,250.0,1,0.52
B8,8036395,lum,250.0,2,0.49
B9,8036396,dha,62.5,1,0.89
B10,8036396,dha,62.5,2,0.92
B11,8036396,lum,250.0,1,0.94
B12,8036396,lum,250.0,2,0.83
C1,8036393,dha,15.625,1,0.37
C2,8036393,dha,15.625,2,0.38
C3,8036393,lum,62.5,1,0.41
C4,8036393,lum,62.5,2,0.43
C5,8036395,dha,15.625,1,0.5
C6,8036395,dha,15.625,2,0.55
C7,8036395,lum,62.5,1,0.55
C8,8036395,lum,62.5,2,0.49
C9,8036396,dha,15.625,1,0.91
C10,8036396,dha,15.625,2,0.93
C11,8036396,lum,62.5,1,0.92
C12,8036396,lum,62.5,2,0.86
D1,8036393,dha,3.90625,1,0.38
D2,8036393,dha,3.90625,2,0.38
D3,8036393,lum,15.625,1,0.63
D4,8036393,lum,15.625,2,0.61
D5,8036395,dha,3.90625,1,0.75
D6,8036395,dha,3.90625,2,0.79
D7,8036395,lum,15.625,1,0.72
D8,8036395,lum,15.625,2,0.77
D9,8036396,dha,3.90625,1,0.9
D10,8036396,dha,3.90625,2,0.92
D11,8036396,lum,15.625,1,0.92
D12,8036396,lum,15.625,2,0.84
E1,8036393,dha,0.9765625,1,0.4
E2,8036393,dha,0.9765625,2,0.4
E3,8036393,lum,3.90625,1,0.7
E4,8036393,lum,3.90625,2,0.69
E5,8036395,dha,0.9765625,1,1.11
E6,8036395,dha,0.9765625,2,1.06
E7,8036395,lum,3.90625,1,1.03
E8,8036395,lum,3.90625,2,0.99
E9,8036396,dha,0.9765625,1,0.88
E10,8036396,dha,0.9765625,2,0.88
E11,8036396,lum,3.90625,1,0.89
E12,8036396,lum,3.90625,2,0.83
F1,8036393,dha,0.244140625,1,0.56
F2,8036393,dha,0.244140625,2,0.55
F3,8036393,lum,0.9765625,1,0.75
F4,8036393,lum,0.9765625,2,0.75
F5,8036395,dha,0.244140625,1,1.11
F6,8036395,dha,0.244140625,2,1.02
F7,8036395,lum,0.9765625,1,1.08
F8,8036395,lum,0.9765625,2,1.03
F9,8036396,dha,0.244140625,1,0.91
F10,8036396,dha,0.244140625,2,0.91
F11,8036396,lum,0.9765625,1,0.91
F12,8036396,lum,0.9765625,2,0.83
G1,8036393,dha,0.06103515625,1,0.69
G2,8036393,dha,0.06103515625,2,0.71
G3,8036393,lum,0.244140625,1,0.72
G4,8036393,lum,0.244140625,2,0.79
G5,8036395,dha,0.06103515625,1,1.1
G6,8036395,dha,0.06103515625,2,1.05
G7,8036395,lum,0.244140625,1,1.03
G8,8036395,lum,0.244140625,2,1.01
G9,8036396,dha,0.06103515625,1,0.9
G10,8036396,dha,0.06103515625,2,0.91
G11,8036396,lum,0.244140625,1,0.89
G12,8036396,lum,0.244140625,2,0.83
H1,8036393,dha,0.0,1,0.72
H2,8036393,dha,0.0,2,0.73
H3,8036393,lum,0.0,1,0.78
H4,8036393,lum,0.0,2,0.75
H5,8036395,dha,0.0,1,1.12
H6,8036395,dha,0.0,2,1.08
H7,8036395,lum,0.0,1,1.1
H8,8036395,lum,0.0,2,1.06
H9,8036396,dha,0.0,1,0.86
H10,8036396,dha,0.0,2,0.84
H11,8036396,lum,0.0,1,0.81
H12,8036396,lum,0.0,2,0.79
