barcode,n_processed_fastq
barcode41,16
barcode42,16
barcode43,16
barcode44,16
barcode45,16
barcode46,16
barcode47,16
barcode48,16
barcode49,16
barcode50,16
barcode51,16
barcode52,16
barcode53,16
barcode54,16
barcode55,16
barcode56,16
barcode57,16
barcode58,16
barcode59,16
barcode60,16
barcode61,16
barcode62,16
barcode63,16
barcode64,16
barcode65,16
barcode66,16
barcode67,16
barcode68,16
barcode69,16
barcode70,16
barcode71,16
barcode72,16
barcode73,16
barcode74,16
unclassified,16
