barcode,n_processed_fastq,sample_id
barcode01,110,3D7
barcode02,110,Dd2
barcode03,110,HB3
barcode04,110,IPC3445
barcode05,110,Human
barcode06,109,NTC
barcode07,110,8032404
barcode08,110,8032406
barcode09,110,8032408
barcode10,110,8032412
barcode11,110,8032418
barcode12,110,8032423
barcode13,110,8032425
barcode14,110,8032426
barcode15,110,8032429
barcode16,110,8032432
barcode17,110,8032433
barcode18,110,8032435
barcode19,110,8032441
barcode20,110,8032444
barcode21,110,8032447
barcode22,110,8032448
barcode23,110,8032449
barcode24,110,8032450
barcode25,110,8032453
barcode26,110,8032456
barcode27,110,8032457
barcode28,110,8032461
barcode29,110,8032467
barcode30,110,8032468
barcode31,110,8032474
barcode32,110,8032476
barcode33,110,8032477
barcode34,110,8032480
barcode35,110,8032481
barcode36,110,8032482
barcode37,110,8032602
barcode38,110,8032603
barcode39,110,8032607
barcode40,110,8032608
barcode41,110,8032609
barcode42,110,8032610
barcode43,110,8032613
barcode44,110,8032614
barcode45,110,8032615
barcode46,110,8032616
barcode47,110,8032617
barcode48,110,8032624
barcode49,110,8032625
barcode50,110,8032630
barcode51,110,8032635
barcode52,110,8032642
barcode53,110,8032644
barcode54,110,8032645
barcode55,110,8032650
barcode56,110,8032661
barcode57,110,8032675
barcode58,110,8032679
barcode59,110,8032688
barcode60,110,8032815
barcode61,110,8032819
barcode62,110,8032820
barcode63,110,8032821
barcode64,110,8032822
barcode65,110,8032823
barcode66,110,8032824
barcode67,110,8032826
barcode68,110,8032828
barcode69,110,8032829
barcode70,110,8032830
barcode71,110,8032834
barcode72,110,8032840
barcode73,110,8032841
barcode74,110,8032843
barcode75,110,8032845
barcode76,110,8032847
barcode77,110,8032848
barcode78,110,8032849
barcode79,110,8032850
barcode80,110,8032854
barcode81,110,8032858
barcode82,110,8032859
barcode83,110,8032861
barcode84,110,8032862
barcode85,110,8032869
barcode86,110,8032871
barcode87,110,8032873
barcode88,110,8032874
barcode89,110,8032878
barcode90,110,8032879
barcode91,110,8032884
barcode92,110,8032885
barcode93,110,8032895
barcode94,110,8032896
barcode95,110,8032898
barcode96,110,8032900
unclassified,110,unclassified
