barcode,n_processed_fastq,sample_id
barcode01,89,3D7
barcode02,89,Dd2
barcode03,89,HB3
barcode04,90,IPC3445
barcode05,89,Human
barcode06,89,NTC
barcode07,89,8022840
barcode08,89,8022841
barcode09,89,8022843
barcode10,89,8022846
barcode11,90,8022851
barcode12,89,8022854
barcode13,89,8022859
barcode14,90,8022861
barcode15,89,8022862
barcode16,89,8022863
barcode17,89,8022865
barcode18,89,8022866
barcode19,89,8022868
barcode20,90,8022869
barcode21,89,8022872
barcode22,89,8022873
barcode23,89,8022874
barcode24,89,8022875
barcode25,90,8022876
barcode26,89,8022877
barcode27,89,8022878
barcode28,89,8022879
barcode29,89,8022880
barcode30,89,8022881
barcode31,89,8022882
barcode32,89,8022883
barcode33,90,8022885
barcode34,89,8022887
barcode35,89,8022889
barcode36,89,8022890
barcode37,89,8022891
barcode38,89,8023650
barcode39,89,8023655
barcode40,89,8023660
barcode41,89,8023663
barcode42,89,8023671
barcode43,90,8023679
barcode44,89,8023680
barcode45,90,8023683
barcode46,90,8023687
barcode47,89,8023689
barcode48,89,8023690
barcode49,89,8023698
barcode50,89,8023700
barcode51,89,8023701
barcode52,89,8023713
barcode53,90,8030695
barcode54,89,8033086
barcode55,89,8033087
barcode56,89,8033089
barcode57,89,8033091
barcode58,89,8033093
barcode59,90,8033094
barcode60,89,8033100
barcode61,89,8033101
barcode62,89,8033105
barcode63,89,8033113
barcode64,90,8033114
barcode65,89,8033115
barcode66,89,8033116
barcode67,90,8033117
barcode68,89,8033118
barcode69,89,8033119
barcode70,89,8033121
barcode71,89,8033123
barcode72,89,8033125
barcode73,89,8033126
barcode74,90,8033127
barcode75,90,8033128
barcode76,89,8033143
barcode77,89,8033144
barcode78,90,8033146
barcode79,89,8033147
barcode80,89,8033138
barcode81,89,8033148
barcode82,90,8033149
barcode83,90,8033150
barcode84,90,8033155
barcode85,90,8033156
barcode86,89,8033157
barcode87,90,8033158
barcode88,89,8033160
barcode89,89,8033162
barcode90,90,8033164
barcode91,89,8033165
barcode92,89,8033167
barcode93,90,8033168
barcode94,89,8033169
barcode95,89,8033170
barcode96,89,8033171
unclassified,90,unclassified
