microsat_kbp,0,1,2,3,4,per_failed,per_single,per_multi,mean_peak_height,peak_ratio_mean,peak_ratio_med
-31.9,8,148,10,0,0,4.82,89.16,6.02,3963.518987341772,0.5630549252966238,0.5543464221131491
-6.36,9,153,4,0,0,5.42,92.17,2.41,6511.044585987262,0.5610836706838493,0.5974709413965974
-3.7,5,148,9,3,1,3.01,89.16,7.83,4603.795031055901,0.252394347691887,0.22332015810276679
-0.15,3,127,35,1,0,1.81,76.51,21.69,5434.650306748466,0.22607590895712468,0.20666695438053176
15.0,7,94,63,2,0,4.22,56.63,39.16,4579.232704402516,0.3950545511189652,0.38016528925619836
31.0,18,145,3,0,0,10.84,87.35,1.81,3018.425675675676,0.6676396440539153,0.8387096774193549
72.3,1,151,14,0,0,0.6,90.96,8.43,3423.569696969697,0.527764831294322,0.5223196486218826
