pool,microsat_kbp,fluorophore,plate,well,major_peak_size,major_peak_height,minor_peak_size,minor_peak_height,n_peaks,allele_size,sample_id,extraction_id,set_type,province,district,carrier_A724E
1,-0.15,FAM,C01,F7,199.13,7241.0,,,1,199.0,8034014,Z088,representative,western,sesheke,False
1,-0.15,FAM,C01,F2,217.3,5294.0,219.33,860.0,2,217.0,8034017,Z015,representative,western,sesheke,False
1,-0.15,FAM,C01,A6,201.12,6974.0,,,1,201.0,8034024,Z063,representative,western,sesheke,False
1,-0.15,FAM,C01,A3,213.0,2701.0,,,1,213.0,8034025,Z020,clonal,western,sesheke,True
1,-0.15,FAM,C01,H5,205.3,6708.0,,,1,205.0,8034026,Z062,representative,western,sesheke,False
1,-0.15,FAM,C01,B3,213.0,4275.0,214.97,720.0,2,213.0,8034028,Z021,clonal,western,sesheke,True
1,-0.15,FAM,C01,E4,205.22,7340.0,,,1,205.0,8034031,Z038,clonal,western,sesheke,False
1,-0.15,FAM,C01,F4,213.07,6384.0,215.06,1108.0,2,213.0,8034036,Z042,representative,western,sesheke,True
1,-0.15,FAM,C01,F8,191.22,7840.0,,,1,191.0,8034039,Z104,representative,western,sesheke,False
1,-0.15,FAM,C01,H8,205.18,7034.0,,,1,205.0,8034040,Z107,representative,western,sesheke,False
1,-0.15,FAM,C01,G8,213.13,3906.0,215.18,790.0,2,213.0,8034042,Z106,representative,western,sesheke,True
1,-0.15,FAM,C01,E8,213.08,6109.0,,,1,213.0,8034044,Z103,representative,western,sesheke,True
1,-0.15,FAM,C01,D8,213.1,5220.0,,,1,213.0,8034045,Z102,representative,western,sesheke,True
1,-0.15,FAM,C01,A9,205.03,6458.0,,,1,205.0,8034048,Z108,representative,western,sesheke,True
1,-0.15,FAM,C01,C9,191.26,7684.0,,,1,191.0,8034049,Z110,representative,western,sesheke,False
1,-0.15,FAM,C01,D2,191.44,7897.0,,,1,191.0,8034050,Z012,clonal,western,sesheke,False
1,-0.15,FAM,C01,B9,205.07,7233.0,,,1,205.0,8034052,Z109,representative,western,sesheke,False
1,-0.15,FAM,C01,E1,213.16,6665.0,215.18,1085.0,2,213.0,8034059,Z002,clonal,western,sesheke,True
1,-0.15,FAM,C02,E10,213.09,2765.0,,,1,213.0,1012412,Z281,clonal,northwestern,zambezi,True
1,-0.15,FAM,C02,E6,191.42,6814.0,,,1,191.0,1012423,Z229,clonal,northwestern,mufumbwe,False
1,-0.15,FAM,C02,E8,191.38,6572.0,,,1,191.0,1012427,Z253,representative,northwestern,mufumbwe,False
1,-0.15,FAM,C02,H7,201.22,3668.0,,,1,201.0,1012431,Z244,representative,northwestern,mufumbwe,False
1,-0.15,FAM,C02,A8,213.05,3606.0,,,1,213.0,1012434,Z246,representative,northwestern,mufumbwe,True
1,-0.15,FAM,C02,B8,203.12,6055.0,,,1,203.0,1012438,Z249,representative,northwestern,mufumbwe,False
1,-0.15,FAM,C02,C8,191.3,7122.0,,,1,191.0,1012443,Z250,clonal,northwestern,mufumbwe,False
1,-0.15,FAM,C02,D8,217.01,2251.0,219.03,616.0,2,217.0,1012444,Z251,clonal,northwestern,mufumbwe,True
1,-0.15,FAM,C02,G7,213.07,3628.0,,,1,213.0,1012449,Z243,representative,northwestern,mufumbwe,True
1,-0.15,FAM,C02,F7,201.17,2262.0,,,1,201.0,1012540,Z242,representative,northwestern,zambezi,False
1,-0.15,FAM,C02,C7,191.28,6923.0,,,1,191.0,1012543,Z239,clonal,northwestern,zambezi,False
1,-0.15,FAM,C02,F10,213.09,2109.0,,,1,213.0,1012544,Z283,representative,northwestern,zambezi,True
1,-0.15,FAM,C02,D7,213.1,3591.0,,,1,213.0,1012552,Z240,clonal,northwestern,zambezi,True
1,-0.15,FAM,C02,C6,213.0,3810.0,,,1,213.0,1040820,Z227,representative,northwestern,manyinga,True
1,-0.15,FAM,C02,G5,213.12,2029.0,191.35,1373.0,2,213.0,1045436,Z212,clonal,western,sesheke,False
1,-0.15,FAM,C02,C2,205.34,6936.0,,,1,205.0,1045447,Z157,clonal,western,sesheke,False
1,-0.15,FAM,C02,H6,213.12,3282.0,,,1,213.0,1046717,Z234,clonal,western,luampa,True
1,-0.15,FAM,C02,B7,191.3,5546.0,,,1,191.0,1046736,Z238,representative,western,luampa,False
1,-0.15,FAM,C02,G8,213.11,3740.0,,,1,213.0,1046791,Z257,clonal,western,kalabo,True
1,-0.15,FAM,C02,F8,201.15,5200.0,,,1,201.0,1046798,Z255,clonal,western,kalabo,False
1,-0.15,FAM,C02,H8,211.26,3322.0,,,1,211.0,1046802,Z259,clonal,western,kalabo,False
1,-0.15,FAM,C02,D2,189.44,7646.0,,,1,189.0,2033430,Z159,representative,western,sesheke,False
1,-0.15,FAM,C02,E9,213.0,2041.0,265.03,217.0,2,213.0,5053699,Z265,representative,western,sikongo,True
1,-0.15,FAM,C02,A7,189.31,5590.0,,,1,189.0,5053700,Z235,representative,western,sikongo,False
1,-0.15,FAM,C02,B9,212.92,3384.0,,,1,213.0,5053711,Z262,clonal,western,sikongo,True
1,-0.15,FAM,C02,C9,201.11,5453.0,,,1,201.0,5053713,Z263,representative,western,sikongo,False
1,-0.15,FAM,C02,A9,191.32,6238.0,,,1,191.0,5053716,Z260,clonal,western,sikongo,False
