expt_name,barcode,sample_id,sample_type,status,sample_id_no_leading_zeros,,study
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode12,8020890,field,known,8020890,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode13,8020891,field,known,8020891,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode14,8020892,field,known,8020892,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode15,8020893,field,known,8020893,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode16,8020894,field,known,8020894,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode17,8020895,field,known,8020895,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode18,8020896,field,known,8020896,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode19,8020897,field,known,8020897,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode20,8020898,field,known,8020898,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode21,8020899,field,known,8020899,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode22,8020900,field,known,8020900,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode23,8020901,field,known,8020901,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode24,8020902,field,known,8020902,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode25,8020903,field,known,8020903,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode26,8020904,field,known,8020904,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode27,8020910,field,known,8020910,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode28,8020905,field,known,8020905,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode29,8020906,field,known,8020906,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode30,8020907,field,known,8020907,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode31,8020909,field,known,8020909,,tes2023 day zero
2025-10-03_SLMM087_HRP2_2024_Batch19,barcode32,8020908,field,known,8020908,,tes2023 day zero
2025-04-03_SLMM071_HRP22024_Batch4,barcode28,blank1,field,known,blank1,,na
2025-04-03_SLMM071_HRP22024_Batch4,barcode29,blank,field,known,blank,,na
2025-09-17_SLMM086_HRP2_2024_Batch18,barcode64,blank,field,known,blank,,na
