well,sample_id,drug,conc_nm,replicate,au
A1,8036376,dha,250.0,1,1.31
A2,8036376,dha,250.0,2,1.27
A3,8036376,lum,1000.0,1,1.46
A4,8036376,lum,1000.0,2,1.44
A5,8036379,dha,250.0,1,0.55
A6,8036379,dha,250.0,2,0.55
A7,8036379,lum,1000.0,1,0.58
A8,8036379,lum,1000.0,2,0.55
A9,8036380,dha,250.0,1,0.9
A10,8036380,dha,250.0,2,0.89
A11,8036380,lum,1000.0,1,0.9
A12,8036380,lum,1000.0,2,0.84
B1,8036376,dha,62.5,1,1.25
B2,8036376,dha,62.5,2,1.24
B3,8036376,lum,250.0,1,1.39
B4,8036376,lum,250.0,2,1.37
B5,8036379,dha,62.5,1,0.52
B6,8036379,dha,62.5,2,0.52
B7,8036379,lum,250.0,1,0.54
B8,8036379,lum,250.0,2,0.5
B9,8036380,dha,62.5,1,0.86
B10,8036380,dha,62.5,2,0.87
B11,8036380,lum,250.0,1,0.95
B12,8036380,lum,250.0,2,0.85
C1,8036376,dha,15.625,1,1.28
C2,8036376,dha,15.625,2,1.25
C3,8036376,lum,62.5,1,1.34
C4,8036376,lum,62.5,2,1.34
C5,8036379,dha,15.625,1,0.51
C6,8036379,dha,15.625,2,0.55
C7,8036379,lum,62.5,1,0.58
C8,8036379,lum,62.5,2,0.52
C9,8036380,dha,15.625,1,0.88
C10,8036380,dha,15.625,2,0.88
C11,8036380,lum,62.5,1,0.92
C12,8036380,lum,62.5,2,0.87
D1,8036376,dha,3.90625,1,1.32
D2,8036376,dha,3.90625,2,1.28
D3,8036376,lum,15.625,1,1.34
D4,8036376,lum,15.625,2,1.38
D5,8036379,dha,3.90625,1,0.51
D6,8036379,dha,3.90625,2,0.52
D7,8036379,lum,15.625,1,0.54
D8,8036379,lum,15.625,2,0.51
D9,8036380,dha,3.90625,1,0.88
D10,8036380,dha,3.90625,2,0.89
D11,8036380,lum,15.625,1,1.12
D12,8036380,lum,15.625,2,1.04
E1,8036376,dha,0.9765625,1,1.54
E2,8036376,dha,0.9765625,2,1.44
E3,8036376,lum,3.90625,1,1.68
E4,8036376,lum,3.90625,2,1.68
E5,8036379,dha,0.9765625,1,0.56
E6,8036379,dha,0.9765625,2,0.51
E7,8036379,lum,3.90625,1,0.53
E8,8036379,lum,3.90625,2,0.5
E9,8036380,dha,0.9765625,1,0.94
E10,8036380,dha,0.9765625,2,0.95
E11,8036380,lum,3.90625,1,1.59
E12,8036380,lum,3.90625,2,1.46
F1,8036376,dha,0.244140625,1,1.65
F2,8036376,dha,0.244140625,2,1.62
F3,8036376,lum,0.9765625,1,1.67
F4,8036376,lum,0.9765625,2,1.73
F5,8036379,dha,0.244140625,1,0.54
F6,8036379,dha,0.244140625,2,0.51
F7,8036379,lum,0.9765625,1,0.54
F8,8036379,lum,0.9765625,2,0.51
F9,8036380,dha,0.244140625,1,1.59
F10,8036380,dha,0.244140625,2,1.53
F11,8036380,lum,0.9765625,1,1.71
F12,8036380,lum,0.9765625,2,1.56
G1,8036376,dha,0.06103515625,1,1.72
G2,8036376,dha,0.06103515625,2,1.64
G3,8036376,lum,0.244140625,1,1.77
G4,8036376,lum,0.244140625,2,1.73
G5,8036379,dha,0.06103515625,1,0.54
G6,8036379,dha,0.06103515625,2,0.52
G7,8036379,lum,0.244140625,1,0.52
G8,8036379,lum,0.244140625,2,0.5
G9,8036380,dha,0.06103515625,1,1.66
G10,8036380,dha,0.06103515625,2,1.63
G11,8036380,lum,0.244140625,1,1.67
G12,8036380,lum,0.244140625,2,1.53
H1,8036376,dha,0.0,1,1.81
H2,8036376,dha,0.0,2,1.57
H3,8036376,lum,0.0,1,1.71
H4,8036376,lum,0.0,2,1.72
H5,8036379,dha,0.0,1,0.54
H6,8036379,dha,0.0,2,0.53
H7,8036379,lum,0.0,1,0.54
H8,8036379,lum,0.0,2,0.53
H9,8036380,dha,0.0,1,1.62
H10,8036380,dha,0.0,2,1.59
H11,8036380,lum,0.0,1,1.52
H12,8036380,lum,0.0,2,1.49
