sample_id,sample_type,barcode,post_pcr_dna_conc_ngul
3D7,Positive,barcode01,78.6
Dd2,Positive,barcode02,33.2
HB3,Positive,barcode03,122.0
IPC3663,Positive,barcode04,51.4
Human,Negative,barcode05,3.24
NTC,Negative,barcode06,0.00852
4043468,Field,barcode07,19.3
4043469,Field,barcode08,47.0
4043477,Field,barcode09,105.0
4043478,Field,barcode10,74.2
4043479,Field,barcode11,97.0
4043480,Field,barcode12,110.0
4043481,Field,barcode13,67.8
4043482,Field,barcode14,70.2
4043483,Field,barcode15,84.8
4043484,Field,barcode16,77.4
4043485,Field,barcode17,90.8
4043486,Field,barcode18,44.6
4043487,Field,barcode19,76.2
4043488,Field,barcode20,75.8
4043489,Field,barcode21,46.8
4043490,Field,barcode22,76.6
4043491,Field,barcode23,45.4
4043492,Field,barcode24,66.4
4043493,Field,barcode25,74.2
4043494,Field,barcode26,76.6
4043495,Field,barcode27,56.8
4043496,Field,barcode28,24.0
4043497,Field,barcode29,88.6
4043498,Field,barcode30,105.0
4043499,Field,barcode31,100.0
4043500,Field,barcode32,52.8
4043501,Field,barcode33,45.2
4043377,Field,barcode34,82.2
4043359,Field,barcode35,35.2
4043358,Field,barcode36,38.8
4043547,Field,barcode37,5.08
4043524,Field,barcode38,3.6
4043521,Field,barcode39,5.36
4043516,Field,barcode40,1.16
4043517,Field,barcode41,62.8
4043523,Field,barcode42,7.84
4043525,Field,barcode43,44.4
4043526,Field,barcode44,6.5
1012975,Field,barcode45,93.2
1012976,Field,barcode46,77.2
1012984,Field,barcode47,40.6
1012985,Field,barcode48,73.8
1012987,Field,barcode49,46.8
1012988,Field,barcode50,27.2
4043001,Field,barcode51,56.8
4043006,Field,barcode52,5.42
4043010,Field,barcode53,52.4
4043017,Field,barcode54,58.0
4043022,Field,barcode55,3.52
4043031,Field,barcode56,25.6
4043037,Field,barcode57,3.12
4043051,Field,barcode58,34.6
1012596,Field,barcode59,50.4
1012605,Field,barcode60,79.4
1012608,Field,barcode61,70.2
1012609,Field,barcode62,59.0
1012610,Field,barcode63,68.2
1012615,Field,barcode64,33.2
1012616,Field,barcode65,69.8
1012623,Field,barcode66,42.4
1012624,Field,barcode67,56.6
1012635,Field,barcode68,67.0
1012637,Field,barcode69,90.8
1012638,Field,barcode70,53.0
1012639,Field,barcode71,25.4
1012640,Field,barcode72,90.8
1012642,Field,barcode73,70.4
1012643,Field,barcode74,48.2
1012646,Field,barcode75,78.4
1012654,Field,barcode76,96.0
1012655,Field,barcode77,72.6
1012657,Field,barcode78,65.2
1012661,Field,barcode79,55.6
1012662,Field,barcode80,57.2
1012663,Field,barcode81,86.8
1012664,Field,barcode82,81.0
1012666,Field,barcode83,82.4
1012667,Field,barcode84,80.6
1012668,Field,barcode85,89.4
1012732,Field,barcode86,84.4
1012733,Field,barcode87,71.2
1012734,Field,barcode88,64.6
1012735,Field,barcode89,31.8
1012736,Field,barcode90,13.8
1012737,Field,barcode91,34.8
1012738,Field,barcode92,73.6
1012739,Field,barcode93,92.0
1012740,Field,barcode94,17.0
1012741,Field,barcode95,37.6
1012743,Field,barcode96,31.0
