barcode,n_processed_fastq,sample_id
barcode49,12,3D7
barcode50,16,Dd2
barcode51,14,HB3
barcode52,5,humanDNA
barcode53,1,NTC
barcode54,9,8031800
barcode55,29,8010577
barcode56,25,8031768
barcode57,20,8032348
barcode58,10,8010570
barcode59,17,8032032
barcode60,12,8010525
barcode61,16,8031785
barcode62,9,8032301
barcode63,23,8032592
barcode64,22,8010576
barcode65,23,8010516
barcode66,13,8032010
barcode67,16,8010526
barcode68,20,8032027
barcode69,16,8010573
barcode70,16,8010578
barcode71,19,8032555
barcode72,17,8032037
barcode73,19,8032543
barcode74,17,8031769
barcode75,14,8031774
barcode76,15,8031770
barcode77,16,8032035
barcode78,13,8032013
barcode79,15,8031781
barcode80,10,8032544
barcode81,15,8032040
barcode82,15,8031771
barcode83,12,8032330
barcode84,10,8032000
barcode85,15,8031790
barcode86,14,8010559
barcode87,22,8032028
barcode88,15,8032343
barcode89,10,8010552
barcode90,14,8032595
barcode91,15,8010521
barcode92,20,8010507
barcode93,15,8031761
barcode94,1,NTC_a
barcode95,1,NTC_b
barcode96,20,3D7_nmcc
unclassified,79,unclassified
