well,sample_id,drug,conc_nm,replicate,au
A1,8033799,dha,250.0,1,0.52
A2,8033799,dha,250.0,2,0.55
A3,8033799,lum,1000.0,1,0.59
A4,8033799,lum,1000.0,2,0.6
A5,8033800,dha,250.0,1,0.59
A6,8033800,dha,250.0,2,0.59
A7,8033800,lum,1000.0,1,0.62
A8,8033800,lum,1000.0,2,0.58
A9,8033806,dha,250.0,1,2.04
A10,8033806,dha,250.0,2,2.01
A11,8033806,lum,1000.0,1,2.05
A12,8033806,lum,1000.0,2,1.84
B1,8033799,dha,62.5,1,0.49
B2,8033799,dha,62.5,2,0.51
B3,8033799,lum,250.0,1,0.54
B4,8033799,lum,250.0,2,0.55
B5,8033800,dha,62.5,1,0.56
B6,8033800,dha,62.5,2,0.6
B7,8033800,lum,250.0,1,0.59
B8,8033800,lum,250.0,2,0.56
B9,8033806,dha,62.5,1,2.05
B10,8033806,dha,62.5,2,2.06
B11,8033806,lum,250.0,1,2.08
B12,8033806,lum,250.0,2,1.89
C1,8033799,dha,15.625,1,0.49
C2,8033799,dha,15.625,2,0.51
C3,8033799,lum,62.5,1,0.56
C4,8033799,lum,62.5,2,0.58
C5,8033800,dha,15.625,1,0.55
C6,8033800,dha,15.625,2,0.62
C7,8033800,lum,62.5,1,0.61
C8,8033800,lum,62.5,2,0.57
C9,8033806,dha,15.625,1,2.1
C10,8033806,dha,15.625,2,2.02
C11,8033806,lum,62.5,1,2.23
C12,8033806,lum,62.5,2,1.96
D1,8033799,dha,3.90625,1,0.51
D2,8033799,dha,3.90625,2,0.53
D3,8033799,lum,15.625,1,0.73
D4,8033799,lum,15.625,2,0.73
D5,8033800,dha,3.90625,1,0.56
D6,8033800,dha,3.90625,2,0.58
D7,8033800,lum,15.625,1,0.66
D8,8033800,lum,15.625,2,0.63
D9,8033806,dha,3.90625,1,2.16
D10,8033806,dha,3.90625,2,2.12
D11,8033806,lum,15.625,1,3.35
D12,8033806,lum,15.625,2,2.7
E1,8033799,dha,0.9765625,1,0.58
E2,8033799,dha,0.9765625,2,0.58
E3,8033799,lum,3.90625,1,0.91
E4,8033799,lum,3.90625,2,0.99
E5,8033800,dha,0.9765625,1,0.72
E6,8033800,dha,0.9765625,2,0.72
E7,8033800,lum,3.90625,1,0.86
E8,8033800,lum,3.90625,2,0.82
E9,8033806,dha,0.9765625,1,2.71
E10,8033806,dha,0.9765625,2,2.96
E11,8033806,lum,3.90625,1,3.51
E12,8033806,lum,3.90625,2,3.19
F1,8033799,dha,0.244140625,1,0.76
F2,8033799,dha,0.244140625,2,0.76
F3,8033799,lum,0.9765625,1,1.05
F4,8033799,lum,0.9765625,2,1.09
F5,8033800,dha,0.244140625,1,0.89
F6,8033800,dha,0.244140625,2,0.89
F7,8033800,lum,0.9765625,1,0.9
F8,8033800,lum,0.9765625,2,0.88
F9,8033806,dha,0.244140625,1,3.57
F10,8033806,dha,0.244140625,2,3.45
F11,8033806,lum,0.9765625,1,3.51
F12,8033806,lum,0.9765625,2,3.21
G1,8033799,dha,0.06103515625,1,0.93
G2,8033799,dha,0.06103515625,2,0.97
G3,8033799,lum,0.244140625,1,1.14
G4,8033799,lum,0.244140625,2,1.12
G5,8033800,dha,0.06103515625,1,0.91
G6,8033800,dha,0.06103515625,2,0.93
G7,8033800,lum,0.244140625,1,0.89
G8,8033800,lum,0.244140625,2,0.85
G9,8033806,dha,0.06103515625,1,3.31
G10,8033806,dha,0.06103515625,2,3.47
G11,8033806,lum,0.244140625,1,3.42
G12,8033806,lum,0.244140625,2,3.21
H1,8033799,dha,0.0,1,0.95
H2,8033799,dha,0.0,2,1.04
H3,8033799,lum,0.0,1,1.1
H4,8033799,lum,0.0,2,1.1
H5,8033800,dha,0.0,1,0.91
H6,8033800,dha,0.0,2,0.91
H7,8033800,lum,0.0,1,0.91
H8,8033800,lum,0.0,2,0.88
H9,8033806,dha,0.0,1,3.29
H10,8033806,dha,0.0,2,3.17
H11,8033806,lum,0.0,1,3.16
H12,8033806,lum,0.0,2,3.16
