barcode,n_processed_fastq,sample_id
barcode01,15,3D7
barcode02,15,3D7
barcode03,15,Dd2
barcode04,15,HB3
barcode05,15,Human
barcode06,15,NTC
barcode07,15,8036261
barcode08,15,8036263
barcode09,15,8036264
barcode10,15,8036265
barcode11,15,8036266
barcode12,15,8036267
barcode13,15,8036268
barcode14,15,8036269
barcode15,15,8036271
barcode16,15,8036272
barcode17,15,8036273
barcode18,15,8036274
barcode19,15,8036275
barcode20,15,8036279
barcode21,15,8036280
barcode22,15,8036282
barcode23,15,8036283
barcode24,15,8036284
barcode25,15,8036285
barcode26,15,8036286
barcode27,15,8036287
barcode28,15,8036218-D3
barcode29,15,8036219-D3
barcode30,15,8036220-D3
barcode31,15,8036222-D3
barcode32,15,8036223-D3
barcode33,15,8036226-D3
barcode34,15,8036227-D3
barcode35,15,8036228-D3
barcode36,15,8036230-D3
barcode37,15,8036231-D3
barcode38,15,8036232-D3
barcode39,15,8036233-D3
barcode40,15,8036234-D3
barcode41,15,8036238-D3
barcode42,15,8036239-D3
barcode43,15,8036240-D3
barcode44,15,8036243-D3
barcode45,15,8036246-D3
barcode46,15,8036288
barcode47,15,8036289
barcode48,15,8036290
barcode49,15,8036291
barcode50,15,8036292
barcode51,15,8036294
barcode52,15,8036295
barcode53,15,8036296
barcode54,15,8036297
barcode55,15,8036298
barcode56,15,8036301
barcode57,15,8036302
barcode58,15,8036303
barcode59,15,8036304
unclassified,15,unclassified
