expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_type;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;pos;3D7;3D7;;PCMM67_A1;SLMM055_A1;barcode01;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;pos;Dd2;Dd2;;PCMM67_B1;SLMM055_B1;barcode02;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;pos;HB3;HB3;;PCMM67_C1;SLMM055_C1;barcode03;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;neg;humanDNA;humanDNA;;PCMM67_D1;SLMM055_D1;barcode04;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;neg;NTC;NTC;;PCMM67_E1;SLMM055_E1;barcode05;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;field;8010512;DV179;;PCMM67_F1;SLMM055_F1;barcode06;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;field;8010522;DV189;;PCMM67_G1;SLMM055_G1;barcode07;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;field;8032012;DV137;;PCMM67_H1;SLMM055_H1;barcode08;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;field;8010536;DV201;;PCMM67_A2;SLMM055_A2;barcode09;10.0
SLMM055;16.10.24;Mulenga Mwenda;seqlib;rapid;1;To perfor MVP rapid sequencing protocol MIS2024 samples from PCMM067 with CT values ranging from 22.87 to 30.25;MIS2024_Batch1;48;200;10;;;800;12;;;;;;;field;8010514;DV181;;PCMM67_B2;SLMM055_B2;barcode10;10.0
