well,sample_id,drug,conc_nm,replicate,au
A1,8036403,dha,250.0,1,0.93
A2,8036403,dha,250.0,2,0.86
A3,8036403,lum,1000.0,1,0.98
A4,8036403,lum,1000.0,2,0.94
A5,8036404,dha,250.0,1,1.24
A6,8036404,dha,250.0,2,1.21
A7,8036404,lum,1000.0,1,1.27
A8,8036404,lum,1000.0,2,1.2
A9,8036406,dha,250.0,1,0.5
A10,8036406,dha,250.0,2,0.48
A11,8036406,lum,1000.0,1,0.49
A12,8036406,lum,1000.0,2,0.45
B1,8036403,dha,62.5,1,0.83
B2,8036403,dha,62.5,2,0.82
B3,8036403,lum,250.0,1,0.9
B4,8036403,lum,250.0,2,0.88
B5,8036404,dha,62.5,1,1.18
B6,8036404,dha,62.5,2,1.16
B7,8036404,lum,250.0,1,1.17
B8,8036404,lum,250.0,2,1.13
B9,8036406,dha,62.5,1,0.45
B10,8036406,dha,62.5,2,0.45
B11,8036406,lum,250.0,1,0.51
B12,8036406,lum,250.0,2,0.45
C1,8036403,dha,15.625,1,0.84
C2,8036403,dha,15.625,2,0.85
C3,8036403,lum,62.5,1,0.93
C4,8036403,lum,62.5,2,0.91
C5,8036404,dha,15.625,1,1.13
C6,8036404,dha,15.625,2,1.18
C7,8036404,lum,62.5,1,1.24
C8,8036404,lum,62.5,2,1.2
C9,8036406,dha,15.625,1,0.47
C10,8036406,dha,15.625,2,0.44
C11,8036406,lum,62.5,1,0.47
C12,8036406,lum,62.5,2,0.45
D1,8036403,dha,3.90625,1,0.89
D2,8036403,dha,3.90625,2,0.86
D3,8036403,lum,15.625,1,0.91
D4,8036403,lum,15.625,2,0.91
D5,8036404,dha,3.90625,1,1.14
D6,8036404,dha,3.90625,2,1.17
D7,8036404,lum,15.625,1,1.27
D8,8036404,lum,15.625,2,1.22
D9,8036406,dha,3.90625,1,0.48
D10,8036406,dha,3.90625,2,0.46
D11,8036406,lum,15.625,1,0.49
D12,8036406,lum,15.625,2,0.46
E1,8036403,dha,0.9765625,1,0.89
E2,8036403,dha,0.9765625,2,0.85
E3,8036403,lum,3.90625,1,0.92
E4,8036403,lum,3.90625,2,0.92
E5,8036404,dha,0.9765625,1,1.25
E6,8036404,dha,0.9765625,2,1.22
E7,8036404,lum,3.90625,1,1.45
E8,8036404,lum,3.90625,2,1.33
E9,8036406,dha,0.9765625,1,0.53
E10,8036406,dha,0.9765625,2,0.54
E11,8036406,lum,3.90625,1,0.68
E12,8036406,lum,3.90625,2,0.62
F1,8036403,dha,0.244140625,1,0.85
F2,8036403,dha,0.244140625,2,0.87
F3,8036403,lum,0.9765625,1,0.94
F4,8036403,lum,0.9765625,2,0.94
F5,8036404,dha,0.244140625,1,1.28
F6,8036404,dha,0.244140625,2,1.29
F7,8036404,lum,0.9765625,1,1.41
F8,8036404,lum,0.9765625,2,1.39
F9,8036406,dha,0.244140625,1,0.69
F10,8036406,dha,0.244140625,2,0.68
F11,8036406,lum,0.9765625,1,0.69
F12,8036406,lum,0.9765625,2,0.65
G1,8036403,dha,0.06103515625,1,0.89
G2,8036403,dha,0.06103515625,2,0.88
G3,8036403,lum,0.244140625,1,0.92
G4,8036403,lum,0.244140625,2,0.92
G5,8036404,dha,0.06103515625,1,1.42
G6,8036404,dha,0.06103515625,2,1.39
G7,8036404,lum,0.244140625,1,1.39
G8,8036404,lum,0.244140625,2,1.35
G9,8036406,dha,0.06103515625,1,0.7
G10,8036406,dha,0.06103515625,2,0.69
G11,8036406,lum,0.244140625,1,0.69
G12,8036406,lum,0.244140625,2,0.64
H1,8036403,dha,0.0,1,0.85
H2,8036403,dha,0.0,2,0.85
H3,8036403,lum,0.0,1,0.9
H4,8036403,lum,0.0,2,0.9
H5,8036404,dha,0.0,1,1.48
H6,8036404,dha,0.0,2,1.43
H7,8036404,lum,0.0,1,1.44
H8,8036404,lum,0.0,2,1.35
H9,8036406,dha,0.0,1,0.69
H10,8036406,dha,0.0,2,0.65
H11,8036406,lum,0.0,1,0.64
H12,8036406,lum,0.0,2,0.63
