expt_id;expt_date;expt_user;expt_type;expt_sub-type;expt_version;expt_notes;expt_summary;expt_rxns;pcr_product_targetmass_per_sample_ng;pcr_product_maxvol_ul;library_dnaconc_ngul;seq_platform;flowcell_targetmass_ng;flowcell_maxvol_ul;flowcell_id;flowcell_chemistry;flowcell_status;flowcell_checkpores;flowcell_runlength_hrs;flowcell_prevusage_hrs;sample_type;sample_id;extraction_id;swga_identifier;pcr_identifier;seqlib_identifier;barcode;pcrproductadded_vol_ul
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012516;DV502;;PCMM072_E3;SLMM062_E3;barcode21;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012518;DV503;;PCMM072_F3;SLMM062_F3;barcode22;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012519;DV504;;PCMM072_G3;SLMM062_G3;barcode23;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012520;DV505;;PCMM072_H3;SLMM062_H3;barcode24;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012521;DV506;;PCMM072_A4;SLMM062_A4;barcode25;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012526;DV511;;PCMM072_B4;SLMM062_B4;barcode26;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012530;DV515;;PCMM072_C4;SLMM062_C4;barcode27;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012536;DV521;;PCMM072_D4;SLMM062_D4;barcode28;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012537;DV522;;PCMM072_E4;SLMM062_E4;barcode29;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012538;DV523;;PCMM072_F4;SLMM062_F4;barcode30;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012542;DV527;;PCMM072_G4;SLMM062_G4;barcode31;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012544;DV528;;PCMM072_H4;SLMM062_H4;barcode32;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012549;DV531;;PCMM072_A5;SLMM062_A5;barcode33;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012555;DV532;;PCMM072_B5;SLMM062_B5;barcode34;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012559;DV533;;PCMM072_C5;SLMM062_C5;barcode35;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012560;DV534;;PCMM072_D5;SLMM062_D5;barcode36;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012562;DV536;;PCMM072_E5;SLMM062_E5;barcode37;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012566;DV538;;PCMM072_F5;SLMM062_F5;barcode38;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012567;DV539;;PCMM072_G5;SLMM062_G5;barcode39;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012568;DV540;;PCMM072_H5;SLMM062_H5;barcode40;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012573;DV542;;PCMM072_A6;SLMM062_A6;barcode41;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012579;DV545;;PCMM072_B6;SLMM062_B6;barcode42;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8011751;DV551;;PCMM072_C6;SLMM062_C6;barcode43;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012758;DV555;;PCMM072_D6;SLMM062_D6;barcode44;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012761;DV556;;PCMM072_E6;SLMM062_E6;barcode45;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012762;DV557;;PCMM072_F6;SLMM062_F6;barcode46;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;field;8012765;DV559;;PCMM072_G6;SLMM062_G6;barcode47;10
SLMM062;01.11.24;Mulenga Mwenda;seqlib;rapid;1;to sequence samples on PCMM072 A1 to H8 using the Rapid protocol;MIS2024_Batch5;48;200;10;168;Mk1b;800;12;;R10.4.1;Used;956;;24;neg;NTC-b;NTC-b;;PCMM072_H6;SLMM062_H6;barcode48;10
