well,sample_id,drug,conc_nm,replicate,au
A1,8036429,dha,250.0,1,0.48
A2,8036429,dha,250.0,2,0.47
A3,8036429,lum,1000.0,1,0.52
A4,8036429,lum,1000.0,2,0.52
A5,8036430,dha,250.0,1,0.66
A6,8036430,dha,250.0,2,0.66
A7,8036430,lum,1000.0,1,0.67
A8,8036430,lum,1000.0,2,0.64
A9,8036432,dha,250.0,1,0.51
A10,8036432,dha,250.0,2,0.49
A11,8036432,lum,1000.0,1,0.51
A12,8036432,lum,1000.0,2,0.46
B1,8036429,dha,62.5,1,0.44
B2,8036429,dha,62.5,2,0.44
B3,8036429,lum,250.0,1,0.49
B4,8036429,lum,250.0,2,0.49
B5,8036430,dha,62.5,1,0.62
B6,8036430,dha,62.5,2,0.6
B7,8036430,lum,250.0,1,0.64
B8,8036430,lum,250.0,2,0.6
B9,8036432,dha,62.5,1,0.47
B10,8036432,dha,62.5,2,0.46
B11,8036432,lum,250.0,1,0.51
B12,8036432,lum,250.0,2,0.45
C1,8036429,dha,15.625,1,0.47
C2,8036429,dha,15.625,2,0.45
C3,8036429,lum,62.5,1,0.49
C4,8036429,lum,62.5,2,0.49
C5,8036430,dha,15.625,1,0.6
C6,8036430,dha,15.625,2,0.63
C7,8036430,lum,62.5,1,0.65
C8,8036430,lum,62.5,2,0.6
C9,8036432,dha,15.625,1,0.48
C10,8036432,dha,15.625,2,0.45
C11,8036432,lum,62.5,1,0.48
C12,8036432,lum,62.5,2,0.47
D1,8036429,dha,3.90625,1,0.47
D2,8036429,dha,3.90625,2,0.46
D3,8036429,lum,15.625,1,0.49
D4,8036429,lum,15.625,2,0.48
D5,8036430,dha,3.90625,1,0.6
D6,8036430,dha,3.90625,2,0.59
D7,8036430,lum,15.625,1,0.82
D8,8036430,lum,15.625,2,0.79
D9,8036432,dha,3.90625,1,0.48
D10,8036432,dha,3.90625,2,0.47
D11,8036432,lum,15.625,1,0.48
D12,8036432,lum,15.625,2,0.44
E1,8036429,dha,0.9765625,1,0.49
E2,8036429,dha,0.9765625,2,0.46
E3,8036429,lum,3.90625,1,0.51
E4,8036429,lum,3.90625,2,0.52
E5,8036430,dha,0.9765625,1,0.64
E6,8036430,dha,0.9765625,2,0.62
E7,8036430,lum,3.90625,1,0.87
E8,8036430,lum,3.90625,2,0.8
E9,8036432,dha,0.9765625,1,0.48
E10,8036432,dha,0.9765625,2,0.46
E11,8036432,lum,3.90625,1,0.71
E12,8036432,lum,3.90625,2,0.73
F1,8036429,dha,0.244140625,1,0.53
F2,8036429,dha,0.244140625,2,0.5
F3,8036429,lum,0.9765625,1,0.54
F4,8036429,lum,0.9765625,2,0.54
F5,8036430,dha,0.244140625,1,0.81
F6,8036430,dha,0.244140625,2,0.77
F7,8036430,lum,0.9765625,1,0.92
F8,8036430,lum,0.9765625,2,0.88
F9,8036432,dha,0.244140625,1,0.83
F10,8036432,dha,0.244140625,2,0.77
F11,8036432,lum,0.9765625,1,0.94
F12,8036432,lum,0.9765625,2,0.88
G1,8036429,dha,0.06103515625,1,0.58
G2,8036429,dha,0.06103515625,2,0.55
G3,8036429,lum,0.244140625,1,0.55
G4,8036429,lum,0.244140625,2,0.55
G5,8036430,dha,0.06103515625,1,0.91
G6,8036430,dha,0.06103515625,2,0.85
G7,8036430,lum,0.244140625,1,0.92
G8,8036430,lum,0.244140625,2,0.87
G9,8036432,dha,0.06103515625,1,0.95
G10,8036432,dha,0.06103515625,2,0.92
G11,8036432,lum,0.244140625,1,0.95
G12,8036432,lum,0.244140625,2,0.87
H1,8036429,dha,0.0,1,0.54
H2,8036429,dha,0.0,2,0.51
H3,8036429,lum,0.0,1,0.55
H4,8036429,lum,0.0,2,0.53
H5,8036430,dha,0.0,1,0.96
H6,8036430,dha,0.0,2,0.94
H7,8036430,lum,0.0,1,0.95
H8,8036430,lum,0.0,2,0.9
H9,8036432,dha,0.0,1,0.91
H10,8036432,dha,0.0,2,0.86
H11,8036432,lum,0.0,1,0.87
H12,8036432,lum,0.0,2,0.88
