barcode,n_processed_fastq,sample_id
barcode01,15,3D7
barcode02,15,Dd2
barcode03,15,HB3
barcode04,15,IPC3663
barcode05,15,Human
barcode06,15,NTC
barcode07,15,1039399
barcode08,15,1041440
barcode09,15,1041441
barcode10,15,1041438
barcode11,15,1039398
barcode12,15,1041449
barcode13,15,1041452
barcode14,15,1041453
barcode15,15,1041454
barcode16,15,1041455
barcode17,15,1041457
barcode18,15,1041459
barcode19,15,1041462
barcode20,15,1041471
barcode21,15,1041469
barcode22,15,1041475
barcode23,15,1041476
barcode24,15,1041470
barcode25,15,1041472
barcode26,15,1041473
barcode27,15,1041576
barcode28,15,1041578
barcode29,15,1041575
barcode30,15,1041627
barcode31,15,1041622
barcode32,15,1041623
barcode33,15,1041630
barcode34,15,1041437
barcode35,15,1041443
barcode36,15,1041447
barcode37,15,1041448
barcode38,15,1041464
barcode39,15,1041465
barcode40,15,1041477
barcode41,15,1041478
barcode42,15,1041479
barcode43,15,1041481
barcode44,15,1041483
barcode45,15,1041484
barcode46,15,1041487
barcode47,15,1041491
barcode48,15,1041494
barcode49,15,1041496
barcode50,15,1041497
barcode51,15,1041499
barcode52,15,1041500
barcode53,15,1041503
barcode54,15,1041505
barcode55,15,1041507
barcode56,15,1041506
barcode57,15,1041509
barcode58,15,1041515
barcode59,15,1041517
barcode60,15,1041521
barcode61,15,1041527
barcode62,15,1041528
barcode63,15,1041529
barcode64,15,1041533
barcode65,15,1041540
barcode66,15,1041541
barcode67,15,1041543
barcode68,15,1041544
barcode69,15,1041545
barcode70,15,1041546
barcode71,15,1041555
barcode72,15,1041554
barcode73,15,1041547
barcode74,15,1041557
barcode75,15,1039395
barcode76,15,1041560
barcode77,15,1041561
barcode78,15,1041564
barcode79,15,1041568
barcode80,15,1041562
barcode81,15,1041569
barcode82,15,1041570
barcode83,15,1041571
barcode84,15,1041572
barcode85,15,1041573
barcode86,15,1041574
barcode87,15,1041579
barcode88,15,1041580
barcode89,15,1041581
barcode90,15,1041582
barcode91,15,1041583
barcode92,15,1041584
barcode93,15,1041585
barcode94,15,1041586
barcode95,15,1041587
barcode96,15,1041588
unclassified,15,unclassified
